thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
022995,parallels to a key word in a Sunda/Upasunda story,2000,General scholarly discussion,general discussion,6,https://list.indology.info/pipermail/indology/2000-October/023002.html,,katha,Kathā,1,1,subject_pattern,subject matched `story` using `register_katha`
022998,"""Sleeping Buddha""",2000,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/2000-October/022998.html,,katha,Kathā,1,1,subject_pattern,subject matched `story` using `register_katha`
025925,Story of a Ph.D.,2001,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/2001-March/025925.html,,katha,Kathā,1,1,subject_pattern,subject matched `Story` using `register_katha`
026290,Translation of Hand Christian Andersen's fairy tales into Sanskrit,2001,Texts and philology,philological discussion,1,https://list.indology.info/pipermail/indology/2001-August/026290.html,,katha,Kathā,1,1,subject_pattern,subject matched `tales` using `register_katha`
026655,Ruefully accepting the strengthening of police.,2002,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/2002-February/026659.html,I; IV,katha; upanisad,Classical; Kathā; Upaniṣad; Vedic,2,8,subject_pattern,subject matched `Upanishad` using `state_I`; subject matched `Katha` using `state_IV`; subject matched `Upanishad` using `register_upanisad`; subject matched `Katha` using `register_katha`; subject matched `Upanishad` using `state_I`; subject matched `Katha` using `state_IV`
026656,eye (gaze) in the Katha Upanishad,2002,Veda and ritual,general discussion,8,https://list.indology.info/pipermail/indology/2002-February/026656.html,I; IV,katha; upanisad,Classical; Kathā; Upaniṣad; Vedic,6,24,subject_pattern,subject matched `Upanishad` using `state_I`; subject matched `Katha` using `state_IV`; subject matched `Upanishad` using `register_upanisad`; subject matched `Katha` using `register_katha`; subject matched `Upanishad` using `state_I`; subject matched `Katha` using `state_IV`
027800,A pitiful story,2003,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/2003-July/027800.html,,katha,Kathā,3,3,subject_pattern,subject matched `story` using `register_katha`; subject matched `story` using `register_katha`; subject matched `story` using `register_katha`
028231,stock phrase about women?,2004,General scholarly discussion,general discussion,9,https://list.indology.info/pipermail/indology/2004-March/028231.html,,katha,Kathā,1,1,subject_pattern,subject matched `story` using `register_katha`
028249,stock phrase about men?,2004,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/2004-March/028253.html,,katha,Kathā,1,1,subject_pattern,subject matched `story` using `register_katha`
028257,Sanskrit syntax problem: Double bind constructions,2004,Grammar and linguistics,philological discussion,7,https://list.indology.info/pipermail/indology/2004-March/028263.html,,katha,Kathā,1,1,subject_pattern,subject matched `story` using `register_katha`
