year,primary_topic,message_count
1990,Announcements and events,1
1990,Bibliographic requests,1
1990,Digital resources and tools,1
1990,General scholarly discussion,19
1991,Announcements and events,4
1991,Bibliographic requests,1
1991,Digital resources and tools,3
1991,General scholarly discussion,105
1991,Grammar and linguistics,5
1991,History and culture,20
1991,List administration,1
1991,Manuscripts and epigraphy,2
1991,Teaching and pedagogy,1
1991,Texts and philology,3
1991,Veda and ritual,2
1992,Announcements and events,13
1992,Bibliographic requests,11
1992,Buddhism and Jainism,2
1992,Digital resources and tools,18
1992,General scholarly discussion,136
1992,Grammar and linguistics,5
1992,History and culture,13
1992,Manuscripts and epigraphy,2
1992,Texts and philology,10
1993,Announcements and events,20
1993,Bibliographic requests,5
1993,Buddhism and Jainism,7
1993,Digital resources and tools,16
1993,General scholarly discussion,328
1993,Grammar and linguistics,13
1993,History and culture,43
1993,List administration,2
1993,Manuscripts and epigraphy,1
1993,Texts and philology,19
1993,Veda and ritual,19
1994,Announcements and events,36
1994,Bibliographic requests,17
1994,Buddhism and Jainism,9
1994,Digital resources and tools,36
1994,General scholarly discussion,670
1994,Grammar and linguistics,4
1994,History and culture,48
1994,List administration,1
1994,Manuscripts and epigraphy,7
1994,Texts and philology,31
1994,Veda and ritual,5
1995,Announcements and events,57
1995,Bibliographic requests,59
1995,Buddhism and Jainism,13
1995,Digital resources and tools,66
1995,General scholarly discussion,1663
1995,Grammar and linguistics,19
1995,History and culture,165
1995,List administration,4
1995,Manuscripts and epigraphy,20
1995,Teaching and pedagogy,22
1995,Texts and philology,48
1995,Veda and ritual,40
1996,Announcements and events,98
1996,Bibliographic requests,110
1996,Buddhism and Jainism,24
1996,Digital resources and tools,77
1996,General scholarly discussion,2095
1996,Grammar and linguistics,36
1996,History and culture,127
1996,List administration,12
1996,Manuscripts and epigraphy,32
1996,Teaching and pedagogy,2
1996,Texts and philology,67
1996,Veda and ritual,74
1997,Announcements and events,64
1997,Bibliographic requests,81
1997,Buddhism and Jainism,20
1997,Digital resources and tools,103
1997,General scholarly discussion,2902
1997,Grammar and linguistics,37
1997,History and culture,187
1997,List administration,8
1997,Manuscripts and epigraphy,15
1997,Teaching and pedagogy,3
1997,Texts and philology,85
1997,Veda and ritual,120
1998,Announcements and events,55
1998,Bibliographic requests,49
1998,Buddhism and Jainism,15
1998,Digital resources and tools,96
1998,General scholarly discussion,3934
1998,Grammar and linguistics,93
1998,History and culture,255
1998,List administration,5
1998,Manuscripts and epigraphy,31
1998,Teaching and pedagogy,1
1998,Texts and philology,87
1998,Veda and ritual,88
1999,Announcements and events,86
1999,Bibliographic requests,136
1999,Buddhism and Jainism,24
1999,Digital resources and tools,132
1999,General scholarly discussion,3699
1999,Grammar and linguistics,166
1999,History and culture,157
1999,List administration,30
1999,Manuscripts and epigraphy,37
1999,Teaching and pedagogy,1
1999,Texts and philology,128
1999,Veda and ritual,116
2000,Announcements and events,93
2000,Bibliographic requests,75
2000,Buddhism and Jainism,70
2000,Digital resources and tools,64
2000,General scholarly discussion,4079
2000,Grammar and linguistics,43
2000,History and culture,420
2000,List administration,8
2000,Manuscripts and epigraphy,17
2000,Teaching and pedagogy,2
2000,Texts and philology,126
2000,Veda and ritual,194
2001,Announcements and events,56
2001,Bibliographic requests,25
2001,Buddhism and Jainism,15
2001,Digital resources and tools,18
2001,General scholarly discussion,1356
2001,Grammar and linguistics,40
2001,History and culture,46
2001,List administration,16
2001,Manuscripts and epigraphy,18
2001,Texts and philology,105
2001,Veda and ritual,36
2002,Announcements and events,37
2002,Bibliographic requests,28
2002,Buddhism and Jainism,2
2002,Digital resources and tools,54
2002,General scholarly discussion,609
2002,History and culture,34
2002,Manuscripts and epigraphy,14
2002,Texts and philology,10
2002,Veda and ritual,35
