thread_root_id,slug,year,month,thread_subject,message_count,author_count,primary_topic,authors
000161,1991-November,1991,11,Delays in receipt of mail,1,1,General scholarly discussion,Chris Wooff
000162,1991-November,1991,11,BURROW'S BIBLIO,1,1,General scholarly discussion,YANOM at EARN.JPNKSUVX
000167,1991-November,1991,11,need info about grammar book,1,1,Grammar and linguistics,Ajit Ranade
000168,1991-December,1991,12,,2,2,General scholarly discussion,Jamie Hubbard | ZYSK at EDU.NYU.ACFCLUSTER
000170,1991-December,1991,12,testing email from india,2,2,History and culture,Dominik Wujastyk | vigyan!iimb!kaujalgi at IN.ERNET.SHAKTI
000172,1992-January,1992,1,,2,2,General scholarly discussion,BAKKER at NL.RUG.RUGR86 | Birgit Mayer <AG5 at EARN.DHDURZ1>
000174,1992-January,1992,1,Booksellers' adresses,1,1,General scholarly discussion,Guy Baudoux
000175,1992-January,1992,1,Matilal's Oxford Professorship being advertised,1,1,General scholarly discussion,Dominik Wujastyk
000176,1992-January,1992,1,Seeking addresses,3,3,Bibliographic requests,Jim Cocks | ZYSK at EDU.NYU.ACFCLUSTER | hcf1dahl at EARN.UCSBUXA
000177,1992-January,1992,1,More on connection,1,1,General scholarly discussion,Richard Philip Hayes
000178,1992-January,1992,1,E-mail to India,1,1,History and culture,hcf1dahl at EARN.UCSBUXA
054042,1992-January,1992,1,E-mail to India,1,1,History and culture,Bob King - ligi355 at utxvms.cc.utexas.edu
000181,1992-February,1992,2,E-mail to India,1,1,History and culture,Thomas Ridgeway
000182,1992-February,1992,2,TeluguTeX package available for ftp,1,1,General scholarly discussion,AKELLA VIJAY BHASKAR R14 PAVELLA
000183,1992-February,1992,2,E-mail to India !!,3,2,History and culture,akella at BE.AC.ULG.MONTEFIORE | ramani at IN.ERNET.NCST.SAATHI
000185,1992-February,1992,2,INDOLOGY on a usenet newsreader?,1,1,General scholarly discussion,RCJ at UK.AC.CAMBRIDGE.UNIVERSITY-LIBRARY.AUTOMATION
000186,1992-February,1992,2,New discussion group on S-E Asia,1,1,General scholarly discussion,Dominik Wujastyk
000187,1992-February,1992,2,Devanagari MF font,2,2,Digital resources and tools,Dominik Wujastyk | Stephen Miller
000189,1992-February,1992,2,Devnagari Fonts,1,1,General scholarly discussion,Dominik Wujastyk
000190,1992-February,1992,2,Transliteration fonts,1,1,Digital resources and tools,Vickie.Banks
000191,1992-February,1992,2,5.0674 Confs: American Oriental Society (1/122),1,1,General scholarly discussion,Dominik Wujastyk
000192,1992-February,1992,2,5.0679 Qs: Pali E-Texts; COMPress; Bergen Libraries... (5/109),1,1,Buddhism and Jainism,Dominik Wujastyk
000193,1992-February,1992,2,5.0679 Qs: Pali E-Texts; COMPress; Bergen Libraries... (5/109,1,1,Buddhism and Jainism,JHUBBARD at EARN.SMITH
000194,1992-February,1992,2,E-mail to India,1,1,History and culture,Dominik Wujastyk
000196,1992-February,1992,2,Job Opening,1,1,Announcements and events,Dominik Wujastyk
000197,1992-February,1992,2,Australian repository for Buddhist studies materials,1,1,General scholarly discussion,Dominik Wujastyk
000198,1992-February,1992,2,Kerala Astronomy query,1,1,General scholarly discussion,Aldabra
000199,1992-March,1992,3,"Help with a ""Directory of Indology""",1,1,General scholarly discussion,Dominik Wujastyk
000200,1992-March,1992,3,help on Mahabharata passage,3,3,Texts and philology,D. Carpenter | Dominik Wujastyk | FALK at DE.UNI-FREIBURG.RUF.IBM
000201,1992-March,1992,3,Kerala Astronomy query,4,4,General scholarly discussion,Dominik Wujastyk | The Red Baron | ZYSK at EDU.NYU.ACFCLUSTER | yanom at EARN.JPNKSUVX
000206,1992-March,1992,3,Mahabharata 5.172.20 follow-up,2,2,Texts and philology,Dominik Wujastyk | Richard P Hayes
000209,1992-March,1992,3,chess,2,2,General scholarly discussion,Dominik Wujastyk | harry
000210,1992-March,1992,3,chess,1,1,General scholarly discussion,D. Carpenter
000212,1992-March,1992,3,Thanks,1,1,General scholarly discussion,Richard Marsden
000213,1992-March,1992,3,Devanagari OzTeX,1,1,General scholarly discussion,Stephen Miller
000214,1992-March,1992,3,Advertisement: Junior Research Fellowship at Oxford,1,1,Announcements and events,Dominik Wujastyk
000215,1992-March,1992,3,Advertisement: correction,1,1,General scholarly discussion,Dominik Wujastyk
000216,1992-March,1992,3,PostScript fonts for Indian languages?,1,1,General scholarly discussion,Dominik Wujastyk
000217,1992-March,1992,3,Job Advertisements: Lectureships in Hindi and Urdu at SOAS,1,1,Announcements and events,Dominik Wujastyk
000218,1992-April,1992,4,responses about PostScript Indic fonts,3,3,General scholarly discussion,"Dominik Wujastyk | Peter M. Scharf | tamhane, pushkar"
000221,1992-April,1992,4,addresses,1,1,General scholarly discussion,JBRONKHO at CH.UNIL.ULYS
000222,1992-April,1992,4,A.s.taadhyaayii and Buddhacarita available from the INDOLOGY listserv,1,1,General scholarly discussion,Dominik Wujastyk
000223,1992-April,1992,4,Keralan Cosmology/Maths Cont.,1,1,General scholarly discussion,Richard Marsden
000224,1992-April,1992,4,posting request,1,1,Bibliographic requests,Chris Wooff
000225,1992-April,1992,4,It's official! The new Spalding Professor,1,1,General scholarly discussion,Dominik Wujastyk
000226,1992-April,1992,4,"The truth about Gandhi, at last!",1,1,General scholarly discussion,Richard P Hayes
000227,1992-May,1992,5,Keralan Cosmology/Maths Cont.,1,1,General scholarly discussion,yanom at EARN.JPNKSUVX
000228,1992-May,1992,5,Romanized Indic (transliteration) meta-font,1,1,Digital resources and tools,Thomas B. Ridgeway
000229,1992-May,1992,5,Manitoba seeks Sanskrit-Hindi teacher,1,1,General scholarly discussion,Richard P Hayes
000230,1992-May,1992,5,Buddhacarita and Astadhyayi files now available,4,2,General scholarly discussion,Dominik Wujastyk | madhav.deshpande at EDU.UMICH.CC.UM
000231,1992-May,1992,5,Whereabouts of John E. Mitchiner?,1,1,General scholarly discussion,Dominik Wujastyk
000232,1992-May,1992,5,Computers & Indology Libraries,1,1,General scholarly discussion,Vickie L. Banks
000233,1992-May,1992,5,Asthadhyayi in CS/CSX encoding,2,2,Digital resources and tools,Dominik Wujastyk | Thomas B. Ridgeway
000234,1992-May,1992,5,updates to ftp-able materials at blackbox,1,1,General scholarly discussion,Thomas B. Ridgeway
000236,1992-May,1992,5,DIACRITICS FOR WP AND LASER,3,3,General scholarly discussion,BFGV000 | Dominik Wujastyk | Thomas B. Ridgeway
000239,1992-May,1992,5,,1,1,General scholarly discussion,FO90030
000240,1992-May,1992,5,SOAS ceases all publications and cancels Linguistics!,5,5,Grammar and linguistics,ANNA MORPURGO DAVIES | David Stampe | Dominik Wujastyk | MESSAGE AGENT | yanom at EARN.JPNKSUVX
000247,1992-May,1992,5,more on SOAS's difficulties,1,1,General scholarly discussion,Dominik Wujastyk
000249,1992-May,1992,5,SAD NEWS OF SOAS,2,2,General scholarly discussion,Dominik Wujastyk | yanom at EARN.JPNKSUVX
000250,1992-May,1992,5,BRHATSAMHITA,2,2,General scholarly discussion,Dominik Wujastyk | yanom at EARN.JPNKSUVX
000251,1992-May,1992,5,Your list,1,1,General scholarly discussion,Dominik Wujastyk
000254,1992-June,1992,6,past SOAS Hindu Studies Seminar speakers,1,1,Announcements and events,Dominik Wujastyk
000255,1992-June,1992,6,"National scandal: Ganesha being sold as a ""monster""!",4,3,General scholarly discussion,Bob King - ligi355 at utxvms.cc.utexas.edu | Dominik Wujastyk | Surenda Gambhir
000256,1992-June,1992,6,Help with literature on Santoshi Ma?,1,1,General scholarly discussion,JULIA LESLIE
000257,1992-June,1992,6,Ashok Aklujkar joins the net,1,1,General scholarly discussion,Dominik Wujastyk
000258,1992-June,1992,6,John Mitchiner located,2,2,General scholarly discussion,Dominik Wujastyk | yanom at EARN.JPNKSUVX
000259,1992-June,1992,6,literature on Santoshi Ma,1,1,General scholarly discussion,David Magier
000261,1992-June,1992,6,,1,1,General scholarly discussion,FO90030
000262,1992-June,1992,6,Word Perfect / Microsoft Word,1,1,General scholarly discussion,RCJ at UK.AC.CAMBRIDGE.UNIVERSITY-LIBRARY.AUTOMATION
000265,1992-June,1992,6,Chaulukya period inscriptions,3,2,General scholarly discussion,Dominik Wujastyk | INDINST at UK.AC.OXFORD.VAX
000268,1992-June,1992,6,Request for suggestions on teaching about Varanasi,1,1,Bibliographic requests,Deven M Patel
000269,1992-June,1992,6,hello,7,6,General scholarly discussion,Ashok Gupta | Chris Wooff | D. Carpenter | RAMAN at EARN.SJC | Satyajit Bose | Surenda Gambhir
000270,1992-June,1992,6,Request for suggestions on teaching about Varanasi,1,1,Bibliographic requests,Dominik Wujastyk
000273,1992-June,1992,6,Request for suggestions on teaching about Varanasi,2,2,Bibliographic requests,Mimi Klaiman | Surenda Gambhir
000276,1992-June,1992,6,Whereabouts of M. Christopher Byrski,3,3,Bibliographic requests,Dominik Wujastyk | South Asia Regional Studies | Surenda Gambhir
000279,1992-June,1992,6,consulting the Library of Congress catalogue,1,1,Manuscripts and epigraphy,Dominik Wujastyk
000281,1992-June,1992,6,Whereabouts of M. Christopher Byrski,1,1,General scholarly discussion,Purusottama Bilimoria
000284,1992-June,1992,6,Brhatsamhita available in CSX encoding by ftp,1,1,Digital resources and tools,Dominik Wujastyk
000285,1992-June,1992,6,BRHATSAMHITA,1,1,General scholarly discussion,Thomas B. Ridgeway
000286,1992-June,1992,6,BRHATSAMHITA,2,2,General scholarly discussion,Dominik Wujastyk | Thomas B. Ridgeway
000288,1992-June,1992,6,Newspaper report on Hindu fundamentalism,1,1,General scholarly discussion,yanom at EARN.JPNKSUVX
000289,1992-June,1992,6,"National scandal: Ganesha being sold as a ""monster""!",1,1,General scholarly discussion,Dominik Wujastyk
000290,1992-July,1992,7,SOAS pulls through financial crisis,1,1,General scholarly discussion,Dominik Wujastyk
000291,1992-July,1992,7,new ftp site for relevant files,1,1,General scholarly discussion,Dominik Wujastyk
000292,1992-July,1992,7,Some new items of information,2,2,General scholarly discussion,Richard Lariviere | madhav.deshpande at EDU.UMICH.CC.UM
000293,1992-July,1992,7,Numerical IP address for ftp,1,1,General scholarly discussion,Dominik Wujastyk
000294,1992-July,1992,7,COVER NOTE - MSS FOR SALE,1,1,Manuscripts and epigraphy,MERRY.B at EDU.UTEXAS.CC.UTXVM
000296,1992-July,1992,7,NUMATA VISITOR IN BUDDHIST STUDIES,1,1,General scholarly discussion,INDINST at UK.AC.OXFORD.VAX
000297,1992-July,1992,7,Arabic/Persian/Urdu OCR,1,1,Digital resources and tools,David Magier
000298,1992-July,1992,7,Indology posts advertised in Leipzig,1,1,General scholarly discussion,Dominik Wujastyk
000299,1992-July,1992,7,Velthuis Devanagari fonts for Macintosh TeX (OzTeX),1,1,General scholarly discussion,Dominik Wujastyk
000300,1992-July,1992,7,Malayalam font (still in progress...),1,1,Digital resources and tools,Dominik Wujastyk
000301,1992-July,1992,7,Text of Saundaryalahari available,1,1,Texts and philology,Dominik Wujastyk
000302,1992-July,1992,7,Madhushree and Manjushree Fonts,3,2,General scholarly discussion,Stephen Miller | madhav.deshpande at EDU.UMICH.CC.UM
000303,1992-July,1992,7,"Sanskrit conference in Krakow, 1993.",1,1,Announcements and events,Dominik Wujastyk
000306,1992-August,1992,8,Mexico 1984 Sanskrit conference,3,2,Announcements and events,Brendan S. Gillon | Richard P Hayes
000307,1992-August,1992,8,Manjushree Roman Diacritics Font,3,2,Digital resources and tools,Dominik Wujastyk | madhav.deshpande at EDU.UMICH.CC.UM
000308,1992-August,1992,8,New Font,1,1,Digital resources and tools,South Asia Regional Studies
000313,1992-August,1992,8,CSX encoded version of Saundaryalahari now available for ftp,1,1,General scholarly discussion,Thomas B. Ridgeway
000314,1992-August,1992,8,Proven Success of the ManjushreeCSX font,4,2,Digital resources and tools,Dominik Wujastyk | madhav.deshpande at EDU.UMICH.CC.UM
000315,1992-August,1992,8,Ayurveda in the US,3,3,History and culture,Bob King - ligi355 at utxvms.cc.utexas.edu | David Nelson | Dominik Wujastyk
000320,1992-September,1992,9,Hinduism in Burma?,1,1,General scholarly discussion,JULIA LESLIE
000321,1992-September,1992,9,Puzzle about Sanskrit Contruction,1,1,General scholarly discussion,Brendan S. Gillon
000322,1992-September,1992,9,Transliteration fonts,1,1,Digital resources and tools,Dominik Wujastyk
000323,1992-September,1992,9,Harivamsa Translation,3,3,Texts and philology,"M.H. KLAIMAN, ENGLISH & LINGUISTICS, INDIANA-PURDUE U.-FT. WAYNE | Rosane Rocher | Vickie L. Banks"
000324,1992-September,1992,9,Surgery,8,5,General scholarly discussion,"Anand | D.SURESH | Dominik Wujastyk | M.H. KLAIMAN, ENGLISH & LINGUISTICS, INDIANA-PURDUE U.-FT. WAYNE | Paul Kiparsky"
000328,1992-September,1992,9,Surgery,1,1,General scholarly discussion,Peter Schreiner
000331,1992-September,1992,9,aplologies for irrelevant email,1,1,General scholarly discussion,tasi at EDU.UCHICAGO.MIDWAY
000333,1992-September,1992,9,"Query on hinjras, devadasis, sacred bovines",2,2,General scholarly discussion,Mathieu Boisvert | Robert Thiel
000334,1992-September,1992,9,hijras,2,2,General scholarly discussion,"Dominik Wujastyk | M.H. KLAIMAN, ENGLISH & LINGUISTICS, INDIANA-PURDUE U.-FT. WAYNE"
000336,1992-September,1992,9,Harivamsa Translation,1,1,Texts and philology,Mathieu Boisvert
000337,1992-September,1992,9,aplologies for irrelevant email,3,3,General scholarly discussion,"Institute of Social and Cultural Anthropology | M.H. KLAIMAN, ENGLISH & LINGUISTICS, INDIANA-PURDUE U.-FT. WAYNE | South Asia Regional Studies"
000338,1992-September,1992,9,"Query on hinjras, devadasis, sacred bovines",1,1,General scholarly discussion,tasi at EDU.UCHICAGO.MIDWAY
054051,1992-September,1992,9,Hinjra reference,1,1,Bibliographic requests,"M.H. KLAIMAN, ENGLISH & LINGUISTICS, INDIANA-PURDUE U.-FT. WAYNE"
000339,1992-October,1992,10,SOAS Hindu Studies Seminar timetable,1,1,Announcements and events,Dominik Wujastyk
000340,1992-October,1992,10,Sri Lankan moonstones,1,1,General scholarly discussion,David Magier
000341,1992-October,1992,10,"Sanskrit Studies Position, U. of Chicago",3,3,Announcements and events,"M.H. KLAIMAN, ENGLISH & LINGUISTICS, INDIANA-PURDUE U.-FT. WAYNE | james nye | tasi at EDU.UCHICAGO.MIDWAY"
000343,1992-November,1992,11,Sanskrit texts,1,1,General scholarly discussion,l.m.fosse at NO.UIO.EASTEUR-ORIENT
000344,1992-November,1992,11,Re Indological Studies,1,1,General scholarly discussion,Terence Hays
000345,1992-November,1992,11,Machine-readable sanskrit texts,2,2,General scholarly discussion,Dominik Wujastyk | Vivek Dwivedi
000346,1992-November,1992,11,Doors,1,1,General scholarly discussion,l.m.fosse at NO.UIO.EASTEUR-ORIENT
000348,1992-November,1992,11,Machine-readable texts,2,2,General scholarly discussion,Lars Martin Fosse | Nina Srinath
000350,1992-November,1992,11,Sanskrit texts.,1,1,General scholarly discussion,Dominik Wujastyk
000351,1992-November,1992,11,Notes about India from Classical sources available.,1,1,History and culture,Anand V Raman
000352,1992-November,1992,11,Preservation of Major Indological Series,1,1,General scholarly discussion,RCJ at UK.AC.CAMBRIDGE.UNIVERSITY-LIBRARY.AUTOMATION
000353,1992-November,1992,11,Re indology,3,3,General scholarly discussion,David Magier | Dominik Wujastyk | Vivek Dwivedi
000354,1992-November,1992,11,Modern Bengali Poetry,1,1,General scholarly discussion,Stephen Miller
000356,1992-November,1992,11,Early Indian Mathematics cites,1,1,General scholarly discussion,David Magier
000357,1992-November,1992,11,Re indology,1,1,General scholarly discussion,Rajeev Gowda
000359,1992-December,1992,12,new copy of Indhist on INDOLOGY fileserver,1,1,Bibliographic requests,Dominik Wujastyk
000360,1992-December,1992,12,indhist,4,3,General scholarly discussion,Dominik Wujastyk | Vilok (V.) Kusumakar | narain at EDU.BU.BU-PUB
000363,1992-December,1992,12,uuencoded version of indhist ...,1,1,General scholarly discussion,Vilok (V.) Kusumakar
000365,1992-December,1992,12,],1,1,General scholarly discussion,David Magier
000366,1992-December,1992,12,Subscribing,1,1,General scholarly discussion,buddha at EDU.STANFORD.LELAND
000367,1992-December,1992,12,job listing,1,1,Announcements and events,Richard P Hayes
000368,1992-December,1992,12,Absence from station,1,1,General scholarly discussion,aklujkar at CA.UBC.UNIXG
000369,1992-December,1992,12,query,1,1,General scholarly discussion,Patrick McReynolds 3102081070
000370,1992-December,1992,12,Edith Nolot,1,1,General scholarly discussion,Mathieu Boisvert
000371,1993-January,1993,1,Job advertisement,1,1,Announcements and events,Dominik Wujastyk
000372,1993-January,1993,1,SUBSCRIBE INDOLOGY,1,1,General scholarly discussion,"M.H. KLAIMAN, ENGLISH & LINGUISTICS, INDIANA-PURDUE U.-FT. WAYNE"
000373,1993-January,1993,1,Nolot,1,1,General scholarly discussion,jbronkho at ulys.unil.ch
000374,1993-January,1993,1,Indus & Indo-Aryans,1,1,General scholarly discussion,kak at max.ee.lsu.edu
