thread_root_id,slug,year,month,thread_subject,message_count,author_count,primary_topic,authors
000005,1990-November,1990,11,Welcome to the new INDOLOGY list.,1,1,General scholarly discussion,Dominik Wujastyk
000006,1990-November,1990,11,Job opening (Ashmolean Museum),1,1,Announcements and events,Dominik Wujastyk
000007,1990-November,1990,11,Word processing in Indian languages,1,1,General scholarly discussion,Dominik Wujastyk
000008,1990-November,1990,11,Visiting London?,1,1,General scholarly discussion,IJL at UK.AC.OXFORD.VAX
000009,1990-November,1990,11,forwarded message: seeking Mahabharata e-text.,1,1,Bibliographic requests,Dominik Wujastyk
000010,1990-November,1990,11,HINDI Word Processor,1,1,General scholarly discussion,Manjit Trehan
000011,1990-November,1990,11,OED 2 errors,2,2,General scholarly discussion,Brett Kessler | Dominik Wujastyk
000012,1990-November,1990,11,e-text project survey,1,1,Digital resources and tools,Richard Hayes
000013,1990-November,1990,11,Copulating dvandva compounds,1,1,General scholarly discussion,Dominik Wujastyk
000015,1990-November,1990,11,programs,2,2,General scholarly discussion,Brett Kessler | falk
000017,1990-November,1990,11,More on Dvandva's,1,1,General scholarly discussion,Brendan S. Gillon
000018,1990-November,1990,11,dvandva definition in OED II.,1,1,General scholarly discussion,Dominik Wujastyk
000019,1990-November,1990,11,OED,1,1,General scholarly discussion,Dominik Wujastyk
000020,1990-November,1990,11,programs (dates and eras),1,1,General scholarly discussion,Dominik Wujastyk
000021,1990-December,1990,12,More on Dvandva's,2,2,General scholarly discussion,6vannoot at EDU.BERKELEY.VIOLET | Paul Kiparsky
000022,1990-December,1990,12,HINDI Word Processor,1,1,General scholarly discussion,madhav_deshpande at EDU.UMICH.CC.UM
000024,1990-December,1990,12,programs (dates and eras),2,2,General scholarly discussion,Brett Kessler | Dominik Wujastyk
000026,1990-December,1990,12,"""Tat"" as Indefinite Pronoun",1,1,General scholarly discussion,Brendan S. Gillon
000027,1991-January,1991,1,Bhartrhari conference,1,1,Announcements and events,JBRONKHO at CH.UNIL.ULYS
000028,1991-January,1991,1,addresses of indologists,2,2,General scholarly discussion,Bob King - ligi355 at utxvms.cc.utexas.edu | JBRONKHO at CH.UNIL.ULYS
000029,1991-January,1991,1,The body in Hinduism,2,2,General scholarly discussion,BAKKER at NL.RUG | Dominik Wujastyk
000031,1991-February,1991,2,Calendar conversion,4,3,History and culture,Dominik Wujastyk | LRAK543 at EDU.UTEXAS.CC.UTXVMS | Richard P. Hayes
000034,1991-February,1991,2,Request information on list,1,1,Bibliographic requests,JOE WILSON
000036,1991-February,1991,2,Job opening at McGill,1,1,Announcements and events,Richard P. Hayes
000037,1991-February,1991,2,ALLC Annual Report,1,1,General scholarly discussion,Peter Schreiner
000038,1991-February,1991,2,REACH on FTP,3,2,General scholarly discussion,Dominik Wujastyk | hcf1dahl at EARN.UCSBUXA
000040,1991-February,1991,2,ALLC Report,1,1,General scholarly discussion,Peter Schreiner
000041,1991-February,1991,2,Machine readable text of Buddhacarita,3,3,Texts and philology,Brett Kessler | David Magier | Dominik Wujastyk
000044,1991-February,1991,2,Harvard online group for Religious Studies,1,1,Digital resources and tools,Dominik Wujastyk
000046,1991-March,1991,3,Ambedkar Symposium in Toronto,1,1,Announcements and events,Richard P. Hayes
000047,1991-April,1991,4,information,3,2,General scholarly discussion,ZYSK at EDU.NYU.ACFCLUSTER | madhav_deshpande at EDU.UMICH.CC.UM
000050,1991-April,1991,4,,1,1,General scholarly discussion,falk
000051,1991-April,1991,4,Nagarjuna,1,1,General scholarly discussion,Dominik Wujastyk
000052,1991-April,1991,4,the making of critical editions,1,1,General scholarly discussion,Dominik Wujastyk
000053,1991-April,1991,4,Granoff's address received with thanks,1,1,General scholarly discussion,Dominik Wujastyk
000054,1991-May,1991,5,Nagarjuna,1,1,General scholarly discussion,OLIVELLE at EDU.INDIANA.UCS
000055,1991-May,1991,5,,4,4,General scholarly discussion,CYFB000 | ZYSK at EDU.NYU.ACFCLUSTER | falk | madhav_deshpande at EDU.UMICH.CC.UM
000058,1991-May,1991,5,Jaisalmer Bhandar opens ...,2,2,General scholarly discussion,Dominik Wujastyk | ZYSK at EDU.NYU.ACFCLUSTER
000061,1991-May,1991,5,"""Tat"" as Indefinite Pronoun",2,2,General scholarly discussion,Paul Kiparsky | madhav_deshpande at EDU.UMICH.CC.UM
000063,1991-May,1991,5,Sanskrit Syntax Sangha,3,2,Grammar and linguistics,Dominik Wujastyk | Richard P. Hayes
000066,1991-May,1991,5,Syntax archives,1,1,Grammar and linguistics,Richard P. Hayes
000067,1991-May,1991,5,Falk's phone number,2,2,General scholarly discussion,B. Gillon | Dominik Wujastyk
000069,1991-May,1991,5,Falk phone number: ok,1,1,General scholarly discussion,Dominik Wujastyk
000070,1991-May,1991,5,how to sign off INDOLOGY,1,1,General scholarly discussion,Dominik Wujastyk
000071,1991-May,1991,5,Indology discussion list,1,1,General scholarly discussion,ASHER at EDU.UMN.ACS.VX
000072,1991-June,1991,6,Indology discussion list,1,1,General scholarly discussion,water beastie
000073,1991-June,1991,6,email to India,4,4,History and culture,Dominik Wujastyk | VAHIA at EARN.TIFRVAX | Vickie.Banks | water beastie
000077,1991-June,1991,6,e-mail to India,1,1,History and culture,ASHER at EDU.UMN.ACS.VX
000078,1991-June,1991,6,What's Happening?,2,2,General scholarly discussion,Bill Hamblin | Dominik Wujastyk
000079,1991-June,1991,6,your list,1,1,General scholarly discussion,Dominik Wujastyk
000081,1991-June,1991,6,Bimal Matilal,4,4,General scholarly discussion,Dominik Wujastyk | Richard P. Hayes | ZYSK at EDU.NYU.ACFCLUSTER | madhav_deshpande at EDU.UMICH.CC.UM
000082,1991-June,1991,6,Aru.na,1,1,General scholarly discussion,JBRONKHO at CH.UNIL.ULYS
000085,1991-June,1991,6,Matilal,1,1,General scholarly discussion,STEVEC at CA.CONCORDIA.VAX2
000086,1991-June,1991,6,Sarabhanna preaching,1,1,General scholarly discussion,YANOM at EARN.JPNKSUVX
000088,1991-June,1991,6,new journal,1,1,General scholarly discussion,Richard P. Hayes
000089,1991-June,1991,6,tamil,3,3,General scholarly discussion,Peter_Granda at EDU.UMICH.CC.UB | Shah | falk
000092,1991-June,1991,6,address,1,1,General scholarly discussion,Falk
000093,1991-June,1991,6,Dr.Salomon,1,1,General scholarly discussion,Thomas B. Ridgeway
000094,1991-June,1991,6,Dr.Salomon,2,2,General scholarly discussion,Shah | YANOM at EARN.JPNKSUVX
000096,1991-July,1991,7,mailing list,3,3,General scholarly discussion,Dominik Wujastyk | Purusottama Bilimoria | Shah
000099,1991-July,1991,7,mailing list,1,1,General scholarly discussion,alan
000100,1991-July,1991,7,IBM fonts,4,4,General scholarly discussion,ANNA MORPURGO DAVIES | BANKS at UK.AC.OXFORD.VAX | STUART at UK.AC.OXFORD.VAX | ZYSK at EDU.NYU.ACFCLUSTER
000104,1991-July,1991,7,subscription,1,1,List administration,Thomas Malten
000105,1991-July,1991,7,Jaisalmer Manuscripts,1,1,General scholarly discussion,Dominik Wujastyk
000106,1991-July,1991,7,MS lists available,2,2,Manuscripts and epigraphy,Dominik Wujastyk | LYAA101 at EARN.UTXVM
000108,1991-July,1991,7,,2,1,General scholarly discussion,FO90030
000110,1991-July,1991,7,Bibliography of Burrow's writings,1,1,General scholarly discussion,ANNA MORPURGO DAVIES
000111,1991-August,1991,8,,1,1,General scholarly discussion,FO90030
000112,1991-August,1991,8,introducing myself,2,2,General scholarly discussion,PETERG at EDU.UMICH.ICPSR.ICPSR | Thomas Malten
000114,1991-August,1991,8,Welcome to new members,1,1,General scholarly discussion,Dominik Wujastyk
000115,1991-August,1991,8,who is a member of INDOLOGY?,1,1,General scholarly discussion,Richard P. Hayes
000116,1991-August,1991,8,Vedic dates,2,2,Veda and ritual,JBRONKHO at CH.UNIL.ULYS | ZYSK at EDU.NYU.ACFCLUSTER
000118,1991-September,1991,9,Indian library addresses,3,3,General scholarly discussion,TCOB000 | ZYSK at EDU.NYU.ACFCLUSTER | madhav.deshpande at EDU.UMICH.CC.UM
000120,1991-September,1991,9,F. Velthuis's nagari font now freely available,1,1,Digital resources and tools,Thomas B. Ridgeway
000122,1991-September,1991,9,soc.culture.india,5,3,History and culture,Dominik Wujastyk | Thomas Malten <D87 at vm.urz.uni-heidelberg.de> | peg!paua at ORG.IGC
000125,1991-September,1991,9,Availability of NetNews on VMS and VM,2,1,General scholarly discussion,Jim Cocks
000128,1991-September,1991,9,examples of subject headings from soc.culture.indian,1,1,History and culture,Ajit Ranade
000129,1991-September,1991,9,India-D an edited discussion list available to non-Unix too,1,1,History and culture,Dominik Wujastyk
000131,1991-September,1991,9,Visuvalingam's address,1,1,General scholarly discussion,Birgit Mayer <AG5 at EARN.DHDURZ1>
000132,1991-September,1991,9,Gujarati on the MAC.,1,1,General scholarly discussion,Dominik Wujastyk
000133,1991-September,1991,9,Vacancy,1,1,Announcements and events,JBRONKHO at CH.UNIL.ULYS
000134,1991-September,1991,9,Devanagari for TeX,1,1,General scholarly discussion,Dominik Wujastyk
000135,1991-October,1991,10,International Journal of Indian Studies,1,1,General scholarly discussion,Richard P. Hayes
000136,1991-October,1991,10,Gary Tubb's whereabouts,3,3,General scholarly discussion,Lynne Cohen Duncan | TCOB000 | ZYSK at EDU.NYU.ACFCLUSTER
000139,1991-October,1991,10,copyright,2,2,General scholarly discussion,Dominik Wujastyk | Peter Schreiner
000141,1991-October,1991,10,using Devanagari or transliteration,1,1,Digital resources and tools,Richard P. Hayes
000142,1991-October,1991,10,Romanization and Nagari output,1,1,General scholarly discussion,Dominik Wujastyk
000143,1991-October,1991,10,Romanization,1,1,General scholarly discussion,Thomas B. Ridgeway
000144,1991-October,1991,10,Romanization,2,2,General scholarly discussion,E50488 at EARN.JPNKUDPC | ZYSK at EDU.NYU.ACFCLUSTER
000146,1991-October,1991,10,Romanization when?,2,2,General scholarly discussion,Dominik Wujastyk | Richard P. Hayes
000148,1991-October,1991,10,Help with address,1,1,General scholarly discussion,Richard P. Hayes
054041,1991-October,1991,10,Gary Tubb's whereabouts,1,1,General scholarly discussion,Institute of Social and Cultural Anthropology
000149,1991-November,1991,11,,8,5,General scholarly discussion,Dominik Wujastyk | E50488 at EARN.JPNKUDPC | FO90030 | Jamie | Richard Philip Hayes
000152,1991-November,1991,11,Teaching through romanization,1,1,Teaching and pedagogy,Richard Philip Hayes
000153,1991-November,1991,11,Nagari or not?,2,1,General scholarly discussion,ZYSK at EDU.NYU.ACFCLUSTER
000154,1991-November,1991,11,Can anyone help please?,1,1,General scholarly discussion,"Be no coward,knave nor fool"
000156,1991-November,1991,11,Institutes in India,1,1,History and culture,RICK ASHER
000157,1991-November,1991,11,Vrindaban Research Institute,2,2,General scholarly discussion,Dominik Wujastyk | JBRONKHO at CH.UNIL.ULYS
000159,1991-November,1991,11,Review of Siegel's Magic book,1,1,General scholarly discussion,Dominik Wujastyk
