slug,year,month,month_name,message_count_index,message_count_mbox,gzip_kb_index,thread_url,date_url,gzip_url
2017-March,2017,3,March,154,154,79,https://list.indology.info/pipermail/indology/2017-March/thread.html,https://list.indology.info/pipermail/indology/2017-March/date.html,https://list.indology.info/pipermail/indology/2017-March.txt.gz
2017-April,2017,4,April,198,198,123,https://list.indology.info/pipermail/indology/2017-April/thread.html,https://list.indology.info/pipermail/indology/2017-April/date.html,https://list.indology.info/pipermail/indology/2017-April.txt.gz
2017-May,2017,5,May,251,251,165,https://list.indology.info/pipermail/indology/2017-May/thread.html,https://list.indology.info/pipermail/indology/2017-May/date.html,https://list.indology.info/pipermail/indology/2017-May.txt.gz
2017-June,2017,6,June,260,260,246,https://list.indology.info/pipermail/indology/2017-June/thread.html,https://list.indology.info/pipermail/indology/2017-June/date.html,https://list.indology.info/pipermail/indology/2017-June.txt.gz
2017-July,2017,7,July,136,136,99,https://list.indology.info/pipermail/indology/2017-July/thread.html,https://list.indology.info/pipermail/indology/2017-July/date.html,https://list.indology.info/pipermail/indology/2017-July.txt.gz
2017-August,2017,8,August,155,155,119,https://list.indology.info/pipermail/indology/2017-August/thread.html,https://list.indology.info/pipermail/indology/2017-August/date.html,https://list.indology.info/pipermail/indology/2017-August.txt.gz
2017-September,2017,9,September,189,189,165,https://list.indology.info/pipermail/indology/2017-September/thread.html,https://list.indology.info/pipermail/indology/2017-September/date.html,https://list.indology.info/pipermail/indology/2017-September.txt.gz
2017-October,2017,10,October,138,138,89,https://list.indology.info/pipermail/indology/2017-October/thread.html,https://list.indology.info/pipermail/indology/2017-October/date.html,https://list.indology.info/pipermail/indology/2017-October.txt.gz
2017-November,2017,11,November,140,140,82,https://list.indology.info/pipermail/indology/2017-November/thread.html,https://list.indology.info/pipermail/indology/2017-November/date.html,https://list.indology.info/pipermail/indology/2017-November.txt.gz
2017-December,2017,12,December,136,136,69,https://list.indology.info/pipermail/indology/2017-December/thread.html,https://list.indology.info/pipermail/indology/2017-December/date.html,https://list.indology.info/pipermail/indology/2017-December.txt.gz
2018-January,2018,1,January,156,156,84,https://list.indology.info/pipermail/indology/2018-January/thread.html,https://list.indology.info/pipermail/indology/2018-January/date.html,https://list.indology.info/pipermail/indology/2018-January.txt.gz
2018-February,2018,2,February,109,109,52,https://list.indology.info/pipermail/indology/2018-February/thread.html,https://list.indology.info/pipermail/indology/2018-February/date.html,https://list.indology.info/pipermail/indology/2018-February.txt.gz
2018-March,2018,3,March,72,72,50,https://list.indology.info/pipermail/indology/2018-March/thread.html,https://list.indology.info/pipermail/indology/2018-March/date.html,https://list.indology.info/pipermail/indology/2018-March.txt.gz
2018-April,2018,4,April,127,127,98,https://list.indology.info/pipermail/indology/2018-April/thread.html,https://list.indology.info/pipermail/indology/2018-April/date.html,https://list.indology.info/pipermail/indology/2018-April.txt.gz
2018-May,2018,5,May,153,153,107,https://list.indology.info/pipermail/indology/2018-May/thread.html,https://list.indology.info/pipermail/indology/2018-May/date.html,https://list.indology.info/pipermail/indology/2018-May.txt.gz
2018-June,2018,6,June,139,139,124,https://list.indology.info/pipermail/indology/2018-June/thread.html,https://list.indology.info/pipermail/indology/2018-June/date.html,https://list.indology.info/pipermail/indology/2018-June.txt.gz
2018-July,2018,7,July,72,72,45,https://list.indology.info/pipermail/indology/2018-July/thread.html,https://list.indology.info/pipermail/indology/2018-July/date.html,https://list.indology.info/pipermail/indology/2018-July.txt.gz
2018-August,2018,8,August,276,276,217,https://list.indology.info/pipermail/indology/2018-August/thread.html,https://list.indology.info/pipermail/indology/2018-August/date.html,https://list.indology.info/pipermail/indology/2018-August.txt.gz
2018-September,2018,9,September,295,295,351,https://list.indology.info/pipermail/indology/2018-September/thread.html,https://list.indology.info/pipermail/indology/2018-September/date.html,https://list.indology.info/pipermail/indology/2018-September.txt.gz
2018-October,2018,10,October,217,217,177,https://list.indology.info/pipermail/indology/2018-October/thread.html,https://list.indology.info/pipermail/indology/2018-October/date.html,https://list.indology.info/pipermail/indology/2018-October.txt.gz
