thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
009449,The Bhagavad Gita site,1997,Texts and philology,general discussion,15,https://list.indology.info/pipermail/indology/1997-October/009449.html,I; III,upanisad,Epic & prolongements; Upaniṣad; Vedic,5,9,subject_pattern,subject matched `Gita` using `state_III`; subject matched `upaniSad` using `state_I`; subject matched `chAndogya` using `register_upanisad`; subject matched `upaniSad` using `state_I`; subject matched `chAndogya` using `register_upanisad`; subject matched `upaniSad` using `state_I`
009456,chAndogya upaniSad 1.1.8 and 8.3.5,1997,Veda and ritual,general discussion,12,https://list.indology.info/pipermail/indology/1997-October/009456.html,I,upanisad,Upaniṣad; Vedic,7,14,subject_pattern,subject matched `upaniSad` using `state_I`; subject matched `chAndogya` using `register_upanisad`; subject matched `upaniSad` using `state_I`; subject matched `chAndogya` using `register_upanisad`; subject matched `upaniSad` using `state_I`; subject matched `chAndogya` using `register_upanisad`
009460,chAndogya upaniSad 1.1.8 and 8.3.5,1997,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/1997-October/009460.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `upaniSad` using `state_I`; subject matched `chAndogya` using `register_upanisad`
009490,chAndogya upaniSad 1.1.8 and 8.3.5,1997,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/1997-October/009490.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `upaniSad` using `state_I`; subject matched `chAndogya` using `register_upanisad`
009510,"potters, brahmins, and RSis (contd.)",1997,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1997-October/009510.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `upaniSad` using `state_I`; subject matched `chAndogya` using `register_upanisad`
012240,URGENT -- Q. Number of institutions offering courses on Hinduism,1998,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1998-May/012240.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Brhadaranyaka` using `register_upanisad`
012351,SI Mss. Libraries,1998,Manuscripts and epigraphy,general discussion,5,https://list.indology.info/pipermail/indology/1998-May/012359.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Brhadaranyaka` using `register_upanisad`
012365,Brhadaranyaka Upanisad III. ii .12,1998,Veda and ritual,general discussion,7,https://list.indology.info/pipermail/indology/1998-May/012373.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Brhadaranyaka` using `register_upanisad`
012367,Brhadaranyaka Upanisad III. ii .12,1998,Veda and ritual,general discussion,2,https://list.indology.info/pipermail/indology/1998-May/012374.html,I,upanisad,Upaniṣad; Vedic,2,4,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Brhadaranyaka` using `register_upanisad`; subject matched `Upanisad` using `state_I`; subject matched `Brhadaranyaka` using `register_upanisad`
012379,Brhadaranyaka Upanisad III. ii .12,1998,Veda and ritual,general discussion,9,https://list.indology.info/pipermail/indology/1998-May/012379.html,I,upanisad,Upaniṣad; Vedic,2,4,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Brhadaranyaka` using `register_upanisad`; subject matched `Upanisad` using `state_I`; subject matched `Brhadaranyaka` using `register_upanisad`
