thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
005445,Trivandrum plays,1996,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1996-July/005445.html,,natya,Nāṭya,1,1,subject_pattern,subject matched `plays` using `register_natya`
006873,Kannada drama,1997,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1997-February/006873.html,I; IV,natya,Classical; Nāṭya; Vedic,2,3,subject_pattern,subject matched `drama` using `state_IV`; subject matched `drama` using `register_natya`; subject matched `Veda` using `state_I`
006876,Q: Elegy Literature,1997,General scholarly discussion,general discussion,25,https://list.indology.info/pipermail/indology/1997-February/006876.html,I; IV,natya; rgveda,Classical; Nāṭya; Vedic; Ṛgveda,11,12,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Veda` using `state_I`; subject matched `drama` using `state_IV`; subject matched `drama` using `register_natya`; subject matched `Veda` using `state_I`; subject matched `Veda` using `state_I`
007398,"List on ""Fold threatre, puppetry, street-plays and the like""",1997,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1997-March/007398.html,,natya,Nāṭya,1,1,subject_pattern,subject matched `plays` using `register_natya`
007397,Sanskrit and Pali Software (fwd),1997,Digital resources and tools,digital resource/tool,3,https://list.indology.info/pipermail/indology/1997-March/007397.html,V,natya,Buddhist / Jaina; Nāṭya,3,3,subject_pattern,subject matched `Pali` using `state_V`; subject matched `plays` using `register_natya`; subject matched `plays` using `register_natya`
007448,european musical instruments in India,1997,History and culture,general discussion,2,https://list.indology.info/pipermail/indology/1997-March/007448.html,,natya,Nāṭya,1,1,subject_pattern,subject matched `play` using `register_natya`
007455,Are violins endowed with religious significance? (was Re: european musical instruments in India),1997,History and culture,general discussion,12,https://list.indology.info/pipermail/indology/1997-March/007455.html,II,natya; sutra; vyakarana,Nāṭya; Pāṇinian; Sūtra; Vyākaraṇa,3,4,subject_pattern,subject matched `sUtra` using `register_sutra`; subject matched `Patanjali` using `state_II`; subject matched `Patanjali` using `register_vyakarana`; subject matched `play` using `register_natya`
007484,churki,1997,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1997-March/007484.html,,natya,Nāṭya,1,1,subject_pattern,subject matched `play` using `register_natya`
007500,(Fwd) query: Gita tapes,1997,Texts and philology,identification/help request,2,https://list.indology.info/pipermail/indology/1997-March/007500.html,III,natya,Epic & prolongements; Nāṭya,2,2,subject_pattern,subject matched `Gita` using `state_III`; subject matched `play` using `register_natya`
007518,A. Danielou (Re: Q: Kannada words in a Greek play?),1997,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1997-March/007518.html,,natya,Nāṭya,1,1,subject_pattern,subject matched `play` using `register_natya`
007513,european musical instruments in India,1997,History and culture,general discussion,7,https://list.indology.info/pipermail/indology/1997-April/007513.html,,natya,Nāṭya,1,1,subject_pattern,subject matched `play` using `register_natya`
007516,Happy New Year!,1997,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1997-April/007516.html,,natya,Nāṭya,1,1,subject_pattern,subject matched `play` using `register_natya`
007520,Danielou and Tamil Musicology,1997,General scholarly discussion,general discussion,7,https://list.indology.info/pipermail/indology/1997-April/007520.html,,natya,Nāṭya,1,1,subject_pattern,subject matched `play` using `register_natya`
007544,Mahashivaratri,1997,General scholarly discussion,general discussion,8,https://list.indology.info/pipermail/indology/1997-April/007544.html,,natya,Nāṭya,1,1,subject_pattern,subject matched `play` using `register_natya`
007548,Danielou and Tamil Musicology,1997,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1997-April/007548.html,,natya,Nāṭya,1,1,subject_pattern,subject matched `play` using `register_natya`
007566,european musical instruments in India,1997,History and culture,general discussion,7,https://list.indology.info/pipermail/indology/1997-April/007571.html,I,natya; sutra,Nāṭya; Sūtra; Vedic,5,8,subject_pattern,subject matched `sutra` using `register_sutra`; subject matched `play` using `register_natya`; subject matched `Veda` using `state_I`; subject matched `sUtra` using `register_sutra`; subject matched `Veda` using `state_I`; subject matched `sUtra` using `register_sutra`
