thread_root_id,subject,year,primary_topic,list_function,message_count,author_count,reply_count,case_score,page_path,first_url,evidence
052077,A distraction from the Coronavirus,2020,General scholarly discussion,general discussion,122,19,122,427,threads/001-052077-a-distraction-from-the-coronavirus.html,https://list.indology.info/pipermail/indology/2020-April/052077.html,long thread; multi-author; resolved replies
013924,SV: Paired Horse and PIE breakup,1998,General scholarly discussion,general discussion,108,14,106,388,threads/002-013924-sv-paired-horse-and-pie-breakup.html,https://list.indology.info/pipermail/indology/1998-November/013927.html,long thread; multi-author; resolved replies; thanks/correction language
023195,"""Science"" in India",2000,History and culture,general discussion,70,34,68,338,threads/003-023195-science-in-india.html,https://list.indology.info/pipermail/indology/2000-October/023202.html,long thread; multi-author; resolved replies; thanks/correction language
049728,Sexism and Bias on INDOLOGY governing committee,2019,General scholarly discussion,debate/controversy,56,35,55,285,threads/004-049728-sexism-and-bias-on-indology-governing-committee.html,https://list.indology.info/pipermail/indology/2019-April/049728.html,long thread; multi-author; resolved replies; debate language
015606,Ontology of Ramanuja,1999,General scholarly discussion,general discussion,74,12,73,284,threads/005-015606-ontology-of-ramanuja.html,https://list.indology.info/pipermail/indology/1999-February/015606.html,long thread; multi-author; resolved replies
049514,Non-standard sandhi,2019,Grammar and linguistics,philological discussion,82,10,81,282,threads/006-049514-non-standard-sandhi.html,https://list.indology.info/pipermail/indology/2019-March/049514.html,long thread; multi-author; resolved replies
010710,Tamil words in English,1998,General scholarly discussion,general discussion,59,26,57,279,threads/007-010710-tamil-words-in-english.html,https://list.indology.info/pipermail/indology/1998-February/010711.html,long thread; multi-author; resolved replies; request/help language
015672,"questions: hymns, latAveZin, manner of death",1999,General scholarly discussion,general discussion,58,20,57,264,threads/008-015672-questions-hymns-latavezin-manner-of-death.html,https://list.indology.info/pipermail/indology/1999-February/015672.html,long thread; multi-author; resolved replies; request/help language
019623,Millennium,2000,General scholarly discussion,general discussion,61,16,60,257,threads/009-019623-millennium.html,https://list.indology.info/pipermail/indology/2000-January/019623.html,long thread; multi-author; resolved replies; request/help language
020450,BiBTeX Packages for citing MSS,2000,Veda and ritual,general discussion,47,22,46,247,threads/010-020450-bibtex-packages-for-citing-mss.html,https://list.indology.info/pipermail/indology/2000-March/020450.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
030283,Pancaratna of the MBh?,2007,General scholarly discussion,general discussion,44,26,43,238,threads/011-030283-pancaratna-of-the-mbh.html,https://list.indology.info/pipermail/indology/2007-January/030283.html,long thread; multi-author; resolved replies; request/help language; debate language
060627,Johannes Bronkhorst gone,2025,General scholarly discussion,general discussion,39,38,38,233,threads/012-060627-johannes-bronkhorst-gone.html,https://list.indology.info/pipermail/indology/2025-May/060627.html,long thread; multi-author; resolved replies
012389,South India geography,1998,General scholarly discussion,general discussion,53,15,51,232,threads/013-012389-south-india-geography.html,https://list.indology.info/pipermail/indology/1998-May/012393.html,long thread; multi-author; resolved replies; request/help language
014966,Early Giithaa sculptures,1999,General scholarly discussion,general discussion,49,16,47,229,threads/014-014966-early-giithaa-sculptures.html,https://list.indology.info/pipermail/indology/1999-January/014967.html,long thread; multi-author; resolved replies; request/help language; debate language
014599,'Siva and Avalokitezvara,1998,General scholarly discussion,general discussion,55,14,54,229,threads/015-014599-siva-and-avalokitezvara.html,https://list.indology.info/pipermail/indology/1998-December/014599.html,long thread; multi-author; resolved replies; request/help language
016740,original inhabitants of Sri Lanka,1999,General scholarly discussion,general discussion,48,17,47,219,threads/016-016740-original-inhabitants-of-sri-lanka.html,https://list.indology.info/pipermail/indology/1999-May/016740.html,long thread; multi-author; resolved replies; thanks/correction language
023602,HTML Based Email (AOL 6.0),2000,General scholarly discussion,general discussion,46,19,44,217,threads/017-023602-html-based-email-aol-6-0.html,https://list.indology.info/pipermail/indology/2000-November/023614.html,long thread; multi-author; resolved replies; thanks/correction language
024160,Correction re: Cerebral L in Rg Veda,2000,General scholarly discussion,general discussion,39,21,38,216,threads/018-024160-correction-re-cerebral-l-in-rg-veda.html,https://list.indology.info/pipermail/indology/2000-December/024160.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
053691,Anniversary of INDOLOGY,2020,General scholarly discussion,general discussion,38,33,37,215,threads/019-053691-anniversary-of-indology.html,https://list.indology.info/pipermail/indology/2020-November/053691.html,long thread; multi-author; resolved replies
012034,Zraadha in Nepal,1998,General scholarly discussion,general discussion,45,18,43,211,threads/020-012034-zraadha-in-nepal.html,https://list.indology.info/pipermail/indology/1998-May/012045.html,long thread; multi-author; resolved replies; debate language
