source_author,target_author,confidence,weight
Rolf Heiner Koch,DEVARAKONDA VENKATA NARAYANA SARMA,thread_inferred,2
Rolf Heiner Koch,Elliot Stern,thread_inferred,2
Kenneth Zysk,Peter Wyzlic,thread_inferred,2
Rolf Heiner Koch,Jonathan Silk,thread_inferred,2
Lubomír Ondračka,"Tieken, H.J.H.",exact_in_reply_to,2
Rolf Heiner Koch,S Krishna,thread_inferred,2
Lubomír Ondračka,Valerie Roebuck,exact_in_reply_to,2
Rolf Heinrich Koch,Arlo Griffiths,exact_in_reply_to,2
Mahendra Kumar Mishra,Tracy Coleman,thread_inferred,2
Mahes Raj Pant,Enrica Garzilli,thread_inferred,2
Rolf Heinrich Koch,Jim Ryan,exact_in_reply_to,2
Mahes Raj Pant,Mahes Raj Pant,thread_inferred,2
Dipak Bhattacharya,Jean-Michel Delire,thread_inferred,2
Rolf Heinrich Koch,Matthew Kapstein,exact_in_reply_to,2
Rolf Heinrich Koch,Roland Steiner,exact_in_reply_to,2
Rolf Heinrich Koch,Rolf Heinrich Koch,exact_in_reply_to,2
Mahes Raj Pant,Patrick Olivelle,thread_inferred,2
Rolf Heinrich Koch,Seishi Karashima,exact_in_reply_to,2
Rolf Heinrich Koch,"Tieken, H.J.H. (Herman)",exact_in_reply_to,2
Rolf Heinrich Koch,Valerie Roebuck,exact_in_reply_to,2
Rolf Heinrich Koch,alakendu das,exact_in_reply_to,2
Dominik Wujastyk,James Hartzell,exact_in_reply_to,2
Dipak Bhattacharya,Jean-Michel Delire,exact_in_reply_to,2
Maheswaran Nair,Ashok Aklujkar,thread_inferred,2
Rosane Rocher,Allen W Thrasher,thread_inferred,2
Rosane Rocher,Dean Michael Anderson,exact_in_reply_to,2
Caley Smith,Dean Michael Anderson,exact_in_reply_to,2
Rosane Rocher,Madhav Deshpande,exact_in_reply_to,2
Dominik Wujastyk,Jakub Cejka Visitor-Sanskrit,thread_inferred,2
Rosane Rocher,Matthew Kapstein,exact_in_reply_to,2
Rosane Rocher,Michael Witzel,thread_inferred,2
Hans Henrich Hock,Hans Henrich Hock,thread_inferred,2
Rosane Rocher,Rosane Rocher,exact_in_reply_to,2
Rosane Rocher,Rosane Rocher,thread_inferred,2
Rosane Rocher,mkapstei at UCHICAGO.EDU,thread_inferred,2
Rosane Rocher,rajam,exact_in_reply_to,2
Lubomír Ondračka,Westin Harris,exact_in_reply_to,2
Maheswaran Nair,Walter Slaje,thread_inferred,2
Rosina Pastore,Jean Michel DELIRE,thread_inferred,2
Rosina Pastore,Rosina Pastore,exact_in_reply_to,2
Rosina Pastore,Дмитрий Комиссаров,exact_in_reply_to,2
Dipak Bhattacharya,Jarrod Whitaker,exact_in_reply_to,2
Royce Wiles,Jonathan Silk,thread_inferred,2
Royce Wiles,Royce Wiles,thread_inferred,2
Royce Wiles,Seishi Karashima,exact_in_reply_to,2
Royce.Wiles at anu.edu.au,Enrica Garzilli,thread_inferred,2
Rupert Gethin,Eli Franco,exact_in_reply_to,2
Maheswaran Nair,jkirk,thread_inferred,2
Rupert Gethin,Rupert Gethin,exact_in_reply_to,2
Rustam Masalewala,Yashwant Malaiya,thread_inferred,2
Bapat Jb,l.m.fosse at easteur-orient.uio.no,thread_inferred,2
Kenneth Zysk,Patrick Olivelle,thread_inferred,2
Ruth Rickard,S Krishna,thread_inferred,2
Ruzsa Ferenc,Allen W Thrasher,thread_inferred,2
Ryan Conlon,David and Nancy Reigle,exact_in_reply_to,2
Ryan Damron,Dan Lusthaus,exact_in_reply_to,2
S Bhatta,Steve Farmer,thread_inferred,2
S Krishna,Anshuman Pandey,thread_inferred,2
Malcolm Keating,Malcolm Keating,exact_in_reply_to,2
Malcolm Keating,Malcolm Keating,thread_inferred,2
Dipak Bhattacharya,Jan Houben,thread_inferred,2
S Krishna,Dr. Jai Maharaj,thread_inferred,2
S Krishna,George Thompson,thread_inferred,2
S Krishna,Gregory {Greg} Downing,thread_inferred,2
S Krishna,Harry Spier,thread_inferred,2
S Krishna,Jan E.M. Houben,thread_inferred,2
Hans Henrich Hock,George Hart,thread_inferred,2
"Lindquist, Steven",Robert Zydenbos,exact_in_reply_to,2
S Krishna,Marianna Kropf,thread_inferred,2
S Krishna,Michael Witzel,thread_inferred,2
Eugen Ciurtin,Dominik Wujastyk,exact_in_reply_to,2
Mandakranta Bose,Kenneth G. Zysk,thread_inferred,2
Mani Varadarajan,Balaji Hebbar,thread_inferred,2
Bapat Jb,Dominik Wujastyk,thread_inferred,2
S Krishna,RAH,thread_inferred,2
JR Gardner,Jacob Baltuch,thread_inferred,2
Bapa Rao,N. Ganesan,thread_inferred,2
S Krishna,SRINIVASAKRISHNAN L,thread_inferred,2
JR Gardner,JR Gardner,thread_inferred,2
Mani Varadarajan,Benjamin Fleming,thread_inferred,2
Ernst.Prets at oeaw.ac.at,tat at quel.stu.neva.ru,thread_inferred,2
Hans Henrich Hock,Balaji Hebbar,thread_inferred,2
Mani Varadarajan,Girish Beeharry,thread_inferred,2
Dipak Bhattacharya,Harsha Dehejia,exact_in_reply_to,2
S Stephen,N. Ganesan,thread_inferred,2
S Stephen,nanda chandran,thread_inferred,2
Balogh Dániel,Peter Wyzlic,exact_in_reply_to,2
K V N Gopal,leonard zwilling,thread_inferred,2
Dipak Bhattacharya,"Gruenendahl, Reinhold",thread_inferred,2
S. Kalyanaraman,Pramit Bhasin,thread_inferred,2
Jean-Michel Delire,Jean-Michel Delire,thread_inferred,2
S. Kalyanaraman,Sn. Subrahmanya,thread_inferred,2
Johnrobert Gardner,Dominik Wujastyk,exact_in_reply_to,2
JR Gardner,Dominik Wujastyk,thread_inferred,2
John Peterson,John Peterson,thread_inferred,2
S.Kalyanaraman,Paul Kekai Manansala,thread_inferred,2
S.Kalyanaraman,Periannan Chandrasekaran,thread_inferred,2
S.Kalyanaraman,"Robert, Eric",thread_inferred,2
Dipak Bhattacharya,Fabrice Duvinage,exact_in_reply_to,2
S.Kalyanaraman,Shrisha Rao,thread_inferred,2
Caley Smith,Artur Karp,exact_in_reply_to,2
Kenneth Zysk,Jonathan Silk,thread_inferred,2
SHARMA GHANSHYAM,Frank Van Den Bossche,thread_inferred,2
SILK at AC.GRIN.EDU,Andrew Fort,thread_inferred,2
SILK at AC.GRIN.EDU,David Magier,thread_inferred,2
SILK at AC.GRIN.EDU,SILK at AC.GRIN.EDU,thread_inferred,2
SILK at AC.GRIN.EDU,l.m.fosse at easteur-orient.uio.no,thread_inferred,2
Erik Seldeslachts,Swaminathan Madhuresan,thread_inferred,2
SNS,Miguel Carrasquer Vidal,thread_inferred,2
Dipak Bhattacharya,Elena Bashir,thread_inferred,2
SNS,Partha Banerjee,thread_inferred,2
SP,Palaniappa,thread_inferred,2
SUBSCRIBE INDOLOGY Dmitri,Dmitri,thread_inferred,2
Erik Seldeslachts,Sn. Subrahmanya,thread_inferred,2
Erik Seldeslachts,SStephen,thread_inferred,2
Mani Varadarajan,Narahari Achar,thread_inferred,2
Sam Parayath,Narayan R. Joshi,thread_inferred,2
Balaji Hebbar,D Satyanarayana,thread_inferred,2
Mani Varadarajan,Sudalaimuthu Palaniappan,thread_inferred,2
Samar Abbas,Bijoy Misra,thread_inferred,2
Samar Abbas,Dr. Nupam Mahajan,thread_inferred,2
Samar Abbas,Edwin Bryant,thread_inferred,2
Mani Varadarajan,Vidyasankar Sundaresan,thread_inferred,2
Samar Abbas,K. S. Arjunwadkar,thread_inferred,2
Samar Abbas,Lars Martin Fosse,thread_inferred,2
Samar Abbas,Luis Gonzalez-Reimann,thread_inferred,2
Samar Abbas,Michael Witzel,thread_inferred,2
Erik Seldeslachts,N. Ganesan,thread_inferred,2
Samar Abbas,Namrata Bose,thread_inferred,2
Samar Abbas,Narayan R. Joshi,thread_inferred,2
Samar Abbas,Narayan R.Joshi,thread_inferred,2
L. Suresh Kumar-LSK,N. Ganesan,thread_inferred,2
Samar Abbas,Partha Banerjee,thread_inferred,2
Erik Seldeslachts,Jacob Baltuch,thread_inferred,2
Samar Abbas,Richard Barz,thread_inferred,2
Samar Abbas,Robert Zydenbos,thread_inferred,2
BROCKINGTON John,BROCKINGTON John,exact_in_reply_to,2
Samar Abbas,Shrinivas Tilak,thread_inferred,2
Samar Abbas,Sudalaimuthu Palaniappan,thread_inferred,2
Samar Abbas,Tein Network,thread_inferred,2
Kenneth Zysk,"Gruenendahl, Reinhold",thread_inferred,2
Samar Abbas,Vidyasankar Sundaresan,thread_inferred,2
Samar Abbas,Vishal Agarwal,thread_inferred,2
Samar Abbas,rohan.oberoi at CORNELL.EDU,thread_inferred,2
Mani Varadarajan,nanda chandran,thread_inferred,2
Samuel Grimes,Harry Spier,exact_in_reply_to,2
Erik Seldeslachts,Erik Seldeslachts,thread_inferred,2
L.S.Cousins,Sudalaimuthu Palaniappan,thread_inferred,2
Sanjeev Shankar,N. Ganesan,thread_inferred,2
Sanket Thakur,Sanket Thakur,thread_inferred,2
Satish K. Tiwary,Vikrant Shah,thread_inferred,2
Erik Seldeslachts,D.H. Killingley,thread_inferred,2
Manu Francis,Christophe Vielle,exact_in_reply_to,2
Satya Upadhya,Swaminathan Madhuresan,thread_inferred,2
Satyanad Kichenassamy,Asko Parpola,exact_in_reply_to,2
L. Suresh Kumar-LSK,L. Suresh Kumar-LSK,thread_inferred,2
Satyanad Kichenassamy,Jan E.M. Houben,exact_in_reply_to,2
Satyanad Kichenassamy,Jean-Luc Chevillard,exact_in_reply_to,2
Satyanad Kichenassamy,Satyanad Kichenassamy,exact_in_reply_to,2
Manu Francis,Harry Spier,exact_in_reply_to,2
Sebastian Nehrdich,Dominik Wujastyk,exact_in_reply_to,2
B.Bhattacharya,Sudalaimuthu Palaniappan,thread_inferred,2
Seishi Karashima,Bill Mak,exact_in_reply_to,2
Seishi Karashima,Elliot Stern,exact_in_reply_to,2
Seishi Karashima,Matthew Kapstein,exact_in_reply_to,2
Manu Francis,James Hegarty,exact_in_reply_to,2
Seishi Karashima,Seishi Karashima,exact_in_reply_to,2
Sergei,N. Ganesan,thread_inferred,2
Sergei Schmalz,Jan Brzezinski,thread_inferred,2
Sergio Mascarenhas,L.S.Cousins,thread_inferred,2
Shankar Nair,Christophe Vielle,exact_in_reply_to,2
Sharon Ben-Dor,Madhav Deshpande,exact_in_reply_to,2
Sharon Ben-Dor,Rishi Rajpopat,exact_in_reply_to,2
"Shaw, Julia",Artur Karp,thread_inferred,2
Manu Francis,Jean-Luc Chevillard,exact_in_reply_to,2
Shayne Clarke,Lars Martin Fosse,thread_inferred,2
Shervin Farridnejad,James Hartzell,exact_in_reply_to,2
Manu Francis,Jesse Knutson,exact_in_reply_to,2
Shervin Farridnejad,Nagaraj Paturi,exact_in_reply_to,2
Dipak Bhattacharya,"Bijlert, V.A. van",exact_in_reply_to,2
Shrikant Bahulkar,Ashok Aklujkar,thread_inferred,2
Shrikant Bahulkar,John Robert Gardner,thread_inferred,2
B. Schlerath,Subrahmanya S.,thread_inferred,2
Lubomír Ondračka,luther obrock,exact_in_reply_to,2
Shrikant Bahulkar,McComas Taylor,exact_in_reply_to,2
Shrikant Bahulkar,Paul Thomas,exact_in_reply_to,2
Jean-Luc Chevillard,rajam,thread_inferred,2
Shrinivas Tilak,Shrinivas Tilak,thread_inferred,2
Shrinivasa Varakhedi,Dominik Wujastyk,thread_inferred,2
Shrinivasa Varakhedi,Nityanand Misra,exact_in_reply_to,2
Shrisha Rao,Balaji Hebbar,thread_inferred,2
Manu Francis,Kenneth Gregory Zysk,exact_in_reply_to,2
JN,Harsha Dehejia,thread_inferred,2
Harry Spier,alakendu das,exact_in_reply_to,2
Shrisha Rao,Steve Farmer,thread_inferred,2
Dipak Bhattacharya,Asko Parpola,thread_inferred,2
Manu Francis,Manu Francis,thread_inferred,2
Shyam Ranganathan,Peter M. Scharf,thread_inferred,2
Dipak Bhattacharya,Ashok Aklujkar,exact_in_reply_to,2
Sid Harth,Johannes B. Tuemmers,thread_inferred,2
B. Reusch,Luis Gonzalez-Reimann,thread_inferred,2
Manu Francis,Marco Franceschini,exact_in_reply_to,2
Simon Brodbeck,Simon Brodbeck,thread_inferred,2
Simon John Haines,Vidyasankar Sundaresan,thread_inferred,2
Sn. Subrahmanya,DR.S.KALYANARAMAN,thread_inferred,2
Sn. Subrahmanya,Dr.S.Kalyanaraman,thread_inferred,2
Sn. Subrahmanya,Lars Martin Fosse,thread_inferred,2
HFArnold at aol.com,tatelman at total.net,thread_inferred,2
Manu Francis,Matthew Kapstein,exact_in_reply_to,2
B. Reusch,Chris Austin,thread_inferred,2
Sn. Subrahmanya,Sn. Subrahmanya,thread_inferred,2
Dipak Bhattacharya,Arlo Griffiths,exact_in_reply_to,2
Somadeva Vasudeva,Somadeva Vasudeva,thread_inferred,2
Somayaji Rajagopala,Bob Peck,thread_inferred,2
Somayaji Rajagopala,Harry Spier,thread_inferred,2
Somayaji Rajagopala,N. Ganesan,thread_inferred,2
COHEN at vax.rhodes.edu,Paul B. Courtright,thread_inferred,2
Sonam Kachru,mkapstei at UCHICAGO.EDU,thread_inferred,2
Sreenivas Paruchuri,N. Ganesan,thread_inferred,2
Sreenivas Paruchuri,Richard Salomon,thread_inferred,2
Luis Arnold Gonzalez-Reimann,Girish Beeharry,thread_inferred,2
Sreenivas Paruchuri,jayabarathi,thread_inferred,2
Srini Pichumani,Elliot Stern,thread_inferred,2
Srini Pichumani,Harry Spier,thread_inferred,2
Srini Pichumani,Michael Witzel,thread_inferred,2
Luis Arnold Gonzalez-Reimann,J. Randall Groves,thread_inferred,2
Dipak Bhattacharya,Anna A. Slaczka,thread_inferred,2
Srinivas Sunder,Greg Eichler,thread_inferred,2
Srinivas Sunder,l.m.fosse at easteur-orient.uio.no,thread_inferred,2
Srinivasa Varakhedi,Dominik Wujastyk,thread_inferred,2
Srinivasan Pichumani,AmitaSarin at aol.com,thread_inferred,2
JN,Dominik Wujastyk,thread_inferred,2
Srinivasan Pichumani,Kenneth G. Zysk,thread_inferred,2
Srinivasan Pichumani,Luis Gonzalez-Reimann,thread_inferred,2
Manu Francis,palaniappa at aol.com,exact_in_reply_to,2
Maran Kathirchelvan,Periannan Chandrasekaran,thread_inferred,2
Srinivasan Pichumani,N. Ganesan,thread_inferred,2
Srinivasan Pichumani,Narayan S. Raja,thread_inferred,2
Jean-Luc Chevillard,patrick mccartney,exact_in_reply_to,2
Maran Kathirchelvan,Ven. Tantra,thread_inferred,2
Marco Franceschini,Christian Ferstl,exact_in_reply_to,2
Marco Franceschini,Christophe Vielle,exact_in_reply_to,2
Srinivasan Pichumani,aklujkar at unixg.ubc.ca,thread_inferred,2
Srinivasan Pichumani,nas_ng at lms420.jsc.nasa.gov,thread_inferred,2
Dominik Wujastyk,Isabelle Ratie,exact_in_reply_to,2
Marco Franceschini,Johannes Bronkhorst,exact_in_reply_to,2
Stefan Baums,Allen W Thrasher,thread_inferred,2
Marco Franceschini,Madhav Deshpande,exact_in_reply_to,2
Stefan Baums,Andrew Ollett,exact_in_reply_to,2
Harry Spier,Westin Harris,exact_in_reply_to,2
Stefan Baums,Antonia Ruppel,exact_in_reply_to,2
Stefan Baums,Ashok Aklujkar,thread_inferred,2
Marco Franceschini,Matthew Kapstein,exact_in_reply_to,2
Stefan Baums,DIEGO LOUKOTA SANCLEMENTE,exact_in_reply_to,2
Lubomir Ondracka,Dan Lusthaus,exact_in_reply_to,2
Mariana Caixeiro,Das Devaraj,thread_inferred,2
Erik Reenberg Sand,Christian K. Wedemeyer,thread_inferred,2
Stefan Baums,George Hart,thread_inferred,2
Lavanya Vemsani,Chiara Policardi,exact_in_reply_to,2
"Lubin, Tim",victor davella,exact_in_reply_to,2
Stefan Baums,"Lubin, Tim",exact_in_reply_to,2
Stefan Baums,Madhav Deshpande,exact_in_reply_to,2
Stefan Baums,Madhav Deshpande,thread_inferred,2
Stefan Baums,Michael Witzel,thread_inferred,2
Stefan Baums,Patrick Olivelle,thread_inferred,2
Stefan Baums,Richard G. Salomon,exact_in_reply_to,2
François Voegeli,Nagaraj Paturi,exact_in_reply_to,2
Erik Hoogcarspel,nanda chandran,thread_inferred,2
Axel Michaels,aklujkar at unixg.ubc.ca,thread_inferred,2
Stefan Baums,Stella Sandahl,thread_inferred,2
Stella Sandahl,Allen W Thrasher,thread_inferred,2
Dominik Wujastyk,INDINST at UK.AC.OXFORD.VAX,thread_inferred,2
HEIJSTEE at rullet.LeidenUniv.nl,tantrapl at hektor.umcs.lublin.pl,thread_inferred,2
Stella Sandahl,Joseph Walser,thread_inferred,2
Stella Sandahl,Luis Gonzalez-Reimann,thread_inferred,2
Dipak Bhattacharya,Adriano Aprigliano,exact_in_reply_to,2
Marie-Hélène Gorisse,Marie-Hélène Gorisse,thread_inferred,2
Stella Sandahl,Pankaj Jain,thread_inferred,2
Stella Sandahl,Patrick Olivelle,exact_in_reply_to,2
JKirkpatrick,rajam,thread_inferred,2
Stella Sandahl,mkapstei at UCHICAGO.EDU,thread_inferred,2
Stephen,Krishna P Konduru,thread_inferred,2
Jean-Luc Chevillard,jonathan.silk at wmich.edu,thread_inferred,2
Stephen H. Phillips,Stephen H. Phillips,thread_inferred,2
Erik Hoogcarspel,Sudalaimuthu Palaniappan,thread_inferred,2
Mark Allon,Allen W Thrasher,thread_inferred,2
"Lubin, Tim",Jan Kučera,exact_in_reply_to,2
Stephen Hodge,Bjarte Kaldhol,thread_inferred,2
Mark Allon,Arlo Griffiths,thread_inferred,2
Stephen Hodge,David Magier,thread_inferred,2
Stephen Hodge,David Salmon,thread_inferred,2
Axel Michaels,McComas Taylor,thread_inferred,2
Erik Hoogcarspel,Srinivasan Pichumani,thread_inferred,2
Stephen Hodge,Georg von Simson,thread_inferred,2
Luis Gonzalez-Reimann,D.H. Killingley,thread_inferred,2
Stephen Hodge,Harry Spier,thread_inferred,2
Stephen Hodge,Hartmut Buescher,thread_inferred,2
Stephen Hodge,Jan E.M. Houben,thread_inferred,2
Stephen Hodge,Jogesh Panda,thread_inferred,2
Stephen Hodge,John Smith,thread_inferred,2
Axel Michaels,Jonathan Silk,thread_inferred,2
Stephen Hodge,Joseph Walser,thread_inferred,2
Stephen Hodge,Klaus Karttunen,thread_inferred,2
Stephen Hodge,L.S. Cousins,thread_inferred,2
Erik Hoogcarspel,Rajarshi Banerjee,thread_inferred,2
Stephen Hodge,Lynken Ghose,thread_inferred,2
Luis Gonzalez-Reimann,David and Nancy Reigle,exact_in_reply_to,2
Dileep Karanth,madhav.deshpande at um.cc.umich.edu,thread_inferred,2
Stephen Hodge,Narayan R.Joshi,thread_inferred,2
Mark Allon,Michael Witzel,thread_inferred,2
Stephen Hodge,Prasad Velusamy,thread_inferred,2
Dileep Karanth,dom,thread_inferred,2
H.M.Hubey,S.Kalyanaraman,thread_inferred,2
Axel Michaels,George Thompson,thread_inferred,2
Erik Hoogcarspel,Partha Banerjee,thread_inferred,2
H.M.Hubey,Paul Kekai Manansala,thread_inferred,2
Erik Hoogcarspel,Narayan S. Raja,thread_inferred,2
Mark Allon,Stefan Baums,exact_in_reply_to,2
JKirkpatrick,Prof. Dr. Robert J. Zydenbos,thread_inferred,2
Stephen Hodge,Valerie J Roebuck,thread_inferred,2
Axel Michaels,Christian Lee Novetzke,thread_inferred,2
Axel Michaels,Artur Karp,thread_inferred,2
Stephen Hodge,Vidyasankar Sundaresan,thread_inferred,2
Mark F. Tritsch,Frank Conlon,thread_inferred,2
Mark McClish,Mark McClish,thread_inferred,2
Axel Michaels,Arlo Griffiths,thread_inferred,2
Kenneth Zysk,Dominik Wujastyk,exact_in_reply_to,2
Stephens,Prasad Velusamy,thread_inferred,2
H.M.Hubey,K. S. Arjunwadkar,thread_inferred,2
Steve Farmer,Allen W Thrasher,thread_inferred,2
Mark McLaughlin,Mark McLaughlin,exact_in_reply_to,2
Steve Farmer,Dan Lusthaus,exact_in_reply_to,2
Steve Farmer,Dean Michael Anderson,exact_in_reply_to,2
Steve Farmer,Dominik Wujastyk,exact_in_reply_to,2
Mark Singleton,Nagaraj Paturi,exact_in_reply_to,2
Dieter Gunkel,Madhav Deshpande,exact_in_reply_to,2
Steve Farmer,KORN Agnes,exact_in_reply_to,2
Martin Bemmann,Rohit Chopra,thread_inferred,2
Erik Hoogcarspel,Lynken Ghose,thread_inferred,2
Steve Farmer,Shyam Ranganathan,thread_inferred,2
Erik Hoogcarspel,L.S.Cousins,thread_inferred,2
Steve Farmer,Swaminathan Madhuresan,thread_inferred,2
Steven Lindquist,Jonathan Silk,thread_inferred,2
Martin Delhey,Jonathan Silk,thread_inferred,2
Stuart Ray Sarbacker,Stuart Ray Sarbacker,thread_inferred,2
Subrahmanya S.,Bjarte Kaldhol,thread_inferred,2
Erik Hoogcarspel,Jean Fezas,thread_inferred,2
Subrahmanya S.,Rustam Masalewala,thread_inferred,2
Erik Hoogcarspel,JAYABARATHI,thread_inferred,2
Erik Hoogcarspel,Hrid at aol.com,thread_inferred,2
Subrahmanya S.,Vanbakkam Vijayaraghavan,thread_inferred,2
Subrahmanya S.,Vidyasankar Sundaresan,thread_inferred,2
Audrey Truschke,Nityanand Misra,exact_in_reply_to,2
Luis Gonzalez-Reimann,Dean Michael Anderson,thread_inferred,2
Sudalaimuthu Palaniappan,Arlo Griffiths,thread_inferred,2
Leona Anderson,Leona Anderson,thread_inferred,2
Dick Plukker,Harry Spier,exact_in_reply_to,2
Sudalaimuthu Palaniappan,Bh. Krishnamurti,thread_inferred,2
Sudalaimuthu Palaniappan,Bjarte Kaldhol,thread_inferred,2
Jean-Luc Chevillard,Venkatraman Iyer,thread_inferred,2
Jean-Luc Chevillard,Veeranarayana Pandurangi,exact_in_reply_to,2
Sudalaimuthu Palaniappan,Dominic Goodall,thread_inferred,2
Eric Moses Gurevitch,Matthew Kapstein,exact_in_reply_to,2
H.B.Dave,Michael Witzel,thread_inferred,2
Eric Moses Gurevitch,Dominik Wujastyk,exact_in_reply_to,2
Martin Epstein,Th. de Bruijn,thread_inferred,2
JHUBBARD at smith.smith.edu,ucgadkw at ucl.ac.uk,thread_inferred,2
Martin Gansten,Allen W Thrasher,thread_inferred,2
Sudalaimuthu Palaniappan,Harry Spier,thread_inferred,2
Sudalaimuthu Palaniappan,Jan E.M. Houben,thread_inferred,2
Martin Gansten,Arlo Griffiths,exact_in_reply_to,2
Jesse Knutson,Rosane Rocher,exact_in_reply_to,2
Sudalaimuthu Palaniappan,Jonathan Silk,thread_inferred,2
Jean-Luc Chevillard,"Tieken, H.J.H. (Herman)",exact_in_reply_to,2
John Nemec,John Nemec,exact_in_reply_to,2
Martin Gansten,Ashok Aklujkar,thread_inferred,2
Sudalaimuthu Palaniappan,Madhav Deshpande,exact_in_reply_to,2
Sudalaimuthu Palaniappan,Michael Witzel,thread_inferred,2
JHOUBEN at rullet.LeidenUniv.nl,thompson at handel.jlc.net,thread_inferred,2
JHOUBEN at rullet.LeidenUniv.nl,F. Smith,thread_inferred,2
Sudalaimuthu Palaniappan,Narayan S. Raja,thread_inferred,2
JAYABARATHI,jkcowart at io-online.com,thread_inferred,2
Dhaval Patel,Martin Gansten,exact_in_reply_to,2
Dominik Wujastyk,Harunaga Isaacson,thread_inferred,2
Sudalaimuthu Palaniappan,Rahul Oka,thread_inferred,2
Dhaval Patel,Malhar Arvind Kulkarni,exact_in_reply_to,2
Sudalaimuthu Palaniappan,Robin Kornman,thread_inferred,2
Sudalaimuthu Palaniappan,S Krishna,thread_inferred,2
Lars Martin Fosse,David Salmon,thread_inferred,2
Sudalaimuthu Palaniappan,SUBSCRIBE INDOLOGY ganapathi,thread_inferred,2
Dhaval Patel,Jonathan Silk,thread_inferred,2
Dhaval Patel,"Gruenendahl, Reinhold",exact_in_reply_to,2
Lars Martin Fosse,David R. Israel,thread_inferred,2
Dhaval Patel,Elliot Stern,exact_in_reply_to,2
Asko Parpola,"Uskokov, Aleksandar",exact_in_reply_to,2
Julia Hegewald,Dominik Wujastyk,exact_in_reply_to,2
Martin Gansten,Balogh Dániel,exact_in_reply_to,2
Sudalaimuthu Palaniappan,"Tieken, H.J.H. (Herman)",thread_inferred,2
Asko Parpola,Toke Lindegaard Knudsen,exact_in_reply_to,2
Sudalaimuthu Palaniappan,Vidhyanath Rao,thread_inferred,2
Eric Gurevitch,Eric Gurevitch,exact_in_reply_to,2
JAYABARATHI,Das Devaraj,thread_inferred,2
Sudalaimuthu Palaniappan,nanda chandran,thread_inferred,2
Dominik Wujastyk,Hartmut Buescher,exact_in_reply_to,2
Asko Parpola,Shrikant Bahulkar,exact_in_reply_to,2
Dominik Wujastyk,Luis Gonzalez-Reimann,exact_in_reply_to,2
Surenda Gambhir,Chris Wooff,thread_inferred,2
Suresh Kolichala,Harry Spier,exact_in_reply_to,2
Suresh Kolichala,"Hock, Hans Henrich",exact_in_reply_to,2
Asko Parpola,Robert P. GOLDMAN,exact_in_reply_to,2
Suresh Kolichala,Madhav Deshpande,thread_inferred,2
Suresh Kolichala,Nagaraj Paturi,exact_in_reply_to,2
Suresh Kolichala,Patrick Olivelle,exact_in_reply_to,2
"Chandrasekaran, Periannan",Petr Mares,thread_inferred,2
Suresh Kolichala,Sudalaimuthu Palaniappan,thread_inferred,2
Martin Gansten,Christophe Vielle,exact_in_reply_to,2
Suresh Kolichala,"Tieken, H.J.H.",exact_in_reply_to,2
Julia Hegewald,Bill Mak,exact_in_reply_to,2
Surya P. Mittal,David Magier,thread_inferred,2
Surya P. Mittal,Patricia Meredith Greer,thread_inferred,2
Martin Gansten,Dan Lusthaus,exact_in_reply_to,2
SuryaPrakash Sharma,Ven. Tantra,thread_inferred,2
Dominik Wujastyk,Lubomir Ondracka,exact_in_reply_to,2
Sven Ekelin,Toke Lindegaard Knudsen,thread_inferred,2
Sven Sellmer,Axel Michaels,thread_inferred,2
Sven Sellmer,Harry Spier,exact_in_reply_to,2
Sven Sellmer,Patrick Olivelle,exact_in_reply_to,2
Svevo D'Onofrio,Christophe Vielle,exact_in_reply_to,2
Swami Gitananda,Jan Brzezinski,thread_inferred,2
Swami Vishvarupananda,John Richards,thread_inferred,2
Swaminathan Madhuresan,Allen W Thrasher,thread_inferred,2
Swaminathan Madhuresan,Anand M. Sharan,thread_inferred,2
Swaminathan Madhuresan,Artur Karp,thread_inferred,2
Gérard Huet,Harry Spier,exact_in_reply_to,2
Swaminathan Madhuresan,Bhadraiah Mallampalli,thread_inferred,2
Martin Gansten,"Deshpande, Madhav",thread_inferred,2
Swaminathan Madhuresan,Daniela Rossella,thread_inferred,2
Asko Parpola,Paolo E. Rosati,exact_in_reply_to,2
Swaminathan Madhuresan,Haridas C,thread_inferred,2
Jean-Luc Chevillard,"Remmer, Ulla",exact_in_reply_to,2
Martin Gansten,Dhaval Patel,exact_in_reply_to,2
Swaminathan Madhuresan,Koenraad Elst,thread_inferred,2
Swaminathan Madhuresan,Kumar Kumarappan,thread_inferred,2
Swaminathan Madhuresan,Lakshmi Srinivas,thread_inferred,2
Swaminathan Madhuresan,Lars Martin Fosse,thread_inferred,2
Dominik Wujastyk,Harsha Dehejia,thread_inferred,2
Swaminathan Madhuresan,Michael Rabe,thread_inferred,2
Enrica Garzilli,svagah at sb.su.se,thread_inferred,2
Gérard Huet,Ashok Aklujkar,thread_inferred,2
Swaminathan Madhuresan,N.Ganesan,thread_inferred,2
Swaminathan Madhuresan,Narayan R. Joshi,thread_inferred,2
Lubomir Ondracka,Harry Spier,thread_inferred,2
Swaminathan Madhuresan,Partha Banerjee,thread_inferred,2
Swaminathan Madhuresan,Paul Kekai Manansala,thread_inferred,2
Swaminathan Madhuresan,Phillip Ernest,thread_inferred,2
Swaminathan Madhuresan,Prasad Velusamy,thread_inferred,2
Swaminathan Madhuresan,Rajesh Kochhar,thread_inferred,2
