source_author,target_author,confidence,weight
Sudalaimuthu Palaniappan,Vidyasankar Sundaresan,thread_inferred,16
patrick mccartney,patrick mccartney,exact_in_reply_to,16
Mary Storm,Mary Storm,thread_inferred,16
Swaminathan Madhuresan,Sudalaimuthu Palaniappan,thread_inferred,16
Madhav Deshpande,Christian Ferstl,exact_in_reply_to,16
Dominik Wujastyk,Jonathan Silk,exact_in_reply_to,15
Vidhyanath Rao,Vidhyanath Rao,thread_inferred,15
Harry Spier,David and Nancy Reigle,exact_in_reply_to,15
Dipak Bhattacharya,Dipak Bhattacharya,thread_inferred,15
Narayan S. Raja,N. Ganesan,thread_inferred,15
Swaminathan Madhuresan,Steve Farmer,thread_inferred,15
Dr. Jai Maharaj,Dr. Jai Maharaj,thread_inferred,15
N. Ganesan,Narayan S. Raja,thread_inferred,15
Arlo Griffiths,Arlo Griffiths,exact_in_reply_to,15
V.C.Vijayaraghavan,N. Ganesan,thread_inferred,15
Dominik Wujastyk,N. Ganesan,thread_inferred,15
Madhav Deshpande,Harry Spier,thread_inferred,15
Dominik Wujastyk,Patrick Olivelle,thread_inferred,15
Dominik Wujastyk,Krishnaprasad G,exact_in_reply_to,15
Christophe Vielle,Madhav Deshpande,exact_in_reply_to,14
Arlo Griffiths,Dominik Wujastyk,exact_in_reply_to,14
DEVARAKONDA VENKATA NARAYANA SARMA,Swaminathan Madhuresan,thread_inferred,14
"Collins, Brian","Collins, Brian",exact_in_reply_to,14
Jean-Luc Chevillard,Jean-Luc Chevillard,exact_in_reply_to,14
Paul K. Manansala,Michael Witzel,thread_inferred,14
Luis Gonzalez-Reimann,Luis Gonzalez-Reimann,thread_inferred,14
Georg von Simson,N. Ganesan,thread_inferred,14
T.I. Console,Meenaradchagan Vishnu,thread_inferred,14
"Olivelle, J P",Madhav Deshpande,exact_in_reply_to,14
George Thompson,Dominik Wujastyk,thread_inferred,14
Dominik Wujastyk,Arlo Griffiths,exact_in_reply_to,14
George Thompson,Michael Witzel,thread_inferred,14
Christophe Vielle,Dominik Wujastyk,exact_in_reply_to,14
George Thompson,George Thompson,exact_in_reply_to,14
Camillo Formigatti,Nagaraj Paturi,exact_in_reply_to,14
Dipak Bhattacharya,Dominik Wujastyk,exact_in_reply_to,14
Swaminathan Madhuresan,nanda chandran,thread_inferred,14
Nagaraj Paturi,Howard Resnick,exact_in_reply_to,14
Dan Lusthaus,Matthew Kapstein,exact_in_reply_to,13
David and Nancy Reigle,Harry Spier,exact_in_reply_to,13
Periannan Chandrasekaran,N. Ganesan,thread_inferred,13
David and Nancy Reigle,Madhav Deshpande,exact_in_reply_to,13
Dominik Wujastyk,Jonathan Silk,thread_inferred,13
Madhav Deshpande,Krishnaprasad G,exact_in_reply_to,13
Vishal Agarwal,Vishal Agarwal,thread_inferred,13
gruenendahl,Jan E.M. Houben,thread_inferred,13
Bijoy Misra,N. Ganesan,thread_inferred,13
David and Nancy Reigle,Matthew Kapstein,exact_in_reply_to,13
Elliot Stern,Harry Spier,exact_in_reply_to,13
N. Ganesan,SStephen,thread_inferred,13
Dean Anderson,Dean Anderson,thread_inferred,13
Partha Banerjee,Partha Banerjee,thread_inferred,13
Michael Witzel,Venkatraman Iyer,thread_inferred,13
Sudalaimuthu Palaniappan,George Hart,thread_inferred,13
Paul K. Manansala,Sn. Subrahmanya,thread_inferred,13
Dean Michael Anderson,Dominik Wujastyk,exact_in_reply_to,13
Jean-Luc Chevillard,Jean-Luc Chevillard,thread_inferred,13
jkirk,Allen W Thrasher,thread_inferred,13
Lars Martin Fosse,George Thompson,thread_inferred,13
L.S.Cousins,Steve Farmer,thread_inferred,13
S. Kalyanaraman,S. Kalyanaraman,thread_inferred,13
Vidyasankar Sundaresan,Vishal Agarwal,thread_inferred,13
Martin Gansten,Nagaraj Paturi,exact_in_reply_to,13
S.Kalyanaraman,S.Kalyanaraman,thread_inferred,13
Robert Zydenbos,Robert Zydenbos,thread_inferred,13
Samar Abbas,Samar Abbas,thread_inferred,12
Dominik Wujastyk,Ashok Aklujkar,thread_inferred,12
victor van Bijlert,Allen W Thrasher,thread_inferred,12
David Magier,David Magier,thread_inferred,12
Krishnaprasad G,Krishnaprasad G,thread_inferred,12
Ashok Aklujkar,Ashok Aklujkar,thread_inferred,12
Subrahmanya S.,Steve Farmer,thread_inferred,12
Lakshmi Srinivas,Michael Witzel,thread_inferred,12
