queue_rank,thread_root_id,curation_status,review_track,suggested_track,suggested_track_basis,case_type,review_decision,short_title,english_public_note_draft,english_why_it_matters_draft,curator_comments,manual_reviewer,manual_review_date,subject,year,primary_topic,list_function,message_count,author_count,reply_count,case_score,page_path,first_url,evidence
17,023602,candidate,,infrastructure_history,keyword match,general discussion,,HTML Based Email (AOL 6.0),,,,,,HTML Based Email (AOL 6.0),2000,General scholarly discussion,general discussion,46,19,44,217,threads/017-023602-html-based-email-aol-6-0.html,https://list.indology.info/pipermail/indology/2000-November/023614.html,long thread; multi-author; resolved replies; thanks/correction language
25,006983,candidate,,infrastructure_history,function=general discussion,digital resource/tool,,Update 2 to Pali Canon online,,,,,,Update 2 to Pali Canon online,1997,General scholarly discussion,general discussion,39,22,38,203,threads/025-006983-update-2-to-pali-canon-online.html,https://list.indology.info/pipermail/indology/1997-February/006983.html,long thread; multi-author; resolved replies; thanks/correction language
70,006442,candidate,,infrastructure_history,function=general discussion,digital resource/tool,,Vedic Website,,,,,,Vedic Website,1996,General scholarly discussion,general discussion,27,14,26,145,threads/070-006442-vedic-website.html,https://list.indology.info/pipermail/indology/1996-December/006442.html,long thread; multi-author; resolved replies; request/help language
74,016462,candidate,,infrastructure_history,keyword match,general discussion,,INSA email address?,,,,,,INSA email address?,1999,General scholarly discussion,general discussion,29,12,28,143,threads/074-016462-insa-email-address.html,https://list.indology.info/pipermail/indology/1999-April/016462.html,long thread; multi-author; resolved replies; debate language
81,057928,candidate,,infrastructure_history,keyword match,philological debate,,Manuscript collections on archive.org,,,,,,Manuscript collections on archive.org,2023,Manuscripts and epigraphy,philological discussion,28,14,27,142,threads/081-057928-manuscript-collections-on-archive-org.html,https://list.indology.info/pipermail/indology/2023-July/057928.html,long thread; multi-author; resolved replies; thanks/correction language
116,033211,candidate,,infrastructure_history,topic=Digital resources and tools,digital resource/tool,,Sanskrit IAST data entry tool,,,,,,Sanskrit IAST data entry tool,2009,Digital resources and tools,digital resource/tool,22,19,20,127,threads/116-033211-sanskrit-iast-data-entry-tool.html,https://list.indology.info/pipermail/indology/2009-May/033220.html,long thread; multi-author; resolved replies
127,005015,candidate,,infrastructure_history,keyword match,general discussion,,List of references in Astronomy,,,,,,List of references in Astronomy,1996,General scholarly discussion,general discussion,24,11,23,123,threads/127-005015-list-of-references-in-astronomy.html,https://list.indology.info/pipermail/indology/1996-May/005015.html,long thread; multi-author; resolved replies; request/help language
143,054205,candidate,,infrastructure_history,keyword match,bibliographic rescue,,"Request pdf, film Vājapeya 1955, Poona",,,,,,"Request pdf, film Vājapeya 1955, Poona",2021,Bibliographic requests,bibliographic request,21,14,20,119,threads/143-054205-request-pdf-film-v-japeya-1955-poona.html,https://list.indology.info/pipermail/indology/2021-February/054205.html,long thread; multi-author; resolved replies; request/help language
151,059606,candidate,,infrastructure_history,keyword match,philological debate,,List of paninian equivalents of western grammatical terms for sanskrit,,,,,,List of paninian equivalents of western grammatical terms for sanskrit,2024,Grammar and linguistics,philological discussion,23,12,22,117,threads/151-059606-list-of-paninian-equivalents-of-western-grammatical-terms-for-sanskrit.html,https://list.indology.info/pipermail/indology/2024-September/059606.html,long thread; multi-author; resolved replies; thanks/correction language
153,038560,candidate,,infrastructure_history,topic=Digital resources and tools,digital resource/tool,,Devanagari keyboard,,,,,,Devanagari keyboard,2013,Digital resources and tools,digital resource/tool,24,13,23,117,threads/153-038560-devanagari-keyboard.html,https://list.indology.info/pipermail/indology/2013-November/038560.html,long thread; multi-author; resolved replies
166,007021,candidate,,infrastructure_history,keyword match,general discussion,,IJTS: Nina Fonts for Devanagari,,,,,,IJTS: Nina Fonts for Devanagari,1997,General scholarly discussion,general discussion,20,16,19,114,threads/166-007021-ijts-nina-fonts-for-devanagari.html,https://list.indology.info/pipermail/indology/1997-February/007021.html,long thread; multi-author; resolved replies
167,031427,candidate,,infrastructure_history,topic=Digital resources and tools,digital resource/tool,,Digital Kielhorn,,,,,,Digital Kielhorn,2008,Digital resources and tools,digital resource/tool,25,11,24,114,threads/167-031427-digital-kielhorn.html,https://list.indology.info/pipermail/indology/2008-February/031427.html,long thread; multi-author; resolved replies
217,053081,candidate,,infrastructure_history,keyword match,bibliographic rescue,,PDF request,,,,,,PDF request,2020,Bibliographic requests,bibliographic request,17,11,16,102,threads/217-053081-pdf-request.html,https://list.indology.info/pipermail/indology/2020-August/053081.html,long thread; multi-author; resolved replies; request/help language
221,049255,candidate,,infrastructure_history,keyword match,general discussion,,Correction and updates of Nirnay Sagar Fonts,,,,,,Correction and updates of Nirnay Sagar Fonts,2019,General scholarly discussion,general discussion,23,6,23,101,threads/221-049255-correction-and-updates-of-nirnay-sagar-fonts.html,https://list.indology.info/pipermail/indology/2019-February/049255.html,long thread; multi-author; resolved replies; thanks/correction language
224,043666,candidate,,infrastructure_history,topic=Digital resources and tools,digital resource/tool,,Unicode Devanagari on Mac,,,,,,Unicode Devanagari on Mac,2016,Digital resources and tools,digital resource/tool,22,11,21,101,threads/224-043666-unicode-devanagari-on-mac.html,https://list.indology.info/pipermail/indology/2016-July/043666.html,long thread; multi-author; resolved replies
232,001939,candidate,,infrastructure_history,keyword match,general discussion,,"voting ""YES"" for a moderated list",,,,,,"voting ""YES"" for a moderated list",1995,General scholarly discussion,general discussion,15,14,13,99,threads/232-001939-voting-yes-for-a-moderated-list.html,https://list.indology.info/pipermail/indology/1995-February/001944.html,long thread; multi-author; resolved replies; request/help language
