renou_axis,renou_code,renou_label,year,primary_topic,list_function,message_count,thread_count,author_count
state,III,Epic & prolongements,1990,Bibliographic requests,identification/help request,1,1,1
state,III,Epic & prolongements,1992,General scholarly discussion,general discussion,1,1,1
state,III,Epic & prolongements,1992,Texts and philology,general discussion,2,1,2
state,III,Epic & prolongements,1992,Texts and philology,identification/help request,3,1,3
state,III,Epic & prolongements,1992,Texts and philology,philological discussion,4,3,4
state,III,Epic & prolongements,1993,Texts and philology,general discussion,5,3,5
state,III,Epic & prolongements,1994,Texts and philology,general discussion,19,12,18
state,III,Epic & prolongements,1995,Announcements and events,announcement/event,2,2,2
state,III,Epic & prolongements,1995,Digital resources and tools,digital resource/tool,1,1,1
state,III,Epic & prolongements,1995,Texts and philology,general discussion,14,14,14
state,III,Epic & prolongements,1995,Texts and philology,identification/help request,1,1,1
state,III,Epic & prolongements,1995,Texts and philology,philological discussion,2,2,2
state,III,Epic & prolongements,1996,Bibliographic requests,bibliographic request,8,6,6
state,III,Epic & prolongements,1996,General scholarly discussion,general discussion,10,9,9
state,III,Epic & prolongements,1996,Texts and philology,general discussion,33,22,28
state,III,Epic & prolongements,1996,Texts and philology,identification/help request,3,3,3
state,III,Epic & prolongements,1996,Texts and philology,philological discussion,1,1,1
state,III,Epic & prolongements,1997,General scholarly discussion,general discussion,2,1,2
state,III,Epic & prolongements,1997,Texts and philology,general discussion,29,25,27
state,III,Epic & prolongements,1997,Texts and philology,identification/help request,9,9,9
state,III,Epic & prolongements,1997,Texts and philology,philological discussion,2,2,2
state,III,Epic & prolongements,1998,Bibliographic requests,general discussion,1,1,1
state,III,Epic & prolongements,1998,General scholarly discussion,general discussion,3,3,3
state,III,Epic & prolongements,1998,Texts and philology,general discussion,30,23,23
state,III,Epic & prolongements,1998,Texts and philology,philological discussion,46,24,30
state,III,Epic & prolongements,1999,Announcements and events,announcement/event,4,3,3
state,III,Epic & prolongements,1999,Bibliographic requests,bibliographic request,2,2,2
state,III,Epic & prolongements,1999,General scholarly discussion,general discussion,3,3,3
state,III,Epic & prolongements,1999,Grammar and linguistics,philological discussion,5,4,5
state,III,Epic & prolongements,1999,Texts and philology,general discussion,49,42,36
state,III,Epic & prolongements,1999,Texts and philology,philological discussion,24,16,18
state,III,Epic & prolongements,2000,Announcements and events,announcement/event,8,8,8
state,III,Epic & prolongements,2000,General scholarly discussion,general discussion,13,10,11
state,III,Epic & prolongements,2000,Texts and philology,general discussion,53,37,38
state,III,Epic & prolongements,2000,Texts and philology,identification/help request,7,6,6
state,III,Epic & prolongements,2000,Texts and philology,technical support,21,10,16
state,III,Epic & prolongements,2001,Bibliographic requests,general discussion,1,1,1
state,III,Epic & prolongements,2001,General scholarly discussion,general discussion,1,1,1
state,III,Epic & prolongements,2001,Texts and philology,general discussion,70,35,39
state,III,Epic & prolongements,2001,Texts and philology,identification/help request,3,3,2
state,III,Epic & prolongements,2001,Texts and philology,philological discussion,21,13,18
state,III,Epic & prolongements,2002,Digital resources and tools,digital resource/tool,1,1,1
state,III,Epic & prolongements,2002,Texts and philology,general discussion,1,1,1
