person_id,full_name,talks,best_affiliation,all_affiliations
PERS_10547db9,Б. В. Загуменнов,6,СПб,СПб
PERS_f7c7adc7,В. В. Донских,3,N/A,
PERS_c5aeda15,И. Урнова,2,N/A,
PERS_929cab5a,Ю. В. Предтеченская,2,N/A,
PERS_800ac07e,А. А. Нейвирт,2,N/A,
PERS_4fff9d16,М. Д. Минаева,2,ИКВИА НИУ ВШЭ,"Москва | ИКВИА НИУ ВШЭ | ИКВИА НИУ ВШЭ, Москва"
PERS_3ccc9bd7,А. Солька,2,"НИ, Лозанна","НИ, Лозанна | ни, Лозанна"
PERS_fa58484d,Н. А. Александрова,1,N/A,
PERS_e8f935aa,Е. К. Кудрявцева,1,N/A,
PERS_ddb70dc9,М. А. Азаркина,1,N/A,
PERS_d851ac20,М. В. Вершинина,1,N/A,
PERS_d17a6a92,А. В. Киняева,1,Москва,Москва
PERS_d018b6eb,Д. Валанчюнас,1,Вильнюс,Вильнюс
PERS_c9e43db7,Е. А. Бушуев,1,N/A,
PERS_c1cc76b9,А. Я. Таран,1,N/A,
PERS_bbd15f4f,А. А. Степин,1,Санкт-Петербург,Санкт-Петербург
PERS_ba537782,М. И. Петрова,1,N/A,
PERS_85a048b8,В. Л. Денисенко,1,Новосибирск,Новосибирск
PERS_79ed852e,Д. А. Евграфов,1,Москва,Москва
PERS_752884a2,Ш. Макмахуна,1,Ulster University,Ulster University
PERS_72d46eb6,С. С. Чистяков,1,N/A,
PERS_5d38cbae,Е. Н. Аникеева,1,N/A,
PERS_48b3bec3,Ч. Санчай,1,МГУ,МГУ
PERS_4831e64b,Е. Анохина,1,N/A,
PERS_410c5a08,А. Хомиченкене,1,Клайпеда,Клайпеда
PERS_3f406fe3,Е. Р. Кравцова,1,Москва,Москва
PERS_37c15317,А. Э. Калина,1,Москва,Москва
PERS_325e94f3,В. В. Котин,1,N/A,
PERS_1955e9e8,К. Гаралите,1,Вильнюс,Вильнюс
PERS_14dec06b,Е. Б. Кудрявцева,1,N/A,
PERS_0a42bfb2,Н. В. Хомутинникова,1,N/A,
PERS_045c435e,К. Джункова,1,Братислава – СПб,Братислава – СПб
