event_id,series,year,n_online,n_offline,online_share_pct,override
ER2010,Roerich Readings,2010,0,1,0.0,False
ER2012,Roerich Readings,2012,0,30,0.0,False
ER2015,Roerich Readings,2015,0,29,0.0,False
ER2016,Roerich Readings,2016,0,30,0.0,False
ER2017,Roerich Readings,2017,0,34,0.0,False
ER2018,Roerich Readings,2018,0,33,0.0,False
ER2019,Roerich Readings,2019,0,30,0.0,False
ER2020,Roerich Readings,2020,0,30,0.0,False
ER2021,Roerich Readings,2021,0,30,0.0,False
ER2022,Roerich Readings,2022,3,23,11.5,False
ER2023,Roerich Readings,2023,2,15,11.8,False
ER2024,Roerich Readings,2024,5,24,17.2,False
ER2025,Roerich Readings,2025,0,36,0.0,False
E2004,Zograf Readings,2004,0,11,0.0,False
E2006,Zograf Readings,2006,0,25,0.0,False
E2007,Zograf Readings,2007,0,23,0.0,False
E2010,Zograf Readings,2010,0,11,0.0,False
E2011,Zograf Readings,2011,0,29,0.0,False
E2012,Zograf Readings,2012,0,30,0.0,False
E2013,Zograf Readings,2013,0,29,0.0,False
E2014,Zograf Readings,2014,0,37,0.0,False
E2018,Zograf Readings,2018,0,42,0.0,False
E2019,Zograf Readings,2019,0,47,0.0,False
E2020,Zograf Readings,2020,44,0,100.0,True
E2021,Zograf Readings,2021,0,45,0.0,False
E2022,Zograf Readings,2022,0,37,0.0,False
E2023,Zograf Readings,2023,9,5,64.3,False
E2024,Zograf Readings,2024,2,0,100.0,False
E2025,Zograf Readings,2025,15,41,26.8,False
E2026,Zograf Readings,2026,1,57,1.7,False
