presentation_id,year,series,title,l1,l2,l3,l4,source,confidence,why
PRES_920f42a4,2004,Zograf Readings,Деви-гита из Девибхагавата-пураны,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_d22a4e6a,2004,Zograf Readings,Психология акта самопожертвования в изображении драматургов 7-го века,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_091df98c,2004,Zograf Readings,Концепция спхоты в «Спхотасиддхи» Манданамишры,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_08ae0d5f,2004,Zograf Readings,О взаимоотношении религиозных конфессий в средневековом Тамилнаде,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_f6b5ca3d,2006,Zograf Readings,К проблеме древнеиндийской хронологии,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_e3d95058,2006,Zograf Readings,Вытеснение согласного во избежание возникновения тяжелой группы трех шумных согласных в индоиранском,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_3229f04e,2006,Zograf Readings,Технические приспособления для рубрикации корней в,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_e5db3c22,2006,Zograf Readings,Представления об обществе и власти в «Бхагавата-пуране»,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_447ccd2a,2006,Zograf Readings,Некоторые наблюдения над царской титулатурой индо-греков,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_7c39bd4a,2006,Zograf Readings,Об особенностях самосознания представителей «низких каст» в современных условиях,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_dcb1d6f5,2006,Zograf Readings,Комментарий к комментарию (Г.С.Лебедев и культурная жизнь Калькутты в 1790-х годах),unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_c4a95228,2007,Zograf Readings,«Великие» и «малые» в надписях Ашоки,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_9c12145b,2007,Zograf Readings,От смерти к новому рождению. Учение о промежуточном существовании в «Абхидхармакоше» Васубандху,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_1fcf5a72,2007,Zograf Readings,К вопросу об эндогамии касты,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_4c37397a,2007,Zograf Readings,Некоторые проблемы становления вишишта-адвайты,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_d93a83cf,2010,Zograf Readings,«Рагхуванша» Калидасы глазами тамилиста,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_630be828,2010,Zograf Readings,Царица в дворцовом парке,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_c48cf519,2010,Zograf Readings,Концепция игры в индийской традиции (кридаяника в «Натьяшастре»),unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_141ded21,2010,Zograf Readings,Ордалия раскаленной монетой (taptamàşa): текст и реальность,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_f82cda7b,2010,Zograf Readings,Mārgī/deśī: о двух способах интерпретации индийского танца,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_37ea1d7c,2011,Zograf Readings,Метафора в «Махабхарате»,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_0e595f77,2011,Zograf Readings,Интерпретация учения об аватарах Вишну в «Девибхагавата-пуране»,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_971bcae9,2011,Zograf Readings,Об изучении четвертой главы «Абхисамая-аланкары»,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_532e4753,2011,Zograf Readings,Энергийный прагматизм в тамильской культуре,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_6306a86d,2011,Zograf Readings,Концепт svadharma в кастовой идеологии,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_2b083ca8,2011,Zograf Readings,"«Юные» в окружении царя Раджасинхи II—го (XVII век, Шри Ланка)",unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_83b062c0,2011,Zograf Readings,Герасим Лебедев и британская элита колониальной Калькутты,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_d0193c36,2011,Zograf Readings,О первых христианских миссионерах в Индии,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_d533f5af,2011,Zograf Readings,Саттрия: рождение нового индийского классического танца в Ассаме,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_e8eb2449,2012,Zograf Readings,Практики движения праны в текстах кашмирских авторов,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_516e0951,2012,Zograf Readings,Агамический текст как способ самоопределения ведической традиции (на примере «Шива сутры»),unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_8b51545e,2012,Zograf Readings,Версия мифа о Вритре в «Девибхагаватапуране»,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_1630a310,2012,Zograf Readings,Текст по культу Ваджрапани и восьми царей нагов в свитке XIII века Дх-178 из собрания ИВР РАН,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_d5ced50a,2012,Zograf Readings,Загадки поэмы Джаяси «Падмават»,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_cb0b06a1,2012,Zograf Readings,«Кадамбари» в современном мире,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_33345b20,2012,Zograf Readings,Индия и индийцы в автобиографической книге  В. С. Найпола «The Writer's People»,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_105d5dbe,2012,Zograf Readings,Символические фигуры «Ригведы» (на примере  гимна «К Речи»),unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_e957db9d,2012,Zograf Readings,Осел/бык в индоиранской картине мира,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_f257552d,2012,Zograf Readings,Чудесный сосуд Манимехалей: попытка интерпретации,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_605ce7b2,2012,Zograf Readings,«Юный» как представитель измененного состояния сознания,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_f94ec3ef,2012,Zograf Readings,Особенности календарной обрядности у раджпутов,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_e650e050,2013,Zograf Readings,Страсти и бесстрастие Бхартирихари,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_de3ddb23,2013,Zograf Readings,Жемчужный остров в «Девибхагавата-пуране»,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_454deb18,2013,Zograf Readings,Эпитеты Будды в тексте «Аджатасена-вьякараны»,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_bec8d3e7,2013,Zograf Readings,"Варна – это фонема, буква, звук или …?",unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_8b3b9e6f,2013,Zograf Readings,Классификация наук в традиционной индийской культуре,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_a5524d97,2013,Zograf Readings,Восьмиугольные понятийные схемы в индийской рациональности,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_eca42271,2013,Zograf Readings,Представление о Брахмане в ранней вишишта-адвайте,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_9c006d7d,2013,Zograf Readings,Концепт «майя» у Шанкары и Абхинавагупты: сходство и различие,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_9f3a0ccb,2013,Zograf Readings,Герасим Лебедев и британская элита колониальной Калькутты: момент разрыва,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_b87959e9,2013,Zograf Readings,Современные баулы: от деревни до концертного зала,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_5d99c188,2013,Zograf Readings,"Материальные атрибуты (лук, стрелы, топорик) как этнические символы автохтонов Шри Ланки",unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_1ec8176f,2013,Zograf Readings,"«Песни якшей», игры людей: о социальных, культурных и художественных особенностях якшаганы Карнатаки",unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_050a152c,2014,Zograf Readings,Абхидхармакоша: проблема авторства,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_e53cbcbb,2014,Zograf Readings,И. П. Минаев как собиратель рукописей,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_8c319c1e,2014,Zograf Readings,What is Ahi Budhnya: some remarks on the Serpent of the Deep as in the Rigveda and elsewhere,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_b1b092bf,2014,Zograf Readings,"The ideal man in the Mahābhārata. The consciousness of the ""budhyamāna"" on one's way to salvation",unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_a663501a,2014,Zograf Readings,Концепция аватар Вишну в поэме Магхи «Шишупалавадха»,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_8de60bcb,2014,Zograf Readings,Тангутские ксилографы письмом ‘сиддхам’ из собрания ИВР РАН,unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_b0ee93bb,2014,Zograf Readings,"Мандала-классификация нечестных трансакций в ответ на упрек (Ангуттара-никая. Аттаканипата, Ассаколанкасутта)",unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
PRES_8f6ad883,2014,Zograf Readings,"Спхота, джати, пашьянти и пратибха в «Вакьяпадии» — к проблеме разграничения терминов",unspecified,unspecified,unspecified,unspecified,baseline_remapped,0.0,Mapped from old baseline
