person_id,display_name,full_name_ru,n_talks,rinc_search_url,review_status,rinc_author_id,spin,profile_url,reviewer,checked_at,notes,birth_year_estimate,first_publication_year,first_publication_source
PERS_61de659d,Белов Владимир Николаевич,Белов Владимир Николаевич,1,https://elibrary.ru/author_items.asp?authorid=&fams=Белов,todo,,,,,,,,,
PERS_68270eaf,Э.В. Галимова,Э.В. Галимова,1,https://elibrary.ru/author_items.asp?authorid=&fams=Галимова,todo,,,,,,,,,
PERS_68e9019d,Малютин Иван Иванович,Малютин Иван Иванович,1,https://elibrary.ru/author_items.asp?authorid=&fams=Малютин,todo,,,,,,,,,
PERS_6a165aa7,К.В. Хазизова,К.В. Хазизова,1,https://elibrary.ru/author_items.asp?authorid=&fams=Хазизова,todo,,,,,,,,,
PERS_6b867946,Е. В. Смирнова,Е. В. Смирнова,1,https://elibrary.ru/author_items.asp?authorid=&fams=Смирнова,todo,,,,,,,,,
PERS_6f89f9c1,Е. Р. Крючкова,Е. Р. Крючкова,1,https://elibrary.ru/author_items.asp?authorid=&fams=Крючкова,todo,,,,,,,,,
PERS_7700f517,Д. О. Парамонов,Д. О. Парамонов,1,https://elibrary.ru/author_items.asp?authorid=&fams=Парамонов,todo,,,,,,,,,
PERS_7d6f456c,Мотылёва Вера Леонидовна,Мотылёва Вера Леонидовна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Мотылёва,todo,,,,,,,,,
PERS_7efcddc6,Н.А. Брылёва,Н.А. Брылёва,1,https://elibrary.ru/author_items.asp?authorid=&fams=Брылёва,todo,,,,,,,,,
PERS_856eb5c6,Vishnu Shukla,Vishnu Shukla,1,https://elibrary.ru/author_items.asp?authorid=&fams=Vishnu,todo,,,,,,,,,
PERS_874cbfb7,Шарапова А. В.,Шарапова Александра Владимировна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Шарапова,todo,,,,,,,,,
PERS_88e5311f,М.В. Босхомджиев,М.В. Босхомджиев,1,https://elibrary.ru/author_items.asp?authorid=&fams=Босхомджиев,todo,,,,,,,,,
PERS_900efc73,Зевацкий Тимофей Юрьевич,Зевацкий Тимофей Юрьевич,1,https://elibrary.ru/author_items.asp?authorid=&fams=Зевацкий,todo,,,,,,,,,
PERS_92f41884,Касым Софья Васильевна,Касым Софья Васильевна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Касым,todo,,,,,,,,,
PERS_9366fe2c,Крыштоп Людмила Эдуардовна,Крыштоп Людмила Эдуардовна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Крыштоп,todo,,,,,,,,,
PERS_936e1165,Файбушевич Светлана Ивановна,Файбушевич Светлана Ивановна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Файбушевич,todo,,,,,,,,,
PERS_94aa5d0a,Г.И. Чернавин,Г.И. Чернавин,1,https://elibrary.ru/author_items.asp?authorid=&fams=Чернавин,todo,,,,,,,,,
PERS_94f33410,Застрожнова Евгения Григорьевна,Застрожнова Евгения Григорьевна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Застрожнова,todo,,,,,,,,,
PERS_96b8b195,М. Н. Боголюбов,М. Н. Боголюбов,1,https://elibrary.ru/author_items.asp?authorid=&fams=Боголюбов,todo,,,,,,,,,
