person_id,local_display_name,local_latin_name,total_talks,query_type,query_string,openalex_id,openalex_name,works_count,top_affiliation_name,top_affiliation_country,is_ru_affiliated,relevance_score,manual_status,notes
PERS_c52dfaa0,Цветкова Софья Олеговна,Sofia Tsvetkova,22,latin_name,Sofia Tsvetkova,https://openalex.org/A5018164535,Sofia Tsvetkova,4,,,no,0.6,todo,
PERS_f074f69f,Александрова Наталия Владимировна,Natalia Alexandrova,20,cyrillic_fullname,Александрова Наталия Владимировна,https://openalex.org/A5007593034,Александрова Наталия Владимировна,4,,,no,0.3,todo,
PERS_f074f69f,Александрова Наталия Владимировна,Natalia Alexandrova,20,cyrillic_fullname,Александрова Наталия Владимировна,https://openalex.org/A5076621172,Наталия Владимировна Александрова,2,,,no,0.0,todo,
PERS_f074f69f,Александрова Наталия Владимировна,Natalia Alexandrova,20,latin_name,Natalia Alexandrova,https://openalex.org/A5109966580,Natalia A. Alexandrova,2,,,no,0.4,todo,
PERS_f074f69f,Александрова Наталия Владимировна,Natalia Alexandrova,20,latin_name,Natalia Alexandrova,https://openalex.org/A5067175946,N. A. Alexandrova,6,,,no,0.4,todo,
PERS_f074f69f,Александрова Наталия Владимировна,Natalia Alexandrova,20,latin_name,Natalia Alexandrova,https://openalex.org/A5039761519,Natalia Alexandrova,2,,,no,0.4,todo,
PERS_f074f69f,Александрова Наталия Владимировна,Natalia Alexandrova,20,latin_name,Natalia Alexandrova,https://openalex.org/A5026899555,Natalia Alexandrova,6,,,no,0.6,todo,
PERS_f074f69f,Александрова Наталия Владимировна,Natalia Alexandrova,20,latin_name,Natalia Alexandrova,https://openalex.org/A5037722061,Natalia Alexandrova,5,,,no,0.6,todo,
PERS_d98da899,Рыжакова Светлана Игоревна,Svetlana Ryzhakova,19,cyrillic_fullname,Рыжакова Светлана Игоревна,https://openalex.org/A5072543612,Светлана Рыжакова,46,,,no,0.4,todo,
PERS_d98da899,Рыжакова Светлана Игоревна,Svetlana Ryzhakova,19,cyrillic_fullname,Рыжакова Светлана Игоревна,https://openalex.org/A5084290871,Рыжакова Светлана Игоревна,15,,,no,0.2,todo,
PERS_d98da899,Рыжакова Светлана Игоревна,Svetlana Ryzhakova,19,cyrillic_fullname,Рыжакова Светлана Игоревна,https://openalex.org/A5122797371,Светлана Игоревна Рыжакова,3,,,no,0.2,todo,
PERS_d98da899,Рыжакова Светлана Игоревна,Svetlana Ryzhakova,19,latin_name,Svetlana Ryzhakova,https://openalex.org/A5072543612,Светлана Рыжакова,46,,,no,0.4,todo,
PERS_d98da899,Рыжакова Светлана Игоревна,Svetlana Ryzhakova,19,latin_name,Svetlana Ryzhakova,https://openalex.org/A5106846332,Svetlana Ryzhakova,1,,,no,0.3,todo,
PERS_d98da899,Рыжакова Светлана Игоревна,Svetlana Ryzhakova,19,latin_name,Svetlana Ryzhakova,https://openalex.org/A5121853638,Ryzhakova Svetlana I.,1,,,no,0.3,todo,
PERS_12125da9,Лысенко Виктория Георгиевна,Victoria Lysenko,16,cyrillic_fullname,Лысенко Виктория Георгиевна,https://openalex.org/A5090196667,Виктория Лысенко Георгиевна,1,,,no,0.0,todo,
PERS_12125da9,Лысенко Виктория Георгиевна,Victoria Lysenko,16,cyrillic_fullname,Лысенко Виктория Георгиевна,https://openalex.org/A5106319451,Виктория Георгиевна Лысенко,1,,,no,0.0,todo,
PERS_12125da9,Лысенко Виктория Георгиевна,Victoria Lysenko,16,cyrillic_fullname,Лысенко Виктория Георгиевна,https://openalex.org/A5042673396,Виктория Георгиевна Лысенко,9,,,no,0.2,todo,
PERS_12125da9,Лысенко Виктория Георгиевна,Victoria Lysenko,16,cyrillic_fullname,Лысенко Виктория Георгиевна,https://openalex.org/A5075029784,Лысенко Виктория Георгиевна,11,,,no,0.2,todo,
PERS_12125da9,Лысенко Виктория Георгиевна,Victoria Lysenko,16,latin_name,Victoria Lysenko,https://openalex.org/A5109356143,Victoria Lysenko,15,,,no,0.6,todo,
PERS_12125da9,Лысенко Виктория Георгиевна,Victoria Lysenko,16,latin_name,Victoria Lysenko,https://openalex.org/A5053701675,Victoria G. Lysenko,11,,,no,0.6,todo,
PERS_12125da9,Лысенко Виктория Георгиевна,Victoria Lysenko,16,latin_name,Victoria Lysenko,https://openalex.org/A5052951613,V. Yu. Lysenko,6,,,no,0.4,todo,
PERS_40862f5e,Корнеева Наталья Афанасьевна,Natalia Korneeva,15,latin_name,Natalia Korneeva,https://openalex.org/A5108167661,N. Korneeva,120,,,no,0.4,todo,
PERS_40862f5e,Корнеева Наталья Афанасьевна,Natalia Korneeva,15,latin_name,Natalia Korneeva,https://openalex.org/A5083992488,N. V. Korneeva,33,,,no,0.4,todo,
PERS_40862f5e,Корнеева Наталья Афанасьевна,Natalia Korneeva,15,latin_name,Natalia Korneeva,https://openalex.org/A5055632396,Н. В. Корнеева,47,,,no,0.4,todo,
PERS_40862f5e,Корнеева Наталья Афанасьевна,Natalia Korneeva,15,latin_name,Natalia Korneeva,https://openalex.org/A5005926545,Natalia Yu. Korneeva,1,,,no,0.3,todo,
PERS_40862f5e,Корнеева Наталья Афанасьевна,Natalia Korneeva,15,latin_name,Natalia Korneeva,https://openalex.org/A5025798171,Natalia Yurievna Korneeva,3,,,no,0.6,todo,
PERS_1fa7cc0c,Дубянский Александр Михайлович,Alexander Dubyansky,14,latin_name,Alexander Dubyansky,https://openalex.org/A5109806905,Alexander N. Dubyansky,5,,,no,0.6,todo,
PERS_1fa7cc0c,Дубянский Александр Михайлович,Alexander Dubyansky,14,latin_name,Alexander Dubyansky,https://openalex.org/A5034612288,Alexander DUBYANSKY,1,,,no,0.4,todo,
PERS_1fa7cc0c,Дубянский Александр Михайлович,Alexander Dubyansky,14,latin_name,Alexander Dubyansky,https://openalex.org/A5055711505,Alexander I. Dubyansky,2,,,no,0.4,todo,
PERS_e31ca12d,Вечерина Ольга Павловна,Olga Vecherina,13,cyrillic_fullname,Вечерина Ольга Павловна,https://openalex.org/A5070614548,Вечерина Ольга Павловна,5,,,no,0.2,todo,
PERS_e31ca12d,Вечерина Ольга Павловна,Olga Vecherina,13,cyrillic_fullname,Вечерина Ольга Павловна,https://openalex.org/A5098075074,Ольга Павловна Вечерина,1,,,no,0.0,todo,
PERS_e31ca12d,Вечерина Ольга Павловна,Olga Vecherina,13,latin_name,Olga Vecherina,https://openalex.org/A5097050661,Olga Vecherina,3,,,no,0.5,todo,
PERS_e31ca12d,Вечерина Ольга Павловна,Olga Vecherina,13,latin_name,Olga Vecherina,https://openalex.org/A5072321578,Olga Vecherina,6,,,no,0.6,todo,
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,Natalia Lidova,13,latin_name,Natalia Lidova,https://openalex.org/A5089354591,Natalia Lidova,8,,,no,0.6,todo,
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,Natalia Lidova,13,latin_name,Natalia Lidova,https://openalex.org/A5018075350,Natalia R. Lidova,2,,,no,0.4,todo,
PERS_1a097e52,Парибок Андрей Всеволодович,,13,cyrillic_fullname,Парибок Андрей Всеволодович,https://openalex.org/A5069624319,Andrey V. Paribok,16,,,no,0.3,todo,
PERS_1a097e52,Парибок Андрей Всеволодович,,13,cyrillic_fullname,Парибок Андрей Всеволодович,https://openalex.org/A5053489277,Парибок Андрей Всеволодович,3,,,no,0.2,todo,
PERS_e9545a0b,Шустова Алла Михайловна,,12,cyrillic_fullname,Шустова Алла Михайловна,https://openalex.org/A5035547412,Шустова Алла Михайловна,4,,,no,0.3,todo,
PERS_829c1de5,Васильков Ярослав Владимирович,,12,cyrillic_fullname,Васильков Ярослав Владимирович,https://openalex.org/A5057480520,Васильков Ярослав Владимирович,7,,,no,0.2,todo,
PERS_3e105f43,Игнатьев Андрей Александрович,,12,cyrillic_fullname,Игнатьев Андрей Александрович,https://openalex.org/A5121029754,Игнатьев Андрей Александрович,1,,,no,0.0,todo,
PERS_003adcfe,Псху Рузана Владимировна,,12,cyrillic_fullname,Псху Рузана Владимировна,https://openalex.org/A5076958111,Ruzana Pskhu,63,,,no,0.3,todo,
PERS_003adcfe,Псху Рузана Владимировна,,12,cyrillic_fullname,Псху Рузана Владимировна,https://openalex.org/A5089984241,Псху Рузана Владимировна,13,,,no,0.2,todo,
PERS_56508328,Десницкая Евгения Алексеевна,,11,cyrillic_fullname,Десницкая Евгения Алексеевна,https://openalex.org/A5054502202,Десницкая Евгения Алексеевна,1,,,no,0.0,todo,
PERS_56508328,Десницкая Евгения Алексеевна,,11,cyrillic_fullname,Десницкая Евгения Алексеевна,https://openalex.org/A5019004653,Евгения Алексеевна Десницкая,1,,,no,0.0,todo,
PERS_9a855a7b,М. Ф. Альбедиль,,10,display_name,М. Ф. Альбедиль,https://openalex.org/A5012836945,М. Ф. Альбедиль,1,,,no,0.0,todo,
PERS_05d56645,А. Н. Бабин,Alexander Babin,10,latin_name,Alexander Babin,https://openalex.org/A5028785724,Alexander Babin,24,,,no,0.6,todo,
PERS_05d56645,А. Н. Бабин,Alexander Babin,10,latin_name,Alexander Babin,https://openalex.org/A5068645346,Alexander. Babin,4,,,no,0.6,todo,
PERS_05d56645,А. Н. Бабин,Alexander Babin,10,latin_name,Alexander Babin,https://openalex.org/A5022521625,A. N. Babin,4,,,no,0.4,todo,
PERS_05d56645,А. Н. Бабин,Alexander Babin,10,latin_name,Alexander Babin,https://openalex.org/A5036136787,Alexander Mikhailovich Babin,1,,,no,0.3,todo,
PERS_05d56645,А. Н. Бабин,Alexander Babin,10,latin_name,Alexander Babin,https://openalex.org/A5067787551,Babin Alexander Yurievich,1,,,no,0.4,todo,
PERS_41d6aa73,Воробьева Дарья Николаевна,Daria Vorobyeva,10,latin_name,Daria Vorobyeva,https://openalex.org/A5059958242,Daria V. Vorobyeva,76,,,no,0.6,todo,
PERS_41d6aa73,Воробьева Дарья Николаевна,Daria Vorobyeva,10,latin_name,Daria Vorobyeva,https://openalex.org/A5109515351,Daria Vorobyeva,23,,,no,0.6,todo,
PERS_41d6aa73,Воробьева Дарья Николаевна,Daria Vorobyeva,10,latin_name,Daria Vorobyeva,https://openalex.org/A5027355315,Darya A. Vorobeva,12,,,no,0.4,todo,
PERS_41d6aa73,Воробьева Дарья Николаевна,Daria Vorobyeva,10,latin_name,Daria Vorobyeva,https://openalex.org/A5022929146,Daria Vorobyeva,6,,,no,0.6,todo,
PERS_41d6aa73,Воробьева Дарья Николаевна,Daria Vorobyeva,10,latin_name,Daria Vorobyeva,https://openalex.org/A5057957835,Daria Vorobyeva,2,,,no,0.4,todo,
PERS_c48611e0,Островская Елена Петровна,,10,cyrillic_fullname,Островская Елена Петровна,https://openalex.org/A5070385550,Островская Елена Петровна,5,,,no,0.2,todo,
PERS_c48611e0,Островская Елена Петровна,,10,cyrillic_fullname,Островская Елена Петровна,https://openalex.org/A5057893055,Елена Петровна Островская,3,,,no,0.2,todo,
PERS_ea44fd14,Люлина Анастасия Геннадьевна,,9,cyrillic_fullname,Люлина Анастасия Геннадьевна,https://openalex.org/A5011713225,Люлина Анастасия Геннадьевна,10,,,no,0.2,todo,
PERS_ea44fd14,Люлина Анастасия Геннадьевна,,9,cyrillic_fullname,Люлина Анастасия Геннадьевна,https://openalex.org/A5126375018,Анастасия Геннадьевна Люлина,1,,,no,0.0,todo,
PERS_5ed752d9,Б. У. Китинов,,9,display_name,Б. У. Китинов,https://openalex.org/A5031309041,Б У Китинов,1,,,no,0.0,todo,
PERS_a0264ac5,Бурмистров Сергей Леонидович,,9,cyrillic_fullname,Бурмистров Сергей Леонидович,https://openalex.org/A5039038733,Sergey L. Burmistrov,43,,,no,0.3,todo,
PERS_a0264ac5,Бурмистров Сергей Леонидович,,9,cyrillic_fullname,Бурмистров Сергей Леонидович,https://openalex.org/A5113872590,Бурмистров Сергей Леонидович,15,,,no,0.2,todo,
PERS_260a598a,С. В. Пахомов,,9,display_name,С. В. Пахомов,https://openalex.org/A5085491552,С В Пахомов,1,,,no,0.1,todo,
