series,n_scholars,n_total_participations,one_talk_wonder_pct,core_5plus_pct,gini_concentration,retention_pct,median_talks_per_scholar,max_talks_per_scholar
Zograf,171,544,46.2,23.4,0.465,53.8,2,15
Roerich,94,347,39.4,30.9,0.459,60.6,2,12
Combined,226,828,44.7,30.1,0.487,55.3,2,17
