metric_id,lens,native_unit,period,numerator_name,numerator,denominator_name,denominator,denominator_unit,value,missingness,coverage_status,source_snapshot,method,method_version,caveat
content.conferences.grammar_linguistics.taxonomy_crosswalk,conferences,presentation,all,records_labelled_grammar_linguistics,22,records_with_this_axis_assigned,722,presentation,0.030471,unclassified_on_this_axis=640,complete,conferences:2026-08-06,taxonomy_crosswalk,h1899-metrics-1.0.0,crosswalk-derived PROPOSAL (review_status=pending); labels are additional assertions layered next to native ones
content.conferences.history_culture.taxonomy_crosswalk,conferences,presentation,all,records_labelled_history_culture,1,records_with_this_axis_assigned,722,presentation,0.001385,unclassified_on_this_axis=640,complete,conferences:2026-08-06,taxonomy_crosswalk,h1899-metrics-1.0.0,crosswalk-derived PROPOSAL (review_status=pending); labels are additional assertions layered next to native ones
content.conferences.literature_poetics.taxonomy_crosswalk,conferences,presentation,all,records_labelled_literature_poetics,429,records_with_this_axis_assigned,722,presentation,0.594183,unclassified_on_this_axis=640,complete,conferences:2026-08-06,taxonomy_crosswalk,h1899-metrics-1.0.0,crosswalk-derived PROPOSAL (review_status=pending); labels are additional assertions layered next to native ones
content.conferences.manuscripts_epigraphy_material.taxonomy_crosswalk,conferences,presentation,all,records_labelled_manuscripts_epigraphy_material,12,records_with_this_axis_assigned,722,presentation,0.016620,unclassified_on_this_axis=640,complete,conferences:2026-08-06,taxonomy_crosswalk,h1899-metrics-1.0.0,crosswalk-derived PROPOSAL (review_status=pending); labels are additional assertions layered next to native ones
content.conferences.religion_philosophy.taxonomy_crosswalk,conferences,presentation,all,records_labelled_religion_philosophy,431,records_with_this_axis_assigned,722,presentation,0.596953,unclassified_on_this_axis=640,complete,conferences:2026-08-06,taxonomy_crosswalk,h1899-metrics-1.0.0,crosswalk-derived PROPOSAL (review_status=pending); labels are additional assertions layered next to native ones
content.conferences.texts_philology.taxonomy_crosswalk,conferences,presentation,all,records_labelled_texts_philology,25,records_with_this_axis_assigned,722,presentation,0.034626,unclassified_on_this_axis=640,complete,conferences:2026-08-06,taxonomy_crosswalk,h1899-metrics-1.0.0,crosswalk-derived PROPOSAL (review_status=pending); labels are additional assertions layered next to native ones
content.nagari.digital_computational.taxonomy_crosswalk,nagari,message,all,records_labelled_digital_computational,850,records_with_this_axis_assigned,6745,message,0.126019,unclassified_on_this_axis=11982,pilot,nagari:pilot:2026-07-17,taxonomy_crosswalk,h1899-metrics-1.0.0,"PILOT/PARTIAL coverage: within-lens composition only, no population share — crosswalk-derived PROPOSAL (review_status=pending); labels are additional assertions layered next to native ones"
content.nagari.grammar_linguistics.taxonomy_crosswalk,nagari,message,all,records_labelled_grammar_linguistics,1109,records_with_this_axis_assigned,6745,message,0.164418,unclassified_on_this_axis=11982,pilot,nagari:pilot:2026-07-17,taxonomy_crosswalk,h1899-metrics-1.0.0,"PILOT/PARTIAL coverage: within-lens composition only, no population share — crosswalk-derived PROPOSAL (review_status=pending); labels are additional assertions layered next to native ones"
content.nagari.religion_philosophy.taxonomy_crosswalk,nagari,message,all,records_labelled_religion_philosophy,13,records_with_this_axis_assigned,6745,message,0.001927,unclassified_on_this_axis=11982,pilot,nagari:pilot:2026-07-17,taxonomy_crosswalk,h1899-metrics-1.0.0,"PILOT/PARTIAL coverage: within-lens composition only, no population share — crosswalk-derived PROPOSAL (review_status=pending); labels are additional assertions layered next to native ones"
content.nagari.teaching_learning.taxonomy_crosswalk,nagari,message,all,records_labelled_teaching_learning,1333,records_with_this_axis_assigned,6745,message,0.197628,unclassified_on_this_axis=11982,pilot,nagari:pilot:2026-07-17,taxonomy_crosswalk,h1899-metrics-1.0.0,"PILOT/PARTIAL coverage: within-lens composition only, no population share — crosswalk-derived PROPOSAL (review_status=pending); labels are additional assertions layered next to native ones"
content.nagari.texts_philology.taxonomy_crosswalk,nagari,message,all,records_labelled_texts_philology,3440,records_with_this_axis_assigned,6745,message,0.510007,unclassified_on_this_axis=11982,pilot,nagari:pilot:2026-07-17,taxonomy_crosswalk,h1899-metrics-1.0.0,"PILOT/PARTIAL coverage: within-lens composition only, no population share — crosswalk-derived PROPOSAL (review_status=pending); labels are additional assertions layered next to native ones"
content.vk_ors.none,vk_ors,post,all,intellectual_content_labelled_records,0,records_with_this_axis_assigned,0,post,,no intellectual_content assignment exists for this lens (7608 records unclassified on this axis),complete,vk_ors:2026-07-24,classification_assignment,h1899-metrics-1.0.0,axis GAP for this lens — suppress it from any comparison figure
