metric_id,lens,native_unit,period,numerator_name,numerator,denominator_name,denominator,denominator_unit,value,missingness,coverage_status,source_snapshot,method,method_version,caveat
gumilev.conferences.G1.gumilyov_scale_csv_deepseek,conferences,presentation,all,records_labelled_G1,1070,records_with_this_axis_assigned,1361,presentation,0.786187,unclassified_on_this_axis=1,complete,conferences:2026-08-06,gumilyov_scale.csv (deepseek),h1899-metrics-1.0.0,source-native accepted evidence
gumilev.conferences.G1.gumilyov_scale_csv_deepseek_strict_scale_audit,conferences,presentation,all,records_labelled_G1,75,records_with_this_axis_assigned,1361,presentation,0.055107,unclassified_on_this_axis=1,complete,conferences:2026-08-06,gumilyov_scale.csv (deepseek_strict_scale_audit),h1899-metrics-1.0.0,source-native accepted evidence
gumilev.conferences.G2.gumilyov_scale_csv_deepseek_strict_scale_audit,conferences,presentation,all,records_labelled_G2,204,records_with_this_axis_assigned,1361,presentation,0.149890,unclassified_on_this_axis=1,complete,conferences:2026-08-06,gumilyov_scale.csv (deepseek_strict_scale_audit),h1899-metrics-1.0.0,source-native accepted evidence
gumilev.conferences.G2.gumilyov_scale_csv_editorial_scale_adjudication_,conferences,presentation,all,records_labelled_G2,1,records_with_this_axis_assigned,1361,presentation,0.000735,unclassified_on_this_axis=1,complete,conferences:2026-08-06,gumilyov_scale.csv (editorial_scale_adjudication_after_deepseek),h1899-metrics-1.0.0,source-native accepted evidence
gumilev.conferences.G3.gumilyov_scale_csv_deepseek_strict_scale_audit,conferences,presentation,all,records_labelled_G3,11,records_with_this_axis_assigned,1361,presentation,0.008082,unclassified_on_this_axis=1,complete,conferences:2026-08-06,gumilyov_scale.csv (deepseek_strict_scale_audit),h1899-metrics-1.0.0,source-native accepted evidence
gumilev.nagari.G1.deterministic_ruleset_pilot,nagari,message,all,records_labelled_G1,4769,records_with_this_axis_assigned,18727,message,0.254659,unclassified_on_this_axis=0,pilot,nagari:pilot:2026-07-17,deterministic_ruleset_pilot,h1899-metrics-1.0.0,"deterministic ruleset PILOT, unreviewed: non-comparable across lenses, no cross-lens distribution may be published"
gumilev.nagari.G2.deterministic_ruleset_pilot,nagari,message,all,records_labelled_G2,174,records_with_this_axis_assigned,18727,message,0.009291,unclassified_on_this_axis=0,pilot,nagari:pilot:2026-07-17,deterministic_ruleset_pilot,h1899-metrics-1.0.0,"deterministic ruleset PILOT, unreviewed: non-comparable across lenses, no cross-lens distribution may be published"
gumilev.nagari.G3.deterministic_ruleset_pilot,nagari,message,all,records_labelled_G3,32,records_with_this_axis_assigned,18727,message,0.001709,unclassified_on_this_axis=0,pilot,nagari:pilot:2026-07-17,deterministic_ruleset_pilot,h1899-metrics-1.0.0,"deterministic ruleset PILOT, unreviewed: non-comparable across lenses, no cross-lens distribution may be published"
gumilev.nagari.not_applicable.deterministic_ruleset_pilot,nagari,message,all,records_labelled_not_applicable,47,records_with_this_axis_assigned,18727,message,0.002510,unclassified_on_this_axis=0,pilot,nagari:pilot:2026-07-17,deterministic_ruleset_pilot,h1899-metrics-1.0.0,"deterministic ruleset PILOT, unreviewed: non-comparable across lenses, no cross-lens distribution may be published"
gumilev.nagari.unknown.deterministic_ruleset_pilot,nagari,message,all,records_labelled_unknown,13705,records_with_this_axis_assigned,18727,message,0.731831,unclassified_on_this_axis=0,pilot,nagari:pilot:2026-07-17,deterministic_ruleset_pilot,h1899-metrics-1.0.0,"deterministic ruleset PILOT, unreviewed: non-comparable across lenses, no cross-lens distribution may be published"
gumilev.vk_ors.unknown.deterministic_ruleset_pilot,vk_ors,post,all,records_labelled_unknown,7608,records_with_this_axis_assigned,7608,post,1.000000,unclassified_on_this_axis=0,complete,vk_ors:2026-07-24,deterministic_ruleset_pilot,h1899-metrics-1.0.0,"deterministic ruleset PILOT, unreviewed: non-comparable across lenses, no cross-lens distribution may be published"
