canonical	type	aliases	qid
Georg Bühler	person	bühler|buhler|бюлер
Rudolph Roth	person	roth|рот
Otto Böhtlingk	person	böhtlingk|boehtlingk|бётлингк|бетлингк
Vaman Shivram Apte	person	apte|апте
Hermann Grassmann	person	grassmann|грассман
Arthur Macdonell	person	macdonell|макдонелл
Carl Cappeller	person	cappeller|каппеллер
Horace Hayman Wilson	person	h. h. wilson|уилсон|вильсон
Ferdinand Knauer	person	knauer|кнауэр
Śaṅkara	person	shankara|шанкара|śaṅkarācārya
Madhusūdana Sarasvatī	person	madhusudana sarasvati|мадхусудан сарасвати
Pāṇini	person	panini|панини
Patañjali	person	patanjali|патанджали
Kātyāyana	person	katyayana|катьяяна
Andrey Zaliznyak	person	zaliznyak|зализняк
Tatyana Elizarenkova	person	elizarenkova|елизаренкова
