canonical	type	aliases	qid
Monier-Williams	dict	mw|монье-вильямс|monier|monier-williams
Grosses Petersburger Wörterbuch	dict	pwg|петербургский словарь|böhtlingk|бётлингк
Sanskrit-Wörterbuch in kürzerer Fassung	dict	pwk|бётлингк краткий
Wörterbuch zum Rig-Veda	dict	gra|grassmann|грассман
Apte Practical Sanskrit-English Dictionary	dict	apte|апте|ap90
Wilson Sanskrit-English Dictionary	dict	wilson|вильсон
Macdonell Sanskrit-English Dictionary	dict	macdonell|макдонелл
Cappeller Sanskrit-English Dictionary	dict	cappeller|каппеллер|cae|ccs
Śabdakalpadruma	dict	shabdakalpadruma|шабдакалпадрума|skd
Vācaspatyam	dict	vachaspatyam|вачаспатьям|vcp
Amarakosha	dict	amarakosa|амаракоша
