day,date,person_display,full_name,role,order,affil_2026,is_online,category,history_count,history_sample,title
4,2026-05-29,Абинякин Владимир Александрович,,speaker,1,Санкт-Петербург,0,D,0,,К истории
4,2026-05-29,Анисимова Дарья Дмитриевна,,speaker,1,Санкт-Петербург,0,B,1,СПб. (2025 Zograf Readings),Голод в Бенгалии 1943
4,2026-05-29,Рыжакова Светлана Игоревна,Рыжакова Светлана Игоревна,speaker,1,Москва,0,A,18,Москва (2025 Zograf Readings) | Москва (2022 Zograf Readings) | Москва (2021 Zograf Readings),Окна в иной мир: изобразительные
4,2026-05-29,Котин Игорь Юрьевич,Котин Игорь Юрьевич,speaker,1,Санкт-Петербург,0,B,5,СПб (2022 Zograf Readings) | СПб (2018 Zograf Readings) | СПб (2014 Zograf Readings),
4,2026-05-29,Соболева Елена Станиславовна,,coauthor,2,Санкт-Петербург,0,B,2,СПб. (2025 Zograf Readings) | Санкт-Петербург (2020 Zograf Readings),
4,2026-05-29,Корнеева Наталья Афанасьевна,Корнеева Наталья Афанасьевна,speaker,1,Москва,0,C,14,Москва (2025 Zograf Readings) | независимый исследователь (2025 Roerich Readings) | ни (2024 Roerich Readings),Ведийский ритуал Праваргья
4,2026-05-29,Harjender Singh Chaudhary,,speaker,1,Дели,0,D,0,,"Jati, gotra and marriage system in Haryana: a"
4,2026-05-29,Альбедиль Маргарита Федоровна,,speaker,1,Санкт-Петербург,0,B,9,СПб. (2025 Zograf Readings) | СПб (2022 Zograf Readings) | Санкт-Петербург (2021 Zograf Readings),Непальский вариант
4,2026-05-29,Рыбакова Анна Геннадьевна,Рыбакова Анна Геннадьевна,speaker,1,Москва – Патмос,0,B,5,Москва – Патмос (2025 Zograf Readings) | Москва/Патмос (2022 Zograf Readings) | Москва – Патмос (2021 Zograf Readings),Златоликие образы
4,2026-05-29,Соболева Дарья Валерьевна,Соболева Диана Владимировна,speaker,1,Санкт-Петербург,0,A,2,СПбГУ (2022 Zograf Readings) | СПбГУ (2007 Zograf Readings),"Яйцо, курица и Тримурти:"
4,2026-05-29,Ренковская Евгения Алексеевна,,speaker,1,Москва,0,A,4,"Москва (2025 Zograf Readings) | Москва (2021 Zograf Readings) | ИЯз РАН, ИВ РАН (2021 Roerich Readings)",Миф о Потопе и тыкве у племен
