person_id,display_name,full_name_ru,n_talks,openalex_query,openalex_url,rinc_search_url,first_publication_year,first_publication_source,notes
PERS_61202bf3,Ю. М. Алиханова,,11,Ю. М. Алиханова,https://api.openalex.org/authors?search=Ю.%20М.%20Алиханова,https://elibrary.ru/author_items.asp?authorid=&fams=Ю.,,,
PERS_05d56645,Бабин Александр Николаевич,,10,Бабин Александр Николаевич,https://api.openalex.org/authors?search=Бабин%20Александр%20Николаевич,https://elibrary.ru/author_items.asp?authorid=&fams=Бабин,,,
PERS_9a855a7b,Альбедиль Маргарита Федоровна,,10,Альбедиль Маргарита Федоровна,https://api.openalex.org/authors?search=Альбедиль%20Маргарита%20Федоровна,https://elibrary.ru/author_items.asp?authorid=&fams=Альбедиль,,,
PERS_260a598a,Пахомов Сергей Владимирович,,9,Пахомов Сергей Владимирович,https://api.openalex.org/authors?search=Пахомов%20Сергей%20Владимирович,https://elibrary.ru/author_items.asp?authorid=&fams=Пахомов,,,
PERS_2fd442aa,С. Ч. Офертас,,9,С. Ч. Офертас,https://api.openalex.org/authors?search=С.%20Ч.%20Офертас,https://elibrary.ru/author_items.asp?authorid=&fams=С.,,,
PERS_3b196639,Гордийчук Николай Валентинович,,9,Гордийчук Николай Валентинович,https://api.openalex.org/authors?search=Гордийчук%20Николай%20Валентинович,https://elibrary.ru/author_items.asp?authorid=&fams=Гордийчук,,,
PERS_5d324297,К. П. Шрестха,,9,К. П. Шрестха,https://api.openalex.org/authors?search=К.%20П.%20Шрестха,https://elibrary.ru/author_items.asp?authorid=&fams=К.,,,
PERS_5ed752d9,Б. У. Китинов,,9,Б. У. Китинов,https://api.openalex.org/authors?search=Б.%20У.%20Китинов,https://elibrary.ru/author_items.asp?authorid=&fams=Б.,,,
PERS_8e117242,Е. А. Юдицкая,,9,Е. А. Юдицкая,https://api.openalex.org/authors?search=Е. А.%20Юдицкая,https://elibrary.ru/author_items.asp?authorid=&fams=Е.,,,
PERS_e72d4c09,Е. Д. Огнева,,9,Е. Д. Огнева,https://api.openalex.org/authors?search=Е.%20Д.%20Огнева,https://elibrary.ru/author_items.asp?authorid=&fams=Е.,,,
PERS_f2fef030,Мехакян Арег Гайкович,,9,Мехакян Арег Гайкович,https://api.openalex.org/authors?search=Мехакян%20Арег%20Гайкович,https://elibrary.ru/author_items.asp?authorid=&fams=Мехакян,,,
PERS_5d34c947,Волошина Оксана Анатольевна,,8,Волошина Оксана Анатольевна,https://api.openalex.org/authors?search=Волошина%20Оксана%20Анатольевна,https://elibrary.ru/author_items.asp?authorid=&fams=Волошина,,,
PERS_7542d270,Демченко Максим Борисович,,8,Демченко Максим Борисович,https://api.openalex.org/authors?search=Демченко%20Максим%20Борисович,https://elibrary.ru/author_items.asp?authorid=&fams=Демченко,,,
PERS_0e0a154e,Титлин Лев Игоревич,,7,Титлин Лев Игоревич,https://api.openalex.org/authors?search=Титлин%20Лев%20Игоревич,https://elibrary.ru/author_items.asp?authorid=&fams=Титлин,,,
PERS_1c6fcce5,Кузина Елизавета Олеговна,,7,Кузина Елизавета Олеговна,https://api.openalex.org/authors?search=Кузина%20Елизавета%20Олеговна,https://elibrary.ru/author_items.asp?authorid=&fams=Кузина,,,
PERS_50d73711,Смирнитская Анна Александровна,,7,Смирнитская Анна Александровна,https://api.openalex.org/authors?search=Смирнитская%20Анна%20Александровна,https://elibrary.ru/author_items.asp?authorid=&fams=Смирнитская,,,
PERS_72506535,Крылова Анастасия Сергеевна,,7,Крылова Анастасия Сергеевна,https://api.openalex.org/authors?search=Крылова%20Анастасия%20Сергеевна,https://elibrary.ru/author_items.asp?authorid=&fams=Крылова,,,
PERS_9f398436,Куликов Леонид Игоревич,,7,Куликов Леонид Игоревич,https://api.openalex.org/authors?search=Куликов%20Леонид%20Игоревич,https://elibrary.ru/author_items.asp?authorid=&fams=Куликов,,,
PERS_db046be0,Сабирова Римма Наилевна,,7,Сабирова Римма Наилевна,https://api.openalex.org/authors?search=Сабирова%20Римма%20Наилевна,https://elibrary.ru/author_items.asp?authorid=&fams=Сабирова,,,
PERS_23215083,М. А. Русанов,,6,М. А. Русанов,https://api.openalex.org/authors?search=М.%20А.%20Русанов,https://elibrary.ru/author_items.asp?authorid=&fams=М.,,,
PERS_8516d1e4,Гасунс Марцис Юрьевич,,6,Гасунс Марцис Юрьевич,https://api.openalex.org/authors?search=Гасунс%20Марцис%20Юрьевич,https://elibrary.ru/author_items.asp?authorid=&fams=Гасунс,,,
PERS_9ad66151,Д. Н. Лелюхин,,6,Д. Н. Лелюхин,https://api.openalex.org/authors?search=Д.%20Н.%20Лелюхин,https://elibrary.ru/author_items.asp?authorid=&fams=Д.,,,
PERS_a84aedaa,Шомахмадов Сафарали Хайбуллоевич,,6,Шомахмадов Сафарали Хайбуллоевич,https://api.openalex.org/authors?search=Шомахмадов%20Сафарали%20Хайбуллоевич,https://elibrary.ru/author_items.asp?authorid=&fams=Шомахмадов,,,
PERS_bc97fb65,Краснодембская Нина Георгиевна,,6,Краснодембская Нина Георгиевна,https://api.openalex.org/authors?search=Краснодембская%20Нина%20Георгиевна,https://elibrary.ru/author_items.asp?authorid=&fams=Краснодембская,,,
PERS_d2559ba1,Е. С. Лепехова,,6,Е. С. Лепехова,https://api.openalex.org/authors?search=Е.%20С.%20Лепехова,https://elibrary.ru/author_items.asp?authorid=&fams=Е.,,,
PERS_df6e2007,А. А. Мехакян,,6,А. А. Мехакян,https://api.openalex.org/authors?search=А.%20А.%20Мехакян,https://elibrary.ru/author_items.asp?authorid=&fams=А.,,,
PERS_efc88709,Канаева Наталия Алексеевна,,6,Канаева Наталия Алексеевна,https://api.openalex.org/authors?search=Канаева%20Наталия%20Алексеевна,https://elibrary.ru/author_items.asp?authorid=&fams=Канаева,,,
PERS_f8ab5755,Оранская Татьяна Иосифовна,,6,Оранская Татьяна Иосифовна,https://api.openalex.org/authors?search=Оранская%20Татьяна%20Иосифовна,https://elibrary.ru/author_items.asp?authorid=&fams=Оранская,,,
PERS_22d87263,Костина Екатерина Александровна,,5,Костина Екатерина Александровна,https://api.openalex.org/authors?search=Костина%20Екатерина%20Александровна,https://elibrary.ru/author_items.asp?authorid=&fams=Костина,,,
PERS_58b39545,Ренковская Евгения Алексеевна,,5,Ренковская Евгения Алексеевна,https://api.openalex.org/authors?search=Ренковская%20Евгения%20Алексеевна,https://elibrary.ru/author_items.asp?authorid=&fams=Ренковская,,,
PERS_7eb0dc30,Зимина Татьяна Александровна,,5,Зимина Татьяна Александровна,https://api.openalex.org/authors?search=Зимина%20Татьяна%20Александровна,https://elibrary.ru/author_items.asp?authorid=&fams=Зимина,,,
PERS_92f293f8,П. В. Хрущева,,5,П. В. Хрущева,https://api.openalex.org/authors?search=П.%20В.%20Хрущева,https://elibrary.ru/author_items.asp?authorid=&fams=П.,,,
PERS_c6bbcef3,Битинайте Елена Алексеевна,,5,Битинайте Елена Алексеевна,https://api.openalex.org/authors?search=Битинайте%20Елена%20Алексеевна,https://elibrary.ru/author_items.asp?authorid=&fams=Битинайте,,,
PERS_dd7de77e,Е. К. Бросалина,,5,Е. К. Бросалина,https://api.openalex.org/authors?search=Е.%20К.%20Бросалина,https://elibrary.ru/author_items.asp?authorid=&fams=Е.,,,
PERS_06ee047f,Ю. И. Елихина,,4,Ю. И. Елихина,https://api.openalex.org/authors?search=Ю.%20И.%20Елихина,https://elibrary.ru/author_items.asp?authorid=&fams=Ю.,,,
PERS_088c4df7,Ю.Г. Атманова,,4,Ю.Г. Атманова,https://api.openalex.org/authors?search=Ю.Г.%20Атманова,https://elibrary.ru/author_items.asp?authorid=&fams=Ю.Г.,,,
PERS_2a2e5602,Коровина Евгения Владимировна,,4,Коровина Евгения Владимировна,https://api.openalex.org/authors?search=Коровина%20Евгения%20Владимировна,https://elibrary.ru/author_items.asp?authorid=&fams=Коровина,,,
