confidence,matched_field,matched_field_text,matched_term,presentation_id,public_path,renou_axis,renou_code,renou_label,rule_id,series,source_url,title,year
title_tag_pattern,title,,Шанкар,PRES_7f70e3b9a4,p/shankara-kak-kritik-kategorii-vaisheshiki.html,register,bhasya,Bhāṣya,register_bhasya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Шанкара как критик категорий вайшешики,2004
title_tag_pattern,title,,драм,PRES_8a6d651579,p/o-zhanre-vyaioga-v-sanskritskoi-teorii-dramy.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,О жанре вьяйога в санскритской теории драмы,2004
title_tag_pattern,title,,драм,PRES_8a6d651579,p/o-zhanre-vyaioga-v-sanskritskoi-teorii-dramy.html,register,natya,Nāṭya,register_natya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,О жанре вьяйога в санскритской теории драмы,2004
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_8a6d651579,p/o-zhanre-vyaioga-v-sanskritskoi-teorii-dramy.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,О жанре вьяйога в санскритской теории драмы,2004
title_tag_pattern,title,,пуран,PRES_8ee46835ab,p/moksha-v-bkhagavata-purane.html,state,III,Epic & prolongements,state_III,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Мокша в Бхагавата-пуране,2004
title_tag_pattern,title,,Бхагават,PRES_8ee46835ab,p/moksha-v-bkhagavata-purane.html,register,purana,Purāṇa,register_purana,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Мокша в Бхагавата-пуране,2004
title_tag_pattern,title,,Махабхарат,PRES_92c5268a51,p/figura-tsarya-i-predstavleniya-o-vremeni-v-makhabkharate.html,state,III,Epic & prolongements,state_III,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Фигура царя и представления о времени в «Махабхарате»,2004
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_92c5268a51,p/figura-tsarya-i-predstavleniya-o-vremeni-v-makhabkharate.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Фигура царя и представления о времени в «Махабхарате»,2004
title_tag_pattern,title,,Махабхарат,PRES_92c5268a51,p/figura-tsarya-i-predstavleniya-o-vremeni-v-makhabkharate.html,register,epic,Epic,register_epic,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Фигура царя и представления о времени в «Махабхарате»,2004
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_92c5268a51,p/figura-tsarya-i-predstavleniya-o-vremeni-v-makhabkharate.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Фигура царя и представления о времени в «Махабхарате»,2004
