entity_type,entity_id,display_name,field_name,field_value,source_type,source_url,confidence,checked_at,notes
person,PERS_05d56645,Бабин Александр Николаевич,birth_year,1990,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=5510&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_bff5de3e,Бейнорюс Аудрюс,full_name_ru,Бейнорюс Аудрюс,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_bff5de3e,Бейнорюс Аудрюс,full_name_en,Audrius Beinorius,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_bff5de3e,Бейнорюс Аудрюс,birth_year,1964,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_4a0de87e,Белимова Влада Сергеевна,full_name_ru,Белимова Влада Сергеевна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_4a0de87e,Белимова Влада Сергеевна,full_name_en,Vlada Belimova,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_4a0de87e,Белимова Влада Сергеевна,birth_year,1984,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_61de659d,Белов Владимир Николаевич,full_name_ru,Белов Владимир Николаевич,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_61de659d,Белов Владимир Николаевич,full_name_en,Belov Vladimir Nikolaevich,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_61de659d,Белов Владимир Николаевич,birth_year,1960,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
