archive_author_slice_count,archive_first_year,archive_last_year,archive_list_functions,archive_message_count,archive_primary_topics,archive_summary_rows,archive_thread_count,comparison_note,conference_first_year,conference_last_year,conference_presentation_count,conference_scholar_count,conference_series,renou_axis,renou_code,renou_label
1019,1991,2026,announcement/event; bibliographic request; digital resource/tool; general discussion; identification/help request; job/position; philological discussion; technical support,1528,Announcements and events; Bibliographic requests; Buddhism and Jainism; Digital resources and tools; General scholarly discussion; Manuscripts and epigraphy; Texts and philology; Veda and ritual,146,873,present in both layers,2004,2026,99,44,Roerich Readings; Zograf Readings,state,I,Vedic
902,1990,2026,announcement/event; bibliographic request; digital resource/tool; general discussion; identification/help request; job/position; obituary/memorial; philological discussion; technical support,1215,Announcements and events; Bibliographic requests; Buddhism and Jainism; Digital resources and tools; General scholarly discussion; Grammar and linguistics; Manuscripts and epigraphy; Texts and philology; Veda and ritual,137,637,present in both layers,2004,2026,140,54,Roerich Readings; Zograf Readings,state,III,Epic & prolongements
588,1992,2026,announcement/event; bibliographic request; digital resource/tool; general discussion; identification/help request; job/position; list administration; obituary/memorial; philological discussion,751,Announcements and events; Bibliographic requests; Buddhism and Jainism; Digital resources and tools; General scholarly discussion; Grammar and linguistics; History and culture; List administration,139,529,present in both layers,2004,2026,187,61,Roerich Readings; Zograf Readings,state,V,Buddhist / Jaina
255,1992,2026,announcement/event; bibliographic request; general discussion; identification/help request; philological discussion,323,Announcements and events; Bibliographic requests; General scholarly discussion; History and culture; Manuscripts and epigraphy; Texts and philology; Veda and ritual,68,179,present in both layers,2004,2026,321,101,Roerich Readings; Zograf Readings,state,IV,Classical
482,1991,2026,announcement/event; bibliographic request; digital resource/tool; general discussion; identification/help request; philological discussion,724,Announcements and events; Bibliographic requests; Buddhism and Jainism; Digital resources and tools; General scholarly discussion; Grammar and linguistics; Texts and philology; Veda and ritual,91,365,present in both layers,2006,2026,22,15,Roerich Readings; Zograf Readings,state,II,Pāṇinian
