person_id,display_name,layer,degree,betweenness,zograf_talks,roerich_talks,total_talks,series_attended,is_series_bridge
PERS_d98da899,Рыжакова Светлана Игоревна,session,101,0.061717,22,5,27,both,yes
PERS_c52dfaa0,Цветкова Светлана Олеговна,session,99,0.051042,15,12,27,both,yes
PERS_829c1de5,Васильков Ярослав Владимирович,session,97,0.04761,19,1,20,both,yes
PERS_12125da9,Лысенко Виктория Георгиевна,session,96,0.046646,19,6,25,both,yes
PERS_40862f5e,Корнеева Наталья Афанасьевна,session,90,0.041243,15,14,29,both,yes
PERS_da862dde,Дробышев Юлий Игорьевич,session,42,0.04071,0,15,15,roerich_only,no
PERS_11da326d,Тавастшерна Сергей Сергеевич,session,99,0.037221,16,12,28,both,yes
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,session,70,0.032,8,8,16,both,yes
PERS_f074f69f,Александрова Наталия Владимировна,session,84,0.031354,12,15,27,both,yes
PERS_a84aedaa,Шомахмадов Сафарали Хайбуллоевич,session,62,0.026763,9,0,9,zograf_only,no
PERS_003adcfe,Псху Рузана Владимировна,session,72,0.02376,19,0,19,zograf_only,no
PERS_91b473b1,Челнокова Анна Витальевна,session,58,0.022517,10,0,10,zograf_only,no
PERS_1fa7cc0c,Дубянский Александр Михайлович,session,72,0.021253,10,11,21,both,yes
PERS_3357f25b,Скороходова Татьяна Григорьевна,session,74,0.020948,18,0,18,zograf_only,no
PERS_f2fef030,Мехакян Арег Гайкович,session,61,0.018246,5,15,20,both,yes
PERS_e9545a0b,Шустова Алла Михайловна,session,41,0.017656,0,15,15,roerich_only,no
PERS_9a855a7b,Альбедиль Маргарита Федоровна,session,78,0.017574,19,0,19,zograf_only,no
PERS_3e105f43,Игнатьев Андрей Александрович,session,64,0.01655,18,0,18,zograf_only,no
PERS_fb25c80f,Ермакова Татьяна Викторовна,session,60,0.016315,15,0,15,zograf_only,no
PERS_72506535,Крылова Анастасия Сергеевна,session,47,0.015572,8,3,11,both,yes
PERS_e31ca12d,Вечерина Ольга Павловна,session,68,0.015546,9,7,16,both,yes
PERS_260a598a,Пахомов Сергей Владимирович,session,63,0.014172,16,0,16,zograf_only,no
PERS_8108c314,Ерченков Олег Николаевич,session,26,0.013227,6,0,6,zograf_only,no
PERS_1a097e52,Парибок Андрей Всеволодович,session,67,0.013078,17,0,17,zograf_only,no
