meso_codes,presentation_id,public_path,renou_evidence,renou_match_count,renou_match_status,renou_register_labels,renou_registers,renou_state_labels,renou_states,scholar_ids,scholar_urls,scholars,series,source_url,tags,theme_code,theme_en,title,year
buddhist_studies,PRES_195d6fc0bc,p/obraznaya-sistema-v-otshelnicheskoi-poezii-rannego-buddizma.html,state:IV; state:V; register:kavya; register:bauddha,4,matched,Bauddha; Kāvya,bauddha; kavya,Buddhist / Jaina; Classical,IV; V,PERS_e8f935aa,s/kudryavtseva-f935aa.html,E. K. Kudrâvceva,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,буддизм; образный; отшельнический; поэзия; ранний; система,literature_and_poetry,Literature & Poetry,Образная система в отшельнической поэзии раннего буддизма,2015
,PRES_1f1bea1183,p/rasskazy-o-masterstve-v-drevneindiiskoi-gorodskoi-literature.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_23215083,s/rusanov-maksim.html,Rusanov Maxim Albertovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,городской; древнеиндийский; литература; мастерство; рассказ,literature_and_poetry,Literature & Poetry,Рассказы о мастерстве в древнеиндийской городской литературе,2015
modern_literature,PRES_2715b98469,p/indiiskaya-tema-v-avtobiograficheskoi-knige-v-s-naipola-a-writer-s-people-ways-of-looking-and-fe.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_f19cd8a1,s/kotin-igor.html,Kotin Igor Yurievich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,автобиографический; индия; книга; найполый,literature_and_poetry,Literature & Poetry,Индийская тема в автобиографической книге В. С. Найпола «A Writer's People: Ways of Looking and Feeling»,2015
modern_literature,PRES_2aa82261d1,p/nauchno-fantasticheskie-rasskazy-khumayuna-akhmeda.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_8df3730a,s/donchenko-sergei.html,Donchenko Sergey Sergeevich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,ахмед; научно-фантастический; рассказ; хумаюна,literature_and_poetry,Literature & Poetry,Научно-фантастические рассказы Хумаюна Ахмеда,2015
,PRES_2fba1f0162,p/brakhmarakshas-ot-drevnosti-k-sovremennosti.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_7f908d49,s/streltsova-liliya.html,Streltsova Liliya Alexandrovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,брахмаракшас; древность; современность,literature_and_poetry,Literature & Poetry,Брахмаракшас: от древности к современности,2015
dravidology_south_india,PRES_425025e61c,p/legenda-o-poete-rebenke-sambandar-mif-i-realnost.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_34c0d384,s/pavlova-mariya.html,Maria Pavlova,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,легенда; миф; поэт-ребенок; реальность; самбандар,literature_and_poetry,Literature & Poetry,Легенда о поэте-ребёнке. Самбандар: миф и реальность,2015
bhakti_vaishnava,PRES_617b761321,p/narodnyi-stil-rechi-v-bkhramara-gite-surdasa.html,state:III; state:IV; register:kavya,3,matched,Kāvya,kavya,Classical; Epic & prolongements,III; IV,PERS_c52dfaa0,s/sofia-tsvetkova.html,Tsvetkova Svetlana Olegovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,бхрамара-гита; народный; речь; стиль; сурдас,literature_and_poetry,Literature & Poetry,Народный стиль речи в «Бхрамара-гите» Сурдаса,2015
sanskrit_grammar_panini,PRES_683bba7031,p/yazyk-zhretsa-yazyk-poeta-o-sakralnosti-rechi-v-drevneishikh-formakh-sanskritskoi-dramy.html,state:IV; register:natya; register:kavya,3,matched,Kāvya; Nāṭya,kavya; natya,Classical,IV,PERS_e1dd6b3e,s/natalia-lidova.html,Lidova Natalia Rostislavovna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2015,драма; древний; жрец; поэт; речь; сакральность; санскрит; форма; язык,literature_and_poetry,Literature & Poetry,Язык жреца – язык поэта. О сакральности речи в древнейших формах санскритской драмы,2015
modern_literature,PRES_82ae7abc5a,p/staraya-skazka-na-novyi-lad-devdas-v-indiiskom-kinematografe-21-veka.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_22d87263,s/kostina-ekaterina.html,Kostina Ekaterina Alexandrovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,век; девдас; индия; кинематограф; лад; новый; сказка; старый,literature_and_poetry,Literature & Poetry,Старая сказка на новый лад: Девдас в индийском кинематографе 21 века,2015
translation_reception,PRES_899ee181a5,p/roman-kadambari-i-ego-sovremennoe-prodolzhenie.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_f940c5b3,s/strelkova-gyuzel.html,Strelkova Guzel Vladimirovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,кадамбари; продолжение; роман; современный,literature_and_poetry,Literature & Poetry,Роман «Кадамбари» и его современное продолжение,2015
