presentation_id,year,series,title,people,source_snippet,source_url,review_status,human_action
PRES_ed195acb30,2021,Zograf Readings,Г*. (Санкт-Петербург). Семья Рудневых как собиратели коллекций для МАЭ РАН,Соболева Елена Станиславовна [speaker] | Краснодембская Нина Георгиевна [coauthor],"Соболева Е. С., Краснодембская Н. Г*. (Санкт-Петербург). Семья Рудневых как собиратели коллекций для МАЭ РАН",https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14119&option=com_content&task=view,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
PRES_a12fd2f1ff,2021,Roerich Readings,Астрологические манускрипты на танкри из коллекции Кхубрама Кхушдиля (Химачал-Прадеш): особенности текстов и датировка,Ренковская Евгения Алексеевна [coauthor] | Крылова Анастасия Сергеевна [speaker],"12.00. А.С. Крылова (ИВ РАН), Е. А. Ренковская (ИЯз РАН, ИВ РАН) Астрологические манускрипты на танкри из коллекции Кхубрама Кхушдиля (Химачал-Прадеш): особенности текстов и датировка.",https://ancient.ivran.ru/novosti?year=2021,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
PRES_386eb26ca7,2022,Zograf Readings,О сюжетах по джатаке Махаджанака в сингальской коллекции МАЭ,Соболева Елена Станиславовна [coauthor] | Краснодембская Нина Георгиевна [speaker],"Н.Г. Краснодембская, Е.С. Соболева (СПб). О сюжетах по джатаке Махаджанака в сингальской коллекции МАЭ.",https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14629&option=com_content&task=view,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
PRES_76a1404370,2022,Zograf Readings,"Диалектологическое исследование языка куллуи (< химачали): задачи, методика, результаты",Ренковская Евгения Алексеевна [coauthor] | Крылова Анастасия Сергеевна [speaker],"А.С. Крылова, Е.А. Ренковская (Москва). Диалектологическое исследование языка куллуи (< химачали): задачи, методика, результаты.",https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14629&option=com_content&task=view,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
PRES_cc6f3afab6,2022,Roerich Readings,«Стела монастыря Шакья 释迦院碑» 1257 г. в Монголии – изучение и анализ текста,Китинов Баатр Учаевич [coauthor] | Люлина Анастасия Геннадьевна [speaker],"14.30. А. Г. Люлина (ИВ РАН), Б.У. Китинов (ИВ РАН). «Стела монастыря Шакья 释迦院碑» 1257 г. в Монголии – изучение и анализ текста.",https://ancient.ivran.ru/novosti?year=2022,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
PRES_791395e4f3,2023,Zograf Readings,Female-Mystic in Medieval Tamil Literature and Early Sufism: Structural Similarity of Images,Псху Рузана Владимировна [coauthor] | Вечерина Ольга Павловна [speaker],"[Olga Vecherina], Ruzana Pskhu (Moscow, RUDN-University). Female-Mystic in Medieval Tamil Literature and Early Sufism: Structural Similarity of Images (онлайн).",https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14847&option=com_content&task=view,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
PRES_aad0fc574e,2024,Zograf Readings,Российская экспедиция в Ассам 1911-1912 гг,Соболева Елена Станиславовна [coauthor] | Краснодембская Нина Георгиевна [speaker],"Краснодембская Н.Г., Соболева Е.С. (СПб) Российская экспедиция в Ассам 1911-1912 гг.",https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14999&option=com_content&task=view,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
PRES_a67d45cc5a,2024,Roerich Readings,К идентификации тантрических изображений Ямантаки в монастыре Юнъань-сы 永安寺 провинции Шаньси 山西省,Брылёва Наталья Анатольевна [speaker] | А. В. Осокин [coauthor],"15.00. Н.А. Брылёва (Институт экономики и управления АПК, КрасГАУ, онлайн), А.В. Осокин (ИВ РАН, онлайн). К идентификации тантрических изображений Ямантаки в монастыре Юнъань-сы 永安寺 провинции Шаньси 山西省.",https://ancient.ivran.ru/novosti?year=2024,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
PRES_5c44ffa32f,2025,Roerich Readings,Исторические и историографические особенности монгольской летописи начала XVIII в.: Гомбоджаб. «Течение Ганга»,М. А. Овчинникова [coauthor] | Цендина Анна Дамдиновна [speaker],"15.00. А.Д. Цендина (ИКВИА НИУ ВШЭ, Москва), М.А. Овчинникова (ИВ РАН, Москва). Исторические и историографические особенности монгольской летописи начала XVIII в.: Гомбоджаб. «Течение Ганга».",https://ancient.ivran.ru/novosti?year=2025,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
PRES_fad14d11c0,2025,Roerich Readings,Prasādapratibhodbhava (Śatapañcāśatka) Матричеты: тохарский перевод и комментарий,Иткин Илья Борисович [speaker] | Лундышева Ольга Владимировна [coauthor],"13.45. И.Б. Иткин (ИВ РАН; НИУ ВШЭ, Москва), О. В. Лундышева (РНБ Сектор восточных фондов Отдела рукописей; ИКВИА НИУ ВШЭ, Санкт-Петербург - Москва). Prasādapratibhodbhava (Śatapañcāśatka) Матричеты: тохарский перевод и комментарий.",https://ancient.ivran.ru/novosti?year=2025,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
PRES_23a87e494f,2026,Zograf Readings,Фарс Шанкхадхары «Латакамелака» и ее рукопись из Библиотеки им. Кешара (Катманду),Минаева Маргарита Денисовна [coauthor] | Комиссаров Дмитрий Алексеевич [speaker],"Комиссаров Дмитрий Алексеевич, Минаева Маргарита Денисовна (Москва). Фарс Шанкхадхары «Латакамелака» и ее рукопись из Библиотеки им. Кешара (Катманду).",https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
PRES_422bda6a2b,2026,Zograf Readings,"Востоковед Павел Яковлевич Петров (1814–1875), его библиотека и архив",Седукова Надежда Александровна [coauthor] | Мотылёва Вера Леонидовна [speaker],"Мотылёва Вера Леонидовна (Москва). Седукова Надежда Александровна (Новгород). Востоковед Павел Яковлевич Петров (1814–1875), его библиотека и архив.",https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
PRES_702d8347a7,2026,Zograf Readings,Об одном диафильме В. Чатопадаева из коллекции МАЭ РАН,Соболева Елена Станиславовна [coauthor] | Котин Игорь Юрьевич [speaker],"Котин Игорь Юрьевич, Соболева Елена Станиславовна (Санкт-Петербург). Об одном диафильме В. Чатопадаева из коллекции МАЭ РАН.",https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,source_backed_review,Confirm that the programme line denotes a true joint presentation before citing as coauthorship.
