priority_rank,person_id,display_name,full_name_ru,total_talks,reason,suggested_query,rinc_search_url,openalex_search_url,review_status
1,PERS_a84aedaa,С. Х. Шомахмадов,Шомахмадов Сафарали Хайбуллоевич,6,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,Шомахмадов Сафарали Хайбуллоевич индолог,https://elibrary.ru/authors.asp?fams=%D0%A8%D0%BE%D0%BC%D0%B0%D1%85%D0%BC%D0%B0%D0%B4%D0%BE%D0%B2&imas=%D0%A1%D0%B0%D1%84%D0%B0%D1%80%D0%B0%D0%BB%D0%B8&otchs=%D0%A5%D0%B0%D0%B9%D0%B1%D1%83%D0%BB%D0%BB%D0%BE%D0%B5%D0%B2%D0%B8%D1%87,,todo
1,PERS_f8ab5755,Т. И. Оранская,Оранская Татьяна Иосифовна,6,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,Оранская Татьяна Иосифовна индолог,https://elibrary.ru/authors.asp?fams=%D0%9E%D1%80%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F&imas=%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0&otchs=%D0%98%D0%BE%D1%81%D0%B8%D1%84%D0%BE%D0%B2%D0%BD%D0%B0,,todo
1,PERS_f5b8b340,А. А. Вигасин,Вигасин Алексей Алексеевич,5,Many talks and no external ID; Initials-only display name,Вигасин Алексей Алексеевич индолог,https://elibrary.ru/authors.asp?fams=%D0%92%D0%B8%D0%B3%D0%B0%D1%81%D0%B8%D0%BD&imas=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9&otchs=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87,https://openalex.org/authors?search=Alexey%20Vigasin,todo
1,PERS_91b473b1,А. В. Челнокова,Челнокова Анна Витальевна,5,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,Челнокова Анна Витальевна индолог,https://elibrary.ru/authors.asp?fams=%D0%A7%D0%B5%D0%BB%D0%BD%D0%BE%D0%BA%D0%BE%D0%B2%D0%B0&imas=%D0%90%D0%BD%D0%BD%D0%B0&otchs=%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0,,todo
1,PERS_0665f215,В. К. Шохин,Шохин Владимир Кириллович,5,Many talks and no external ID; Initials-only display name,Шохин Владимир Кириллович индолог,https://elibrary.ru/authors.asp?fams=%D0%A8%D0%BE%D1%85%D0%B8%D0%BD&imas=%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80&otchs=%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,https://openalex.org/authors?search=Vladimir%20Shokhin,todo
1,PERS_93e2effb,Д. А. Комиссаров,Комиссаров Дмитрий Алексеевич,5,Many talks and no external ID; Initials-only display name,Комиссаров Дмитрий Алексеевич индолог,https://elibrary.ru/authors.asp?fams=%D0%9A%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B0%D1%80%D0%BE%D0%B2&imas=%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9&otchs=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87,https://openalex.org/authors?search=Dmitry%20Komissarov,todo
1,PERS_c6bbcef3,Е. А. Битинайте,Битинайте Елена Алексеевна,5,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,Битинайте Елена Алексеевна индолог,https://elibrary.ru/authors.asp?fams=%D0%91%D0%B8%D1%82%D0%B8%D0%BD%D0%B0%D0%B9%D1%82%D0%B5&imas=%D0%95%D0%BB%D0%B5%D0%BD%D0%B0&otchs=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0,,todo
1,PERS_22d87263,Е. А. Костина,Костина Екатерина Александровна,5,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,Костина Екатерина Александровна индолог,https://elibrary.ru/authors.asp?fams=%D0%9A%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0&imas=%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0&otchs=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,,todo
1,PERS_58b39545,Е. А. Ренковская,Ренковская Евгения Алексеевна,5,Many talks and no external ID; Initials-only display name,Ренковская Евгения Алексеевна индолог,https://elibrary.ru/authors.asp?fams=%D0%A0%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F&imas=%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D1%8F&otchs=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0,https://openalex.org/authors?search=Evgenia%20Renkovskaya,todo
1,PERS_dd7de77e,Е. К. Бросалина,Бросалина Елена Кирилловна,5,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,Бросалина Елена Кирилловна индолог,https://elibrary.ru/authors.asp?fams=%D0%91%D1%80%D0%BE%D1%81%D0%B0%D0%BB%D0%B8%D0%BD%D0%B0&imas=%D0%95%D0%BB%D0%B5%D0%BD%D0%B0&otchs=%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0,,todo
1,PERS_92f293f8,П. В. Хрущева,Хрущева Полина Викторовна,5,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,Хрущева Полина Викторовна индолог,https://elibrary.ru/authors.asp?fams=%D0%A5%D1%80%D1%83%D1%89%D0%B5%D0%B2%D0%B0&imas=%D0%9F%D0%BE%D0%BB%D0%B8%D0%BD%D0%B0&otchs=%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,,todo
1,PERS_0c451d76,С. В. Лобанов,Лобанов Сергей Владимирович,5,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,Лобанов Сергей Владимирович индолог,https://elibrary.ru/authors.asp?fams=%D0%9B%D0%BE%D0%B1%D0%B0%D0%BD%D0%BE%D0%B2&imas=%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9&otchs=%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,todo
1,PERS_7eb0dc30,Т. А. Зимина,Т. А. Зимина,5,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,Т. А. Зимина индолог,https://elibrary.ru/authors.asp?fams=%D0%97%D0%B8%D0%BC%D0%B8%D0%BD%D0%B0&imas=%D0%A2&otchs=%D0%90,,todo
1,PERS_088c4df7,Ю. Г. Атманова,Атманова Юлия Георгиевна,5,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,Атманова Юлия Георгиевна индолог,https://elibrary.ru/authors.asp?fams=%D0%90%D1%82%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0&imas=%D0%AE%D0%BB%D0%B8%D1%8F&otchs=%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0,,todo
2,PERS_8516d1e4,М. Ю. Гасунс,Гасунс Марцис Юрьевич,6,Initials-only display name,Гасунс Марцис Юрьевич индолог,https://elibrary.ru/authors.asp?fams=%D0%93%D0%B0%D1%81%D1%83%D0%BD%D1%81&imas=%D0%9C%D0%B0%D1%80%D1%86%D0%B8%D1%81&otchs=%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87,https://openalex.org/authors?search=Marcis%20Gasuns,todo
2,PERS_6e211759,В. П. Иванов,Иванов Владимир Павлович,4,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Иванов Владимир Павлович индолог,https://elibrary.ru/authors.asp?fams=%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2&imas=%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80&otchs=%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,,todo
2,PERS_554c138a,Г. Г. Хмуркин,Хмуркин Георгий Георгиевич,4,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Хмуркин Георгий Георгиевич индолог,https://elibrary.ru/authors.asp?fams=%D0%A5%D0%BC%D1%83%D1%80%D0%BA%D0%B8%D0%BD&imas=%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9&otchs=%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87,,todo
2,PERS_45a76880,Д. А. Кораблин,Кораблин Денис Александрович,4,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Кораблин Денис Александрович индолог,https://elibrary.ru/authors.asp?fams=%D0%9A%D0%BE%D1%80%D0%B0%D0%B1%D0%BB%D0%B8%D0%BD&imas=%D0%94%D0%B5%D0%BD%D0%B8%D1%81&otchs=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,todo
