playlist,playlist_id,video_count,source
2023 (Spring Zograf),PLzvY3iy6xyGQILU6W3FX7ky3wV7CGg3J1,68,manual
2024 (Spring Zograf),PLzvY3iy6xyGRRE2tFGMgYWNiJNKi7aFKV,56,manual
2025 (Spring Zograf),PLzvY3iy6xyGSrBD90NMJxP7oGUC7i0Fjn,36,manual
Secondary (Zograf misc),PLAZQ_q4LIEBMzSmrfXiGPQVLITKmxUMD8,12,manual
