source,target,edge_type,year,series,weight
person:PERS_003adcfe,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_003adcfe,event:E2010,person_event,2010,Zograf Readings,1
person:PERS_003adcfe,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_003adcfe,event:E2013,person_event,2013,Zograf Readings,1
person:PERS_003adcfe,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_003adcfe,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_003adcfe,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_003adcfe,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_003adcfe,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_003adcfe,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_003adcfe,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_003adcfe,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_00c3b0cc,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_01aafd44,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_01aafd44,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_01aafd44,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_04c4d444,event:ER2012,person_event,2012,Roerich Readings,1
person:PERS_05707a8e,event:E2004,person_event,2004,Zograf Readings,1
person:PERS_05d56645,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_05d56645,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_05d56645,event:E2023,person_event,2023,Zograf Readings,1
person:PERS_05d56645,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_05d56645,event:ER2017,person_event,2017,Roerich Readings,1
person:PERS_05d56645,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_05d56645,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_05d56645,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_05d56645,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_05d56645,event:ER2023,person_event,2023,Roerich Readings,1
person:PERS_0665f215,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_0665f215,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_0665f215,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_0665f215,event:ER2024,person_event,2024,Roerich Readings,1
person:PERS_0665f215,event:ER2025,person_event,2025,Roerich Readings,1
person:PERS_06ee047f,event:ER2012,person_event,2012,Roerich Readings,1
person:PERS_06ee047f,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_06ee047f,event:ER2022,person_event,2022,Roerich Readings,1
person:PERS_06ee047f,event:ER2024,person_event,2024,Roerich Readings,1
person:PERS_07adc1e6,event:E2023,person_event,2023,Zograf Readings,1
person:PERS_088c4df7,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_088c4df7,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_088c4df7,event:ER2018,person_event,2018,Roerich Readings,1
