renou_matched_talks,renou_registers,renou_states,scholar,scholar_id,scholar_url,talk_count
23,bhasya; kavya,III; IV,Tsvetkova Svetlana Olegovna,PERS_c52dfaa0,s/sofia-tsvetkova.html,27
21,bauddha; bhasya; katha; kavya; sutra,IV; V,Alexandrova Natalia Vladimirovna,PERS_f074f69f,s/natalia-alexandrova.html,27
20,bhasya; epic; kavya; natya,III; IV,Dubyansky Alexander Mikhailovich,PERS_1fa7cc0c,s/alexander-dubyansky.html,21
20,atharva; bhasya; brahmana; kavya; tantra; vyakarana,I; II; III; IV; V,Tavastsherna Sergey Sergeevich,PERS_11da326d,s/sergey-tavastsherna.html,28
19,bhasya; brahmana; smrti; sutra; vyakarana,I; II; III; IV,Korneeva Natalia Afanasyevna,PERS_40862f5e,s/natalia-korneeva.html,29
18,epic; kavya; purana; tantra,III; IV,Ignatyev Andrey Alexandrovich,PERS_3e105f43,s/ignatev-andrei.html,18
16,bauddha; bhasya; brahmana; kavya; vyakarana,I; II; IV; V,Ostrovskaya Elena Petrovna,PERS_c48611e0,s/ostrovskaya-elena.html,16
15,bhasya; epic; katha; kavya; natya,III; IV,Alikhanova Yulia Markovna,PERS_61202bf3,s/yulia-alikhanova.html,15
15,purana,III,Tyulina Elena Vladimirovna,PERS_6578b52d,s/tyulina-elena.html,16
14,atharva; bhasya; karika; kavya; natya; rgveda,I; IV,Lidova Natalia Rostislavovna,PERS_e1dd6b3e,s/natalia-lidova.html,16
14,bauddha; bhasya,I; V,Lysenko Victoria Georgievna,PERS_12125da9,s/victoria-lysenko.html,25
14,bhasya; epic; rgveda,I,Vytis Vidunas,PERS_88d163c1,s/vidunas-vitis.html,15
13,bhasya; brahmana; kavya; smrti; sutra; vyakarana,I; II; III; IV,Pskhu Ruzana Vladimirovna,PERS_003adcfe,s/pskhu-ruzana.html,19
13,bauddha; epic; jaina; katha; kavya; rgveda; smrti,I; III; IV; V,Vyrshchikov Evgeny Gennadievich,PERS_9374fd12,s/vyrshchikov-evgenii.html,16
12,bauddha; kavya; tantra; upanisad,I; II; III; IV; V,Areg Mekhakyan,PERS_f2fef030,s/areg-mekhakyan.html,20
12,bhasya; tantra; upanisad,I; III,Pakhomov Sergey Vladimirovich,PERS_260a598a,s/pakhomov-sergei.html,16
11,bauddha; epic; katha; kavya; purana; smrti; sutra,I; III; IV; V,Vasilkov Yaroslav Vladimirovich,PERS_829c1de5,s/vasilkov-yaroslav.html,20
11,bauddha; bhasya; epic; epig; purana,I; III; V,Vertogradova Victoria Viktorovna,PERS_5228da95,s/victoria-vertogradova.html,17
11,bhasya; epic; katha; kavya; natya; purana,III; IV,Yuditskaya Ekaterina Alekseevna,PERS_8e117242,s/ekaterina-yuditskaya.html,12
11,bauddha; bhasya; katha; kavya; smrti; sutra,IV; V,Zhutaev Dar Igorevich,PERS_92868e4f,s/dmitry-zhutaev.html,15
10,bhasya; kavya; natya,IV,Brosalina Elena Kirillovna,PERS_dd7de77e,s/brosalina-elena.html,11
10,bauddha; epic; katha; kavya,III; IV; V,Guriya Anastasia Georgievna,PERS_36dabb79,s/anastasia-guriya.html,10
9,epic; katha; kavya,III; IV,Chelnokova Anna Vitalyevna,PERS_91b473b1,s/chelnokova-anna.html,10
9,bauddha; kavya; sutra,IV; V,Komissarov Dmitry Alekseevich,PERS_93e2effb,s/dmitry-komissarov.html,10
9,bauddha; katha; kavya,IV; V,Rusanov Maxim Albertovich,PERS_23215083,s/rusanov-maksim.html,10
9,bhasya; katha; kavya; natya; purana,IV,Ryzhakova Svetlana Igorevna,PERS_d98da899,s/svetlana-ryzhakova.html,27
8,bauddha; bhasya; tantra,I; III; V,Burmistrov Sergey Leonidovich,PERS_a0264ac5,s/burmistrov-sergei.html,11
8,bhasya; kavya,IV,Gordiychuk Nikolay Valentinovich,PERS_3b196639,s/nikolai-gordiichuk.html,10
8,bauddha; epic; kavya,III; IV; V,Kotin Igor Yurievich,PERS_f19cd8a1,s/kotin-igor.html,12
8,bauddha; bhasya; smrti,I; III; V,Lobanov Sergey Vladimirovich,PERS_0c451d76,s/lobanov-sergei.html,10
8,bauddha; bhasya; katha,IV; V,Lozhkina Anastasia Vitalyevna,PERS_ebb6d156,s/anastasia-lozhkina.html,9
8,bhasya; epic; katha; kavya,I; III; IV,Maxim Demchenko,PERS_7542d270,s/demchenko-maksim.html,11
8,bauddha,V,Rybakova Anna Gennadyevna,PERS_287fe378,s/rybakova-anna.html,10
8,bhasya; rgveda; sutra; vyakarana,I; II,Voloshina Oksana Anatolyevna,PERS_5d34c947,s/voloshina-oksana.html,9
7,bhasya; brahmana; epic; kavya; upanisad,I; IV,Desnitskaya Evgenia Alekseevna,PERS_56508328,s/desnitskaya-evgeniya.html,16
7,epic; epig,III; IV,Lelyukhin Dmitry Nikolaevich,PERS_9ad66151,s/lelyukhin-dmitrii.html,11
7,bauddha; bhasya; sutra; tantra; vyakarana,II; III; IV; V,Paribok Andrey Vsevolodovich,PERS_1a097e52,s/paribok-andrei.html,17
6,bauddha; bhasya; epic; katha; kavya,III; IV; V,Albedil Margarita Fedorovna,PERS_9a855a7b,s/albedil-margarita.html,19
6,bhasya; katha; kavya,IV,Donchenko Sergey Sergeevich,PERS_8df3730a,s/donchenko-sergei.html,8
6,bauddha; bhasya; kavya,I; IV; V,Kitinov Baatr Uchaevich,PERS_5ed752d9,s/kitinov-baatr.html,10
6,atharva; bhasya; kavya; rgveda,I; IV,Kulikov Leonid Igorevich,PERS_9f398436,s/leonid-kulikov.html,8
6,bauddha; sutra,V,Lepekhova Elena Sergeyevna,PERS_d2559ba1,s/lepekhova-elena.html,8
6,bhasya; epic; kavya,III; IV,Neveleva Svetlana Leonidovna,PERS_e5a5ac24,s/neveleva-svetlana.html,6
6,bauddha; brahmana; karika; tantra,I; III; V,Ofertas Stanislav Cheslavovich,PERS_2fd442aa,s/ofertas-stanislav.html,14
6,epic; kavya,IV,Oranskaya Tatyana Iosifovna,PERS_f8ab5755,s/oranskaya-tatyana.html,7
6,epic; katha; kavya,III; IV,Sabirova Rimma Nailevna,PERS_db046be0,s/sabirova-rimma.html,7
5,bhasya; sutra; tantra,I; II; III,Erchenkov Oleg Nikolaevich,PERS_8108c314,s/erchenkov-oleg.html,6
5,kavya; purana,III; IV,Kokova Yulia Georgievna,PERS_ba81468a,s/kokova-yuliya.html,8
5,katha; kavya,IV; V,Maxim Fomin,PERS_3c7d41ac,s/fomin-maksim.html,6
5,katha; natya,,Stolyarova Ekaterina Vladimirovna,PERS_5e2a5a5c,s/stolyarova-ekaterina.html,7
5,bauddha; bhasya; katha; kavya,IV; V,Strelkova Guzel Vladimirovna,PERS_f940c5b3,s/strelkova-gyuzel.html,5
5,bauddha; bhasya,V,Titlin Lev Igorevich,PERS_0e0a154e,s/lev-titlin.html,7
5,bauddha; jaina,V,Vorobyeve Daria Nikolaevna,PERS_41d6aa73,s/daria-vorobyeva.html,14
4,bauddha; tantra,III; V,Dylykova Vilena Sandzhievna,PERS_b6d1bf05,s/dylykova-vilena.html,4
4,bauddha,I; V,Ermakova Tatyana Viktorovna,PERS_fb25c80f,s/ermakova-tatyana.html,15
4,bhasya; kavya,III; IV,Eva Lekareva,PERS_9e9c9566,s/lekareva-eva.html,4
