person_id,display_name,n_online_talks,years
PERS_9f398436,Куликов Леонид Игоревич,3,2023;2025;2026
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,3,2023;2024;2025
PERS_72506535,Крылова Анастасия Сергеевна,2,2020;2025
