keyword,presentations,zograf,roerich,examples
индия,127,80,47,Индийское паломничество в сравнительном аспекте | По следам Петербуржца в Индии: путешествие князя Салтыкова | Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Сон Урмилы в современной индийской прозе
источник,24,10,14,Паришишты как исторический источник: проблемы датировки и классификации поздневедийской ритуальной литературы | Чанпинская битва 260 г. до н.э.: когда встречаются источники и археология | Этнорелигиозная картина уйгуров по китайским источникам XIV-XIX вв | Типология индийских аскетов по санскритским источникам
тамильский,24,10,14,О семантических переходах с участием терминов родства в старотамильском языке | Список тамильских каст у Бартоломеуса Цигенбальга: книжная традиция vs историческая реальность | Философия и практики самоповреждающего поведения в тамильском бхакти (доклад онлайн) | Любовные и религиозные мотивы в средневековой тамильской поэме «Тирукковейар» Маниккавасахара
современный,20,15,5,«Шри Рамананда-чаритам» Рамбхадрачарьи как образец современной санскритской махакавьи | Сон Урмилы в современной индийской прозе | Према Рамаяна и Шри Ситарама-чаритра-дарпана как примеры Рамаян XX века в контексте современной литературы на бходжпури и майтхили | Индийские шастры с точки зрения современной методологии познания
сюжет,20,13,7,"Предание в тексте и предание в камне: сюжет просветления Будды на рельефе Большой Ступы в Санчи | Начальный сюжет в житийной литературе раннего буддизма, его вариативность и смысловое наполнение | Бодхисаттва — стрелок из лука. Буддийский сюжет и его аналоги | Похищение и возвращение жён в древнеиндийском эпосе и параллели в древнегреческих сюжетах"
контекст,20,12,8,"Традиция толкования упанишад: контекст, философское значение и интерпретация ключевой фразы «tat tvam asi» («Ты есть то») | Према Рамаяна и Шри Ситарама-чаритра-дарпана как примеры Рамаян XX века в контексте современной литературы на бходжпури и майтхили | Социально-политический контекст романов Даймонд Шамшера Рана | О понятиях «канон» и «классика» в контексте древнеиндийской литературы"
новый,20,14,6,К истории поступления индийских памятников в Эрмитаж: новые открытия | Возвращаясь к третьей книге Махабхараты: новый взгляд | Новые древнеиндийские праформы на материале этимологий лексики языка куллуи | Новый поворот традиции шраута: Сагничит Трисахасра Атиратра Сомаяга 2024 в Западной Бенгалии
термин,20,13,7,О семантических переходах с участием терминов родства в старотамильском языке | К вопросу о переводе буддийского термина бодхи (菩提) на китайский язык | Трактовка панинийского термина savarṇa комментаторами парибхаш | Возможности понимания и написания термина «санскрит»
ранний,19,11,8,"Начальный сюжет в житийной литературе раннего буддизма, его вариативность и смысловое наполнение | «Наука поэзии» (Кавьяшастра) в трудах ранних аланкариков | Исследования древнеиндийских текстов как ключевое направление в ранней японской буддологии | Ранние священные тексты на соранг-сомпенг как ключ к истории создания культа «Матар Баном» у племени сора (южные мунда, Орисса)"
пали,19,3,16,Яджня Ригведы и «другая яджня» палийского канона | Metta–Karaṇīya – Любовь как этический императив в раннебуддийской сотериологии на материале Метта сутты и Тевиджджа сутты Палийского канона | Анаттавада «палийского Будды» в её философских и сотериологических координатах | Палийская и санскритские версии сюжетов о самопожертвовании бодхисатвы-зайца
ритуал,18,7,11,Ведийский ритуал Праваргья (pravargya): текстовая традиция и ритуальная практика | Ритуал приема почетного гостя при жертвоприношениях сомы | Композиция «Апастамба-шраутасутры»: базовые ритуалы (prakṛti) и их модификации (vikṛti) | Ведийский ритуал Ваджапея: древняя традиция и современная практика
религия,17,9,8,"Интерпретация идей Упанишад в философском наследии Р. Тагора: религиозная онтология | Тело агхори как «живой текст»: визуальность и перформанс в производстве религиозного авторитета | Культ корзины у гондов, джайнская икона аягапатта и буддийский алтарь: еще раз о смене религиозной парадигмы в Древней Индии | Культ корзины в Древней Индии и смена религиозной парадигмы"
концепция,17,11,6,"Арьядэва и Чандракирти о концепции anātma | Отражение концепции ""нисходящего времени"" (descending time) в Катха Упанишаде | Представление о годе в концепции времени пуран | Что мы пьём? (анализ питья с позиций тибетской мадхьямаки и «многомировой» концепции Эверетта-Менского)"
канон,17,6,11,О понятиях «канон» и «классика» в контексте древнеиндийской литературы | Яджня Ригведы и «другая яджня» палийского канона | Metta–Karaṇīya – Любовь как этический императив в раннебуддийской сотериологии на материале Метта сутты и Тевиджджа сутты Палийского канона | Роль «Тируттондар тирувандади» Намби Андар Намби в формировании шиваитского канона
миф,16,14,2,"Миф о Потопе и тыкве у племен западной Индии | Яйцо, курица и Тримурти: миф о Шакти в фольклоре мадига | Фольклор европейских рома (цыган) и мифы индийских племен | «К истолкованию мифа о Махишамардани» в научном наследии М.И. Тубянского"
традиционный,16,11,5,"Проблемы изучения традиционного индийского текста «Абхисамая-аланкара» (на тибетском языке) | Из истории фиксации традиционного сказителя хобуксарких ойратов Аримпиля (1923–1994) | Традиционные индийские классификации: образцовые, удобные, проблематичные | Интерпретация датировки появления буддизма в Японии в традиционных источниках и храмовых хрониках энги"
культ,16,5,11,"К проблеме происхождения варны кшатриев: культ воинской элиты в индоарийской традиции (по данным археологии и петроглифики) | Культ корзины у гондов, джайнская икона аягапатта и буддийский алтарь: еще раз о смене религиозной парадигмы в Древней Индии | Культ корзины в Древней Индии и смена религиозной парадигмы | Некоторые особенности культа Белого старца в Сиккиме. (доклад онлайн)"
трактат,15,5,10,"Теория познания в мадхьямаке-сватантрике (по трактату Бхававивеки «Мадхьямака-хридая») | Идеи йогачары в трактате Асанги «Абхидхармасамуччая» (первая глава) | Планиметрические модели тела человека в санскритских трактатах по искусству и в стенописи Аджанты | Трактат Марко Паллиса, предостерегающий Тибет о последствиях Кали-юги (об атрибутировании и содержании тибетского ксилографа из Архива музея Рерихов (Филиал Государственного музея Востока))"
представление,15,8,7,"«Они из секты Пифагора»: представления об индуизме трех итальянских купцов второй половины XVI в. | Представления пуран о священном тексте как культовом предмете | Поэтическое представление о духовном и мирском благе в гимнах наянаров (сборник ""Деварам"") | Представление о годе в концепции времени пуран"
бенгальский,15,15,0,Анализ переводов М. Зощенко на хинди и на бенгали с помощью метрик readability | Неприzнанный zнак: вопрос о модернизации бенгальского алфавита в современном медиапространстве | Специфика бенгальских анекдотов | Морализаторство как феномен мысли и культуры Бенгальского Возрождения
пураны,15,1,14,Представления пуран о священном тексте как культовом предмете | Обряды «жизненного цикла» скульптуры по материалам пуран | Представление о годе в концепции времени пуран | Особенности представлений о творении вселенной и ее истории в пуранах
китайский,15,4,11,"Этнорелигиозная картина уйгуров по китайским источникам XIV-XIX вв | К вопросу о переводе буддийского термина бодхи (菩提) на китайский язык | Этимология и семантика цветообозначения «красный» в китайской культуре | Происхождение китайского иероглифа 佛 «фо» (Будда, буддизм)"
век,14,11,3,Према Рамаяна и Шри Ситарама-чаритра-дарпана как примеры Рамаян XX века в контексте современной литературы на бходжпури и майтхили | Феномен в jalacārin в архитектуре храмов Карнатаки древних и средних веков | «Жизнь Будды» Ашвагхоши и Серебряный век русской культуры | Фольклорные элементы в сказании о Ратне (XVII век)
учение,14,12,2,Учение санкхьи в «Брихадараньяка-упанишаде» | «Наишкармья-сиддхи» (I. 52) Сурешвары как структура для реконструкции учения Шанкары об освобождении | Телеологический аргумент в пользу существования Бога в учении Свами Вивекананды | Учение о цвете Ксенократа Сикионского и теория цвето-культурной компетенции чхави Древней Индии
махабхарат,14,11,3,Возвращаясь к третьей книге Махабхараты: новый взгляд | Гадание о суженом по зеркалу в «Махабхарате»: индоиранский и индоевропейский фон | Принципы построения верениц древнеиндийских имён в «Вишнусахасранаме» («Махабхарата» XII.135) | «Махабхарата» и мотив «заточенных в пещере»
индуизм,13,11,2,"«Они из секты Пифагора»: представления об индуизме трех итальянских купцов второй половины XVI в. | ""Башни с нишами"" в индуизме. Об одном типе храмовых шикхар в архитектуре Чалукьев | Златоликие образы Дипанкары Будды и традиция проведения фестиваля Самьяк маха дана в Патане. Шишова-Маретина Ксения Александровна (Санкт-Петербург). Архетип опасной женственности в индуизме | О роли змея (nāga) в вайшнавском культе раннего периода индуизма"
хинди,13,13,0,Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Перевод в практике преподавания хинди в средней школе | Пословицы и поговорки Индии и России как аспект межкультурной коммуникации (проектная деятельность на уроках языка хинди) | Анализ переводов М. Зощенко на хинди и на бенгали с помощью метрик readability
практика,13,9,4,"Перевод в практике преподавания хинди в средней школе | Структура ниданы из «Панчавимшатика-праджняпарамиты» в аспекте ритуальной практики | Ведийский ритуал Праваргья (pravargya): текстовая традиция и ритуальная практика | Огонь, вода и память: погребальные практики сикхов в мультикультурной среде"
рамаяна,13,7,6,"Сита и Агни в «Рамаяне» Вальмики | Према Рамаяна и Шри Ситарама-чаритра-дарпана как примеры Рамаян XX века в контексте современной литературы на бходжпури и майтхили | Сита и Агни в «Рамаяне» Вальмики | «Брахма-стути» из «Бхушунди Рамаяны»: текстология, смыслы, параллели"
классификация,13,8,5,"Паришишты как исторический источник: проблемы датировки и классификации поздневедийской ритуальной литературы | Индийские классификации: принципы различения поэтических украшений (аланкар) | Традиционные индийские классификации: образцовые, удобные, проблематичные | Этимологическая классификация лексики в индийской и европейской грамматической традиции на примере языка куллуи"
коллекция,13,4,9,"Об одном диафильме В. Чатопадаева из коллекции МАЭ РАН | Некоторые тхангка из коллекции Ю.Н. Рериха (Новые исследования) | О письмах Ю.Н. Рериха из коллекции Д. Тарчина (Колумбийский университет, Нью-Йорк, США) | Образы бодхисаттвы Авалокитешвары в коллекции Кабинета Рериха: Авалокитешвара – податель прозрения"
рерих,13,0,13,"Вклад Ю.Н. Рериха в историю российских экспедиций в Центральную Азию. К 100-летию начала Центрально-Азиатской экспедиции Н.К. Рериха | Трактат Марко Паллиса, предостерегающий Тибет о последствиях Кали-юги (об атрибутировании и содержании тибетского ксилографа из Архива музея Рерихов (Филиал Государственного музея Востока)) | Памятные даты – стимул к новым поискам: 150 лет со дня рождения Павла Риттера и 120 лет со дня рождения Юрия Рериха. (доклад онлайн) | Образы бодхисаттвы Авалокитешвары в коллекции Кабинета Рериха: Авалокитешвара – податель прозрения"
два,13,9,4,«Тень» Ситы и «призрак» Елены: две истории о похищенных жёнах | Дворец небесный и дворец земной: две схожие главы «Лалитавистары» и их функциональная роль в общей композиции текста | О двух родственных джатакаставах в «Лалитавистаре» и «Раштрапалапариприччха-сутре» | Две формы атомизма в буддизме
драма,13,6,7,Недосказанность/прерванность речи в классической санскритской драме | Некоторые структурные особенности пролога классической санскритской драмы» | Предварительные замечания к проблеме речевого сбоя в древнеиндийской теории драмы | Феномен речевого сбоя как средство художественной выразительности в структуре классической санскритской драмы
собрание,13,5,8,"Некоторые тангка из собрания Ю.Н. Рериха. Новые исследования | Две тханки из собрания И.П. Минаева (МАЭ РАН) и традиция странствующих рассказчиков (лама манипа) в Гималайском регионе | Индийские нумерационные системы. По материалам трактата Махавирачарьи «Собрание основных положений науки о вычислениях» (сер. IX в.) | Поталака – местопребывание Авалокитешвары и один из его образов в тибетской традиции. (Танка из собрания Кабинета Ю.Н. Рериха, ИВ РАН, Москва)"
этимология,12,5,7,"Kumāra: этимология и мифология | Лексика языка куллуи: этимологии 2026 года | Новые древнеиндийские праформы на материале этимологий лексики языка куллуи | Ведийский гапакс batá- и частица bata / vata: семантика, контекст, этимология"
абхинавагупта,12,6,6,"Вклад Абхинавагупты в развитие шиваитской доктрины философского монизма в отличной от адвайта- веданты парадигме | Монистический теизм (адвайта-ишваравада) Абхинавагупты в сопоставлении с ишваравадой адвайты Шанкары на материале их комментариев к «Бхагавадгите». | О предельном предмете в «Парамартхасаре» Абхинавагупты | Зеркало, конец иллюзии. Или как удовлетворить тайно влюбленную, касающуюся кувшинами грудей отражения возлюбленного. Учение об отражении в 3-й главе «Тантра-алоки» Абхинавагупты"
ригведа,12,10,2,"К интерпретации Ригведы: śiśnadevāḥ | Яджня Ригведы и «другая яджня» палийского канона | Фоносемантическая структура ведийского текста (на примере гимна Ригведы I.7) | К анализу стиха Ригведа 1.120.11, или Предварительные заметки о ведийском автомобиле"
поэма,12,8,4,Восхождение Урмилы в поэме Майтхилишарана Гупты «Сакет» | Любовные и религиозные мотивы в средневековой тамильской поэме «Тирукковейар» Маниккавасахара | Восхваление табака в поэме «Пухейилей видутуду» тамильского поэта Сини Саккарей Пулавара | История Капилавасту в поэме Ашвагхоши «Саундарананда»
изображение,12,3,9,К идентификации тантрических изображений Ямантаки в монастыре Юнъань-сы 永安寺 провинции Шаньси 山西省 | Способы изображения животных в литературной санскритской джатаке | Фронтальное и трёхчетвертное изображение лица в западно-индийской миниатюре XII–XV вв | Первые известные изображения раг. Тексты и контекст
теория,11,6,5,Теория познания в мадхьямаке-сватантрике (по трактату Бхававивеки «Мадхьямака-хридая») | О теории просодии в «Натьяшастре» | Учение о цвете Ксенократа Сикионского и теория цвето-культурной компетенции чхави Древней Индии | О «новых» теориях действия в грамматических трудах Нагеши Бхатты
эпический,11,6,5,Эпическая санкхья в беседе царя Джанаки и отшельницы Сулабхи (МБХ 12.308) | Выкуп невесты (śulka) в Древней Индии: шастрическая и эпическая традиции | От эпического предания до буддийского сказания и обратно: история Шьямы | Опыт передачи эпической шлоки в русской переводческой традиции
мотив,11,6,5,"Средневековая фольклорная формула и литературное клише: образ, мотив | О не-волшебной помощнице в сказках парья: вариант фольклорного мотива | Мотив царской процессии в жизнеописаниях Будды | Эпитет, образ, мотив в средневековой поэзии бхакти"
ритуальный,11,7,4,Паришишты как исторический источник: проблемы датировки и классификации поздневедийской ритуальной литературы | Структура ниданы из «Панчавимшатика-праджняпарамиты» в аспекте ритуальной практики | Ведийский ритуал Праваргья (pravargya): текстовая традиция и ритуальная практика | Роль представителя династии Тхакури (Тхакуджуджу) в ритуальной передаче власти в Непале
книга,11,10,1,Уроки Герхарда Оберхаммера. По следам перевода книги «Структуры йоговской медитации» | Возвращаясь к третьей книге Махабхараты: новый взгляд | Как лучше представить западному читателю историю индийской философии: размышление по поводу книги В. Эльтшингера и И. Ратье «Что такое индийская философия?» | Божества и образы триграмм китайской «Книги Перемен» на свитке из коллекции Рерихов в Государственном Музее Востока
первый,11,5,6,Идеи йогачары в трактате Асанги «Абхидхармасамуччая» (первая глава) | «Третий поворот колеса дхармы» и его первые брахманистские оппоненты | Несколько замечаний о введении и первой части «Тирумантирама» | Начало гирлянды. Первые известные серии миниатюр рагамала
мир,11,5,6,Окна в иной мир: изобразительные тексты и линия жизни индийской художницы-парси Катаюн Саклат (1938- 2026): антропологический взгляд | Небесные боги в картине мира буддийской агиографии: признаки эволюции («Лалитавистара») | Интерпретация эвтаназии в буддийской картине мира | Ṛddhi и священные следы прошлого: чудо в картине мира буддиста-паломника
время,11,5,6,"Отражение концепции ""нисходящего времени"" (descending time) в Катха Упанишаде | Зачем в санскрите три прошедших времени? | Образ времени в поэзии Бхартрихари | Представление о годе в концепции времени пуран"
бог,11,7,4,Небесные боги в картине мира буддийской агиографии: признаки эволюции («Лалитавистара») | Телеологический аргумент в пользу существования Бога в учении Свами Вивекананды | Кангдзей: «Подношения гневным божеcтвам» | Боги «из разряда синих» в предании о дарении чаши в «Лалитавистаре»
культурный,11,6,5,"Исторические идеи просветительства Ахамади Дониша в культурном коде Таджикистана | Многообразие культурных традиций и влияний в средневековой Индии: от династий до социальных изменений | Скифский язык, топонимы Скифии и Центральной Азии, индоевропейские языки: культурные заимствования из Индии и культур древнего Понта Эвксинского | К вопросу о могольском изобразительном «мультилингвизме» и культурной экстравертности"
поэтический,11,5,6,"Поэтическое представление о духовном и мирском благе в гимнах наянаров (сборник ""Деварам"") | Индийские классификации: принципы различения поэтических украшений (аланкар) | Тема леса в поэтических антологиях Бхартрихари и Видьякары | Визуальная поэзия или поэтический рисунок Рабиндраната Тагора: традиция каллиграфии и фигуры-лампы"
параллель,11,4,7,"Похищение и возвращение жён в древнеиндийском эпосе и параллели в древнегреческих сюжетах | «Брахма-стути» из «Бхушунди Рамаяны»: текстология, смыслы, параллели | Шива Саптасварамурти из Пареля. Иконография, интерпретации, параллели | Тибето-китайские параллели в наименованиях и титулах регентов на примере текста декрета Далай-ламы V о назначении Сангье Гьяцо дэсридом (1679 г.)"
