keyword,presentations,zograf,roerich,examples
индия,127,80,47,Индийское паломничество в сравнительном аспекте | По следам Петербуржца в Индии: путешествие князя Салтыкова | Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Сон Урмилы в современной индийской прозе
архитектура,5,2,3,"""Башни с нишами"" в индуизме. Об одном типе храмовых шикхар в архитектуре Чалукьев | Эволюция архитектуры джайнских пещерных храмов Махараштры в контексте скального зодчества Индии | Феномен в jalacārin в архитектуре храмов Карнатаки древних и средних веков | Морфология деревянной храмовой архитектуры Химачал-Прадеша (Индия)"
датировка,5,2,3,Паришишты как исторический источник: проблемы датировки и классификации поздневедийской ритуальной литературы | Проблемы датировки «Нандикешваракашики» | Астрологические манускрипты на танкри из коллекции Кхубрама Кхушдиля (Химачал-Прадеш): особенности текстов и датировка | Интерпретация датировки появления буддизма в Японии в традиционных источниках и храмовых хрониках энги
свет,5,3,2,Индийская философия в свете компаративного подхода Поля Массон-Урселя | Несколько слов о «я» и Адвайте в свете узнавания себя как предельного обладающего в толкованиях Абхинавагупты на «Ишварапратьябхиджня-карике» Утпаладевы | Проблема квалия в свете буддийской философии | Европейская феноменология и буддизм в свете спора представителей кашмирской школы Пратьябхиджня с буддистами
развитие,5,3,2,Вклад Абхинавагупты в развитие шиваитской доктрины философского монизма в отличной от адвайта- веданты парадигме | Образ Деви с младенцем Шивой в контексте развития иконографии Богини-Матери в скульптуре Бенгалии | Вклад Ю.Н. Рериха в развитие тибетского языкознания | Моравская миссия в Ладакхе. «Тибетское» христианство и вклад моравских братьев в развитие языка ладакхи
доктрина,5,4,1,Вклад Абхинавагупты в развитие шиваитской доктрины философского монизма в отличной от адвайта- веданты парадигме | Сотериологическая доктрина Шри-вайшнавизма в трактате Пиллея Локачарьи «Мумукшупади» | Критика Шанкарой доктрины спхотавады | Теория преемственности Дхармы в доктрине «сангоку маппо» в японском буддизме
парадигма,5,2,3,"Вклад Абхинавагупты в развитие шиваитской доктрины философского монизма в отличной от адвайта- веданты парадигме | Культ корзины у гондов, джайнская икона аягапатта и буддийский алтарь: еще раз о смене религиозной парадигмы в Древней Индии | Культ корзины в Древней Индии и смена религиозной парадигмы | Смена парадигмы? Числовые «коды» в структуре индийских математических сочинений древности и средневековья"
освобождение,5,5,0,"Санньяса и Брахмалока: смерть, социальная или физическая, как опосредующий этап пути к освобождению в адвайта-веданте | «Наишкармья-сиддхи» (I. 52) Сурешвары как структура для реконструкции учения Шанкары об освобождении | Стадии пути к освобождению по «Найшкармья-сиддхи» (I.52) Сурешвары | Классификация видов духовного освобождения в индуистской тантре"
племя,5,5,0,"Адиваси. Загадочное племя тода | Миф о Потопе и тыкве у племен западной Индии | Фольклор европейских рома (цыган) и мифы индийских племен | Ранние священные тексты на соранг-сомпенг как ключ к истории создания культа «Матар Баном» у племени сора (южные мунда, Орисса)"
вода,5,4,1,"Огонь, вода и память: погребальные практики сикхов в мультикультурной среде | Метафора воды как сюжетообразующий прием романа Абрахама Вергезе «Завет воды» | 101 синоним воды в ведийском словаре «Нигханту» | Вода и водоемы в трактатах по вастувидье в пуранах"
маэ_ран,5,3,2,Об одном диафильме В. Чатопадаева из коллекции МАЭ РАН | Две тханки из собрания И.П. Минаева (МАЭ РАН) и традиция странствующих рассказчиков (лама манипа) в Гималайском регионе | Живопись и графика Гималайского региона в коллекции И.П.Минаева (МАЭ РАН): некоторые аспекты атрибуции и интерпретации | Живопись и графика из собрания И. П. Минаева (МАЭ РАН): опыт классификации
фольклор,5,5,0,"Яйцо, курица и Тримурти: миф о Шакти в фольклоре мадига | Фольклор европейских рома (цыган) и мифы индийских племен | Женские образы древнеиндийского эпоса и позднейшего фольклора на фоне норм дхармашастры | Поэзия Кабира и раджастханский фольклор"
йога,5,4,1,Проблемы реконструкции системы йоги Патанджали на основе переводов «корневого» текста «Йога-сутр» и толкования Бходжи («Rājamārtaṇḍa») | Квази-трансцендентальные разоблачение объектных областей индрий в буддийской йоге | Концепция Ишвары в классической йоге и в Кашмирском шиваизме | Проблема соотношения этики и знания в йоге и индуистской тантре
эпоха,5,1,4,Отношения между государством Корё и Тибетом в эпоху Юань (конец XIII – начало XIV вв.) | К реконструкции языковых контактов в области Шангшунг в дотибетскую эпоху | Вербальный панегирик индийского монаршего портрета эпохи Моголов | Идеал sajjana в литературе гуптской эпохи
царство,5,1,4,"Описание Центральной Азии в «Хождении в пять индийских царств» | Кушанская этимология, поздние бактро-скифские царства и интересные элементы индо-парфянской нумизматики | Индийское царство и индийские диковины в средневековых ирландских рукописях XV в. «Романа об Александре» | Сказание об Индейском царстве» как источник представлений об Индии в древней Руси"
картина,5,2,3,Небесные боги в картине мира буддийской агиографии: признаки эволюции («Лалитавистара») | Этнорелигиозная картина уйгуров по китайским источникам XIV-XIX вв | Интерпретация эвтаназии в буддийской картине мира | Ṛddhi и священные следы прошлого: чудо в картине мира буддиста-паломника
раннебуддийский,5,1,4,Metta–Karaṇīya – Любовь как этический императив в раннебуддийской сотериологии на материале Метта сутты и Тевиджджа сутты Палийского канона | Ученичество как сюжет раннебуддийской литературы | Механизмы интертекста в раннебуддийской текстовой традиции | «Археология» раннебуддийского доктринального текста на примере главы о буддхакшетрах («полях Будд») из Махавасту
скульптура,5,1,4,Образ Деви с младенцем Шивой в контексте развития иконографии Богини-Матери в скульптуре Бенгалии | Обряды «жизненного цикла» скульптуры по материалам пуран | Эволюция струнного музыкального инструмента вины на материале скульптуры пещерных храмов южной Индии (I–X вв.) | Дивьядхвани и девадундубхи – иконографические мотивы божественной музыки в джайнской скульптуре Эллоры
согласно,5,3,2,Роль языка в познании абсолютного согласно школе Гелук | Содержание первой главы Шрикалачакра-тантры согласно ее комментарию | Заметки о структуре расположения скульптурных изображений в храмовых комплексах согласно «Агни-пуране» | Samarasa и svasamvedya в абхишека-патале Хеваджра-тантры согласно Муктавалихеваджрапаньджике Ратнакарашанти
дискурс,5,2,3,"Метафорический дискурс «Бхаванакрамы» Камалашилы | «Во отдаленном краю границы пребывающий, исповедая веру манджушринову»: о буддийском дискурсе в калмыцкой политике императора Юнчжэна (1723–1735) | «Видимый» и «невидимый» мир в теоретико-культурном дискурсе Древней Индии | Концепты брахманистского философского дискурса и их связь с женским принципом народного индуизма"
могольский,5,0,5,Калмаки в литературе и искусстве могольской Индии | Образ Йусуфа в могольской живописи: к вопросу атрибуции | К вопросу о могольском изобразительном «мультилингвизме» и культурной экстравертности | Мотив dad-u dām в могольском монаршем портрете: к вопросу о генезисе и семантике
цикл,5,1,4,Обряды «жизненного цикла» скульптуры по материалам пуран | Поэтический цикл Кабилара о князе Пари | 12-летний животный цикл. К вопросу об истоках | К проблеме «тривадрумского цикла»
тантрический,5,2,3,К идентификации тантрических изображений Ямантаки в монастыре Юнъань-сы 永安寺 провинции Шаньси 山西省 | Рецепция тантрического текста в совеременной культуре: случай Аллена Гинзберга | Тантрическая традиция в искусстве индийского модернизма | Теоретические аспекты учения тантрической школы кула (согласно «Куларнава-тантре»)
антология,5,1,4,Тема леса в поэтических антологиях Бхартрихари и Видьякары | К выходу Антологии индо-ирландских текстов | Особенности художественной структуры тамильской антологии «Калиттохей» (на примере песни 92) | Система образов поэзии кавья на примере лирических стихов из антологии Видьякары «Субхашитаратнакоша»
элемент,5,2,3,"Кушанская этимология, поздние бактро-скифские царства и интересные элементы индо-парфянской нумизматики | Фольклорные элементы в сказании о Ратне (XVII век) | Вопрос о дардском элементе в дотибетском населении Ладакха и Балтистана как лингвистическая проблема | Элементы культурного синтеза в бенгальской поэзии XVII века"
живопись,5,1,4,Синкретизм буддизма и шаманизма Тувы в живописи Шоя Чурука | Образ Йусуфа в могольской живописи: к вопросу атрибуции | Живопись и графика Гималайского региона в коллекции И.П.Минаева (МАЭ РАН): некоторые аспекты атрибуции и интерпретации | Живопись и графика из собрания И. П. Минаева (МАЭ РАН): опыт классификации
письмо,5,2,3,"О письмах Ю.Н. Рериха из коллекции Д. Тарчина (Колумбийский университет, Нью-Йорк, США) | Тангутские ксилографы письмом ‘сиддхам’ из собрания ИВР РАН | Бог и человек в поэзии Тагора. От «Иша-упанишады» до «Писем о России» | Письмо в культуре от Бактрии до Индии по материалам многоязычных надписей 3 в. до н. э. – 5 в. н. э. (К проблеме социоскрипторики)"
япония,5,0,5,Угроза монгольских вторжений в Японию глазами Нитирэна | Интерпретация датировки появления буддизма в Японии в традиционных источниках и храмовых хрониках энги | Обращение к буддийским сутрам «неясного» происхождения при императорском дворе в Японии в VIII в | Будда Вайрочана и космология «Аватамсака- сутры» в Японии
типология,5,4,1,Типология индийских аскетов по санскритским источникам | Интерпретация канонической типологии архатов в буддийских экзегетических источниках | Тамильские родственники в общедравидийском контексте: семантика и типология | От Индии до Кара-тепе: к типологии древнеиндийского эпиграфического текста
несколько,5,1,4,Несколько замечаний о Брахмане и сущем | Несколько замечаний о введении и первой части «Тирумантирама» | Несколько слов о «я» и Адвайте в свете узнавания себя как предельного обладающего в толкованиях Абхинавагупты на «Ишварапратьябхиджня-карике» Утпаладевы | Несколько штрихов к «Сказанию о Нале»
способ,5,3,2,Словослияние в куллуи как способ словообразования | Способы изображения животных в литературной санскритской джатаке | Mārgī/deśī: о двух способах интерпретации индийского танца. В программе возможны изменения | Санскритское upa-śru-: «слышать» или «вслушиваться»? Об одном древнеиндийском способе гадания
японский,5,0,5,Исследования древнеиндийских текстов как ключевое направление в ранней японской буддологии | Образ Ганеши в японском буддизме | Образ Рахулы в японских ритуальных текстах косики | Теория преемственности Дхармы в доктрине «сангоку маппо» в японском буддизме
война,5,2,3,Буддизм и война: исторический обзор | Магические средства ведения войны на монголо-тибетском фронте | Война в контексте истории буддистов-ойратов | Литературный канон и инновации в поэме Джаянкондара «Парани о войне в Калинге»
музей,5,0,5,"Трактат Марко Паллиса, предостерегающий Тибет о последствиях Кали-юги (об атрибутировании и содержании тибетского ксилографа из Архива музея Рерихов (Филиал Государственного музея Востока)) | Божества и образы триграмм китайской «Книги Перемен» на свитке из коллекции Рерихов в Государственном Музее Востока | Намтар Будды Шакьямуни в тибетской и китайской (пекинской) традициях (танки из коллекций Одесского и Киевского музеев Украины) | (Киев). Композиционные особенности намтара «12 деяний Будды Шакьямуни» в тибетской традиции (тангки житийной серии музеев Украины)"
поэтика,5,2,3,Стилистика Амаравати и поэтика «Лалитавистары» | Элементы игровой поэтики в махаянском описании ступеней бодхисаттвы в текстах «Большой Праджняпарамиты» | Словесные фигуры и принцип «непрямого высказывания» (вакрокти) в средневековой поэтике | О некоторых принципах тамильской поэтики по антологии «Наджиней»
ивр_ран,5,5,0,Санскритский фрагмент «Артхавинишчая-сутры» из Сериндийского фонда ИВР РАН | Тангутские ксилографы письмом ‘сиддхам’ из собрания ИВР РАН | Буддийские рукописи в Индийском фонде ИВР РАН | Текст по культу Ваджрапани и восьми царей нагов в свитке XIII века Дх-178 из собрания ИВР РАН
предварительный,5,3,2,"Предварительные замечания к проблеме речевого сбоя в древнеиндийской теории драмы | К анализу стиха Ригведа 1.120.11, или Предварительные заметки о ведийском автомобиле | Неварский «повествовательный свиток» в собрании МАЭ РАН (коллекция И. П. Минаева). Предварительное сообщение | Новые открытия на Гонур-тепе. Предварительное сообщение"
вастувидья,5,0,5,Некоторые особенности текстов по вастувидье в пуранах и их интерпретация в современной массовой культуре | Вода и водоемы в трактатах по вастувидье в пуранах | Культ Нарасинхи в трактатах по вастувидье в пуранах | Культ Нарасинхи в трактатах по вастувидье в пуранах
знание,5,3,2,Антропоморфная образность «игры знания»: телесная метафора и метафора путешествия | Непосредственное восприятие как знание из слов по материалам «Веданта-парибхаши» Дхармараджи | Сакральная «геология» в системе знаний вастувидьи (науки о строительстве и зодчестве) в пуранах | Проблема соотношения этики и знания в йоге и индуистской тантре
стих,5,2,3,"К анализу стиха Ригведа 1.120.11, или Предварительные заметки о ведийском автомобиле | О стихах, приписываемых Бхартрихари | Переводы стихов на язык непали | Система образов поэзии кавья на примере лирических стихов из антологии Видьякары «Субхашитаратнакоша»"
передача,5,2,3,Опыт передачи эпической шлоки в русской переводческой традиции | Роль представителя династии Тхакури (Тхакуджуджу) в ритуальной передаче власти в Непале | Брахманы намбудири: некоторые особенности традиции передачи ведийских текстов | Несколько индийских слов в передаче античных авторов
корень,5,4,1,От демонической к человеческой сексуальности? Индо-иранский миф о первобытном инцесте Ями и Ямы и его индоевропейские корни | Семантика глагольного корня bhram и его дериватов на материале древнеиндийского эпоса и поэзии | Расширение и распространение: о некоторых особенностях употребления глагольного корня bṛh в «Ригведе» | Семантика глагольного корня muc- и проблематика духовного освобождения в ведийских упанишадах
танка,5,0,5,"Поталака – местопребывание Авалокитешвары и один из его образов в тибетской традиции. (Танка из собрания Кабинета Ю.Н. Рериха, ИВ РАН, Москва) | Изображение Канакавасты, архата из Кашмира: часть полиптиха или отдельная танка? (Танка из собрания Кабинета Ю.Н. Рериха, ИВ РАН, Москва) | Всадник Шамбалы (танка из собрания Мемориального кабинета Ю.Н. Рериха ИВ РАН) | Белый Старец. Танка из коллекции Кабинета Юрия Рериха (ИВ РАН, Москва)"
программа,5,4,1,"Богиня с гхантой и гхатом. Дурга (?) в иконографической программе буддийского храма Аурангабада | «Песни якшей», игры людей: о социальных, культурных и художественных особенностях якшаганы Карнатаки В программе возможны изменения и дополнения | «Бенгальский стиль» в индийском танце: традиционное, креативное, политическое измерения В программе возможны изменения и дополнения Приглашаются все желающие | Mārgī/deśī: о двух способах интерпретации индийского танца. В программе возможны изменения"
легенда,5,2,3,Плач матери Будды по мертвому сыну: об одном эпизоде из легенды о просветлении | Легенда о рыбаке (на ирландском языке) | Некоторые аспекты взаимопроникновения индуизма и буддизма в контексте непальских легенд и религиозной практики | Наги как персонажи непальских легенд
христианский,5,5,0,Христианская книга на индийских языках XVI — XVII вв.: ретроспективный библиографический указатель | Христианская книга Индийского субконтинента XVI—XIX вв | Первопечатная христианская книга в Индии (XVI—XVII вв.) | О первых христианских миссионерах в Индии
функция,5,4,1,Риторический вопрос и его функция в индийской средневековой поэзии бхакти | О роли и функции диалогических поэм буддийского канона | Bhavāi Гуджарата: о культурном смысле и социальных функциях традиционного театра | Хити/дхара — «неиссякаемый источник»: Иконография и функции (по материалам Непала)
проповедь,5,3,2,Чудеса и проповеди в лесу Урувильва. Первые последователи Будды по китайской версии биографии Будды (III в.) | Трансформации сюжетов о просветлении и первой проповеди Будды в свете ранних китайских переводов сутр (II—III вв.) | Проповедь Кабира: некоторые особенности языка и стиля | Песенная техника проповеди Миры Баи: подступы к исследованию
герой,5,3,2,Рождение героя или сакрального персонажа в индийской повествовательной традиции (к интерпретации композиции «Сон Майи») | Язык богини Кали. Я.В. Васильков. Эпические герои и боги (в «Махабхарате» и не только) | Ситуация ухода героя в классической тамильской поэзии | Индийские памятники героям в сравнительном освещении (К вопросу о материальном соответствии поэтической формуле «непреходящая слава»)
ордалия,5,3,2,Ордалия раскаленной монетой (taptamàşa): текст и реальность | Ордалия освященной водой (kosha) | Ордалия раскаленной монетой: шастрический текст и «свидетельства» испытаний | Ордалия весами: проблемы интерпретации результатов взвешивания
судьба,4,4,0,Александр Михайлович Мерварт: судьба ученого | Переписка О.Н. Бетлингка по поводу Петербургских словарей и судьба лексикографа | Индийские божества судьбы и их индоевропейские параллели | Человек и судьба (в пословицах хинди)
махакавие,4,2,2,«Шри Рамананда-чаритам» Рамбхадрачарьи как образец современной санскритской махакавьи | Сцены приема гостя в древней махакавье | Текст – персонаж в древней махакавье | Плач в составе древней махакавьи
сравнительный,4,3,1,"Индийское паломничество в сравнительном аспекте | Сравнительный анализ генезиса рефлексии в индийской и европейской философских традициях: визуальные и лингвистические детерминанты | Сравнительный анализ описаний буддийских монахинь в тибетской, китайской и японской агиографической литературе | Индийские памятники героям в сравнительном освещении (К вопросу о материальном соответствии поэтической формуле «непреходящая слава»)"
предание,4,3,1,Предание в тексте и предание в камне: сюжет просветления Будды на рельефе Большой Ступы в Санчи | От эпического предания до буддийского сказания и обратно: история Шьямы | Боги «из разряда синих» в предании о дарении чаши в «Лалитавистаре» | Тема времени в буддийских преданиях о Варанаси
рельеф,4,3,1,Предание в тексте и предание в камне: сюжет просветления Будды на рельефе Большой Ступы в Санчи | Конь без всадника и дерево джамбу: к интерпретации рельефа на восточных воротах Большой Ступы в Санчи | Интерпретация рельефа с изображением Дурги с музыкальными инструментами из буддийского пещерного храма Аурангабада | Изображение и текст: древнеиндийские рельефы и буддийские вербальные тексты
путешествие,4,1,3,По следам Петербуржца в Индии: путешествие князя Салтыкова | «Не одне грандиозныя прелести Гималаев»: итоги путешествия И. П. Минаева в Кумаон (1875) | Антропоморфная образность «игры знания»: телесная метафора и метафора путешествия | Путешествие «Тысячи и одной ночи» в Ирландию
орисса,4,3,1,"«Местный колорит» в литературной традиции Ориссы | Ранние священные тексты на соранг-сомпенг как ключ к истории создания культа «Матар Баном» у племени сора (южные мунда, Орисса) | О некоторых особенностях росписей осакотхи (штат Орисса) | Санскритизация перформанса: преобразования традиций Bhūta-kolam (Тулунаду) и Chhau (Орисса)"
мифология,4,4,0,"Kumāra: этимология и мифология | Метафизика, мифология, повседневная жизнь: гендерный ракурс южноиндийской традиции | Древние южноазиатско-африканские связи (по данным фольклора и мифологии) | Мифологии северных мунда как источник для реконструкции сюжета создания человека у населения евразийских степей в эпоху бронзы C"
труд,4,3,1,"Метод кодировки чисел в трудах индийского математика Арьябхаты | «Наука поэзии» (Кавьяшастра) в трудах ранних аланкариков | О «новых» теориях действия в грамматических трудах Нагеши Бхатты | Научная ценность труда И.П.Минаева «Буддизм.Исследования и материалы» (СПб.,1887)"
куллуи,4,2,2,Лексика языка куллуи: этимологии 2026 года | Новые древнеиндийские праформы на материале этимологий лексики языка куллуи | Словослияние в куллуи как способ словообразования | Этимологическая классификация лексики в индийской и европейской грамматической традиции на примере языка куллуи
шиваитский,4,2,2,Вклад Абхинавагупты в развитие шиваитской доктрины философского монизма в отличной от адвайта- веданты парадигме | Роль «Тируттондар тирувандади» Намби Андар Намби в формировании шиваитского канона | Место и роль Сундарара в структуре шиваитского канона «Панниру Тирумурей» | О «священной географии» в творчестве Тирунянасамбандара (шиваитский поэтический комплекс «Деварам»)
толкование,4,2,2,"Традиция толкования упанишад: контекст, философское значение и интерпретация ключевой фразы «tat tvam asi» («Ты есть то») | Проблемы реконструкции системы йоги Патанджали на основе переводов «корневого» текста «Йога-сутр» и толкования Бходжи («Rājamārtaṇḍa») | Несколько слов о «я» и Адвайте в свете узнавания себя как предельного обладающего в толкованиях Абхинавагупты на «Ишварапратьябхиджня-карике» Утпаладевы | Кто говорит? Толкование источника речи в некоторых индуистских тантрах"
открытие,4,3,1,К истории поступления индийских памятников в Эрмитаж: новые открытия | Прагматика перечней в эпиграфическом тексте (к открытию надписей брахми III–II вв. до н.э. в Центральной Индии) | «Открытие Индии» сквозь призму традиционного текста: опыт мыслителей Бенгальского Возрождения | Новые открытия на Гонур-тепе. Предварительное сообщение
изобразительный,4,2,2,"Окна в иной мир: изобразительные тексты и линия жизни индийской художницы-парси Катаюн Саклат (1938- 2026): антропологический взгляд | Волосы Будды: паломнический и житийный нарратив, изобразительная традиция | К вопросу о могольском изобразительном «мультилингвизме» и культурной экстравертности | Значение творчества Тирумулара для формирования изобразительного канона Шивы Натараджи в Чидамбараме"
взгляд,4,3,1,"Окна в иной мир: изобразительные тексты и линия жизни индийской художницы-парси Катаюн Саклат (1938- 2026): антропологический взгляд | Возвращаясь к третьей книге Махабхараты: новый взгляд | Журнал “Stepping stones” – гималайская культура, буддизм и философия перенниализма сквозь призму взглядов европейских исследователей | Дифференциация веддов (взгляд извне и изнутри)"
абхидхарма,4,4,0,Наука абхидхармы в буддийской ментальной традиции средневековой Индии | Место «Компендиума Абхидхармы» Асанги в философии буддизма махаяны | Терминология и грамматика в «Энциклопедии Абхидхармы» Васубандху | «Энциклопедия Абхидхармы» Васубандху как произведение санскритской литературы
третий,4,3,1,«Третий поворот колеса дхармы» и его первые брахманистские оппоненты | Возвращаясь к третьей книге Махабхараты: новый взгляд | Еще раз о буквальном переводе третьей версии «Калачакра-тантры» Буддийского канона | «Третье измерение» в непальской поэзии
поворот,4,1,3,«Третий поворот колеса дхармы» и его первые брахманистские оппоненты | Новый поворот традиции шраута: Сагничит Трисахасра Атиратра Сомаяга 2024 в Западной Бенгалии | Сюжет «обращения братьев Кашьяпов» в «Сутре о благом явлении царевича»: неожиданные повороты | «Культурологический поворот» в исследованиях Ю.Н. Рериха и Л.Н. Гумилёва
канонический,4,4,0,Формульное выражение yāvatī yānasya bhūmis в буддийских канонических текстах | Склонность к конфликтам в образе Махакашьяпы в буддийских канонических текстах | Интерпретация канонической типологии архатов в буддийских экзегетических источниках | «Тируттондар тирувандади» Намби Андара Намби (Роль редактора в формировании канонического списка бхактов-наянаров)
сказка,4,4,0,Пещера дивов в сказке на языке парья | О не-волшебной помощнице в сказках парья: вариант фольклорного мотива | Старая сказка на новый лад: Девдас в индийском кинематографе 21 века | Индийский эпос «Дхола-Мару» и «Сказка о царе Салтане» А.С.Пушкина
глагольный,4,3,1,Синтез глагольной словоформы в грамматике Панини | Семантика глагольного корня bhram и его дериватов на материале древнеиндийского эпоса и поэзии | Расширение и распространение: о некоторых особенностях употребления глагольного корня bṛh в «Ригведе» | Семантика глагольного корня muc- и проблематика духовного освобождения в ведийских упанишадах
художественный,4,2,2,"Образ вишаканья в художественной культуре древней и средневековой Индии | Феномен речевого сбоя как средство художественной выразительности в структуре классической санскритской драмы | Особенности художественной структуры тамильской антологии «Калиттохей» (на примере песни 92) | «Песни якшей», игры людей: о социальных, культурных и художественных особенностях якшаганы Карнатаки В программе возможны изменения и дополнения"
опровержение,4,2,2,Опровержение позиции вайшешики Дигнагой | Опровержение существования субъекта в полемике с вайшешиками по вопросу о существовании субъекта в «Пудгалавинишчае» Васубандху | Проблемы интерпретации концепции восьми опровержений в «Катхаватху» | Опровержение атомизма в трактате Васубандху Виджняптиматратасиддхи («Доказательство единственности сознания»)
строфа,4,2,2,Почему у монаха-дигамбара рог на голове? Попытка интерпретации одной строфы из философского диспута в прахасане «Латакамелака» | Как уложить пять формул в одну строфу? «Архивирующие» возможности санскрита в математических сочинениях средневековой Индии | Строфы о бодхичитте во второй главе Гухьясамаджа тантры | Завершающие строфы «Махабхараты»: лексика и семантика
