video_id,video_url,video_title,year,title_hint,speaker_hint,similarity,status,presentation_id_snapshot
xP0rwyZjkek,https://www.youtube.com/watch?v=xP0rwyZjkek,"XLIV Зографские чтения, 24.05.2023, Малютин Иван Иванович (Санкт-Петербург).",2013,О формульности надписей на санскрите,Д. Н. Лелюхин,0.357,needs_review,PRES_7327d449
TewlV-eXvTY,https://www.youtube.com/watch?v=TewlV-eXvTY,Корнеева Н.А. (Москва) Мадхупарка при жертвоприношениях сомы в ритуале Атитхьешти (ātithyeṣṭi).,2018,Два новых сборника «индийских текстов» Далджита Награ,Котин Игорь Юрьевич,0.362,needs_review,PRES_0b9004e3
5kfhxcnZuOw,https://www.youtube.com/watch?v=5kfhxcnZuOw,"Краснодембская Н.Г., Соболева Е.С. (СПб) Российская экспедиция в Ассам 1911-1912 гг.",2022,"""Нисхождение",Соболева Дарья Валерьевна,0.365,needs_review,PRES_655f2275
kzpBt6X4VnU,https://www.youtube.com/watch?v=kzpBt6X4VnU,Толчельников И.Е. Стадии пути к освобождению по «Найшкармья-сиддхи» (I.52) Сурешвары.,2007,Язык как источник аргументации (на примере рассуждений о самбандхе),Десницкая Евгения Алексеевна,0.375,needs_review,PRES_c0349b54
th08QMEzarQ,https://www.youtube.com/watch?v=th08QMEzarQ,Челнокова А.В. (СПб) «Город победы» Рушди — ответ «Рамаяне» самого скандального автора 20 столетия.,2019,"Отношение к женщине в эпосе (на примере «Рамаяны» Вальмики, «Адбхута Рамаяны» и «Адхьятма Рамаяны»)",Сабирова Римма Наилевна,0.38,needs_review,PRES_10224ae3
PWhKoPbPORg,https://www.youtube.com/watch?v=PWhKoPbPORg,"Рыжакова С.И. (Москва) Бхеру-джи и мать Кали в деревенском Раджастхане: мифы, культ, фольклор.",2020,Так называемый парадокс беллетристики и подсказки от компаративной онтологии,Шохин Владимир Кириллович,0.38,needs_review,PRES_8fe92310
jkT7qLSP_mU,https://www.youtube.com/watch?v=jkT7qLSP_mU,Гасунс М.Ю. Переписка О.Н. Бетлингка по поводу Петербургских словарей и судьба лексикографа.,2018,Тамильская пьеса о Карне,Дубянский Александр Михайлович,0.389,needs_review,PRES_01433983
jN8_si8kt4Q,https://www.youtube.com/watch?v=jN8_si8kt4Q,Десницкая Е. А. (Санкт-Петербург) Был ли Бхартрихари сторонником шабда-адвайты?,2007,Некоторые проблемы становления вишишта-адвайты,Псху Рузана Владимировна,0.4,needs_review,PRES_30a35b89
SRMVcuGpuM8,https://www.youtube.com/watch?v=SRMVcuGpuM8,Альбедиль М.Ф. (СПб) Непальский монастырь Копан: встреча Востока и Запада,2014,Концепция «марьяда» в непальских надписях,Д. Н. Лелюхин,0.4,needs_review,PRES_5f86f9be
Ze3Z1PSGxTc,https://www.youtube.com/watch?v=Ze3Z1PSGxTc,Молина А.В. (Москва) «Тень» Ситы и «призрак» Елены: две истории о похищенных жёнах.,2004,Сюжет «Повести о Насикете» Садала Мишры в контексте истории прозы хинди,Т. А. Дубянская,0.406,needs_review,PRES_b435c20e
yCP1l3cBmLM,https://www.youtube.com/watch?v=yCP1l3cBmLM,Степин А. А. (Санкт-Петербург) Онтология и сотериология «Ананда-сутр» П.Р. Саркара.,2004,Проблема интерпретации специальной санскритской терминологии: термин адхьякша в индийской традиции,Д. Н. Лелюхин,0.407,needs_review,PRES_0a978846
GTJn31yJp9Q,https://www.youtube.com/watch?v=GTJn31yJp9Q,Игнатьев А. А. (Калининград) Обряд панчамакара в каулических тантрах.,2019,Понятие блаженства (ананды) в индуистском тантризме,Пахомов Сергей Владимирович,0.407,needs_review,PRES_0315b997
wTKGBq-Kd0k,https://www.youtube.com/watch?v=wTKGBq-Kd0k,Бабин А.Н. (Москва) В.В. Верещагин и И.П. Минаев: русские путешественники в Гималаях.,2020,Тханки в собрании И. П. Минаева (МАЭ РАН),Бабин Александр Николаевич,0.408,needs_review,PRES_2b9abfc8
R7-CyowY1o0,https://www.youtube.com/watch?v=R7-CyowY1o0,Стрелкова Г.В. (Москва) Рассказы для детей об аватарах Вишну.,2011,Интерпретация учения об аватарах Вишну в «Девибхагавата-пуране»,Игнатьев Андрей Александрович,0.424,needs_review,PRES_c8111d01
bqtOFPpgSG0,https://www.youtube.com/watch?v=bqtOFPpgSG0,Оранская Т.И. (СПб) Несколько этимологий арготических слов среднеазиатских цыган.,2021,Интерпретация канонической типологии архатов в буддийских экзегетических источниках,Островская Елена Петровна,0.425,needs_review,PRES_af99aef8
PTR9EqukOVU,https://www.youtube.com/watch?v=PTR9EqukOVU,Васильков Я.В. (СПб) Гадание о суженом по зеркалу в «Махабхарате» индоиранский и индоевропейский фон,2018,Культ Рудры-Кхандобы в исследованиях Г. Д. Зонтхаймера  и его индоевропейские параллели,И. О. Негреев,0.425,needs_review,PRES_e3666be2
oMObNcmRYRk,https://www.youtube.com/watch?v=oMObNcmRYRk,Скороходова Т.Г. (Пенза) Воссоздавая историю древней Индии.,2026,,Соболева Елена Станиславовна / Котин Игорь Юрьевич,0.427,needs_review,PRES_7cc47117
zePcdpMnWIs,https://www.youtube.com/watch?v=zePcdpMnWIs,Дубянская Т.А. (Москва) Литература хинди как предмет школьной программы в Индии.,2011,Санскритизация и философские проблемы языковой политики,Д. Н. Парамонов,0.427,needs_review,PRES_fa1b3312
xVC-yyyGzm4,https://www.youtube.com/watch?v=xVC-yyyGzm4,Рыбакова А.Г. (Москва – Патмос) Ритуальные предметы и украшения.,2012,Дхарма и буддология. Актуальные проблемы,Б. И. Загуменнов,0.429,needs_review,PRES_a671ac35
a-a-KrtWrfY,https://www.youtube.com/watch?v=a-a-KrtWrfY,Покатилов С. А. (Санкт-Петербург) Преображение богини Кали: точка зрения «Маханирвана-тантры».,2021,Высмеивание пороков врачей в санскритской литературе (на примере «Кали-видамбханам» Нилакантхи Дикшиты)*,Дружинин Владимир Юрьевич,0.432,needs_review,PRES_9ff8e320
MVkoK3aVsBc,https://www.youtube.com/watch?v=MVkoK3aVsBc,Бурмистров С.Л. (Санкт-Петербург) Обоснование невозможности чувственного познания в «Прасаннападе»,2006,Бхартрихари и Дхармакирти о возможности рефлексивного акта познания,Десницкая Евгения Алексеевна,0.434,needs_review,PRES_59a032cf
F9zT5x7GyOw,https://www.youtube.com/watch?v=F9zT5x7GyOw,Лужинская П. (СПб) Сравнительный анализ космологических представлений.,2018,Сравнительный анализ образов сакрального в тамильских храмовых мифах и в сказах П. П. Бажова,П. В. Хрущева,0.436,needs_review,PRES_ba9b8a09
Uv3TH3B8SXQ,https://www.youtube.com/watch?v=Uv3TH3B8SXQ,Столярова Е.В. (СПб) Пенпавакутху: новая форма театра плоских фигур Кералы.,2014,Гимн-падигам как основная форма поэзии тамильских шиваитов,М. Б. Павлова,0.438,needs_review,PRES_362769ef
ITyOvXe4A18,https://www.youtube.com/watch?v=ITyOvXe4A18,Демченко М. Б. (Москва) 'Айодхья Махатмья'...,2026,Можно ли считать мадхьямаку,Усенко Иван Сергеевич,0.444,needs_review,PRES_cb133064
u88egVZAsuA,https://www.youtube.com/watch?v=u88egVZAsuA,Фивейская А.В. (Москва) От эпического предания до буддийского сказания и обратно: история Шьямы.,2014,«Апофатический» подход в буддийской теории восприятия,Лысенко Виктория Георгиевна,0.447,needs_review,PRES_5c7cb159
RGwHo8zGEhk,https://www.youtube.com/watch?v=RGwHo8zGEhk,Комиссаров Д.А. (Москва) Бодхисаттва в образе пишачи.,2026,Вера Александровна Новикова,Лекарева Ева Павловна,0.449,needs_review,PRES_612be9e9
3Voxwlh2wmY,https://www.youtube.com/watch?v=3Voxwlh2wmY,Крапивина Р.Н. (СПб) Абхисамаяланкара как предмет буддийского образования.,2018,О джатакаставе как разновидности буддийского гимна,Комиссаров Дмитрий Алексеевич,0.45,needs_review,PRES_5f1ab884
nRTdxUSsWn4,https://www.youtube.com/watch?v=nRTdxUSsWn4,"Приветственное слово директора ИВР РАН, чл корр РАН, д и н И Ф Поповой",2013,Представление о Брахмане в ранней вишишта-адвайте,Псху Рузана Владимировна,0.451,needs_review,PRES_4e60685f
uCW9Ja43faU,https://www.youtube.com/watch?v=uCW9Ja43faU,Псху Р.В. (Москва) Парадигмальное мышление брахманов.,2006,Тема деревни в «Саттасаи»,М. Н. Русанов,0.452,needs_review,PRES_42fa3ee9
Sm6OTBnAVl8,https://www.youtube.com/watch?v=Sm6OTBnAVl8,Киняева А.В. (Москва) Женские голоса в каввали: гендер и традиции.,2013,Тамильские женские божества в средневековой литературе,П. В. Хрущева,0.452,needs_review,PRES_6e297f54
eS5xmuL6hAg,https://www.youtube.com/watch?v=eS5xmuL6hAg,Пахомов С. В. (Санкт-Петербург) Модели интерпретации телесности в хатха-йоге.,2019,Конь без всадника и дерево джамбу: к интерпретации рельефа на восточных воротах Большой Ступы в Санчи,Александрова Наталия Владимировна,0.453,needs_review,PRES_f6331c22
