video_id,year,duration_sec,has_manual_ru,has_auto_ru,manual_langs,auto_langs,error
NmFjM156E1Q,2023,8579,False,False,,,
ZMgc9ikKEUo,2023,3159,False,True,,aa;ab;af;ak;am;ar;as;ay;az;ba;be;bg;bho;bn;bo;br;bs;ca;ceb;co;crs;cs;cy;da;de;dv;dz;ee;el;en;eo;es;et;eu;fa;fi;fil;fj;fo;fr;fy;ga;gaa;gd;gl;gn;gu;gv;ha;haw;hi;hmn;hr;ht;hu;hy;id;ig;is;it;iu;iw;ja;jv;ka;kha;kk;kl;km;kn;ko;kri;ku;ky;la;lb;lg;ln;lo;lt;lua;luo;lv;mfe;mg;mi;mk;ml;mn;mr;ms;mt;my;ne;new;nl;no;nso;ny;oc;om;or;os;pa;pam;pl;ps;pt;pt-PT;qu;rn;ro;ru;ru-orig;rw;sa;sd;sg;si;sk;sl;sm;sn;so;sq;sr;ss;st;su;sv;sw;ta;te;tg;th;ti;tk;tn;to;tr;ts;tt;tum;ug;uk;ur;uz;ve;vi;war;wo;xh;yi;yo;zh-Hans;zh-Hant;zu,
gPaPetQ5JPM,2023,1482,False,True,,aa;ab;af;ak;am;ar;as;ay;az;ba;be;bg;bho;bn;bo;br;bs;ca;ceb;co;crs;cs;cy;da;de;dv;dz;ee;el;en;eo;es;et;eu;fa;fi;fil;fj;fo;fr;fy;ga;gaa;gd;gl;gn;gu;gv;ha;haw;hi;hmn;hr;ht;hu;hy;id;ig;is;it;iu;iw;ja;jv;ka;kha;kk;kl;km;kn;ko;kri;ku;ky;la;lb;lg;ln;lo;lt;lua;luo;lv;mfe;mg;mi;mk;ml;mn;mr;ms;mt;my;ne;new;nl;no;nso;ny;oc;om;or;os;pa;pam;pl;ps;pt;pt-PT;qu;rn;ro;ru;ru-orig;rw;sa;sd;sg;si;sk;sl;sm;sn;so;sq;sr;ss;st;su;sv;sw;ta;te;tg;th;ti;tk;tn;to;tr;ts;tt;tum;ug;uk;ur;uz;ve;vi;war;wo;xh;yi;yo;zh-Hans;zh-Hant;zu,
ZZNTgPua1tY,2023,2070,False,True,,aa;ab;af;ak;am;ar;as;ay;az;ba;be;bg;bho;bn;bo;br;bs;ca;ceb;co;crs;cs;cy;da;de;dv;dz;ee;el;en;eo;es;et;eu;fa;fi;fil;fj;fo;fr;fy;ga;gaa;gd;gl;gn;gu;gv;ha;haw;hi;hmn;hr;ht;hu;hy;id;ig;is;it;iu;iw;ja;jv;ka;kha;kk;kl;km;kn;ko;kri;ku;ky;la;lb;lg;ln;lo;lt;lua;luo;lv;mfe;mg;mi;mk;ml;mn;mr;ms;mt;my;ne;new;nl;no;nso;ny;oc;om;or;os;pa;pam;pl;ps;pt;pt-PT;qu;rn;ro;ru;ru-orig;rw;sa;sd;sg;si;sk;sl;sm;sn;so;sq;sr;ss;st;su;sv;sw;ta;te;tg;th;ti;tk;tn;to;tr;ts;tt;tum;ug;uk;ur;uz;ve;vi;war;wo;xh;yi;yo;zh-Hans;zh-Hant;zu,
8xR5XOPg2YQ,2023,2009,False,True,,aa;ab;af;ak;am;ar;as;ay;az;ba;be;bg;bho;bn;bo;br;bs;ca;ceb;co;crs;cs;cy;da;de;dv;dz;ee;el;en;eo;es;et;eu;fa;fi;fil;fj;fo;fr;fy;ga;gaa;gd;gl;gn;gu;gv;ha;haw;hi;hmn;hr;ht;hu;hy;id;ig;is;it;iu;iw;ja;jv;ka;kha;kk;kl;km;kn;ko;kri;ku;ky;la;lb;lg;ln;lo;lt;lua;luo;lv;mfe;mg;mi;mk;ml;mn;mr;ms;mt;my;ne;new;nl;no;nso;ny;oc;om;or;os;pa;pam;pl;ps;pt;pt-PT;qu;rn;ro;ru;ru-orig;rw;sa;sd;sg;si;sk;sl;sm;sn;so;sq;sr;ss;st;su;sv;sw;ta;te;tg;th;ti;tk;tn;to;tr;ts;tt;tum;ug;uk;ur;uz;ve;vi;war;wo;xh;yi;yo;zh-Hans;zh-Hant;zu,
E6QLEL20gqk,2023,1847,False,True,,aa;ab;af;ak;am;ar;as;ay;az;ba;be;bg;bho;bn;bo;br;bs;ca;ceb;co;crs;cs;cy;da;de;dv;dz;ee;el;en;eo;es;et;eu;fa;fi;fil;fj;fo;fr;fy;ga;gaa;gd;gl;gn;gu;gv;ha;haw;hi;hmn;hr;ht;hu;hy;id;ig;is;it;iu;iw;ja;jv;ka;kha;kk;kl;km;kn;ko;kri;ku;ky;la;lb;lg;ln;lo;lt;lua;luo;lv;mfe;mg;mi;mk;ml;mn;mr;ms;mt;my;ne;new;nl;no;nso;ny;oc;om;or;os;pa;pam;pl;ps;pt;pt-PT;qu;rn;ro;ru;ru-orig;rw;sa;sd;sg;si;sk;sl;sm;sn;so;sq;sr;ss;st;su;sv;sw;ta;te;tg;th;ti;tk;tn;to;tr;ts;tt;tum;ug;uk;ur;uz;ve;vi;war;wo;xh;yi;yo;zh-Hans;zh-Hant;zu,
6hGe_Imo-7U,2023,2114,False,True,,aa;ab;af;ak;am;ar;as;ay;az;ba;be;bg;bho;bn;bo;br;bs;ca;ceb;co;crs;cs;cy;da;de;dv;dz;ee;el;en;eo;es;et;eu;fa;fi;fil;fj;fo;fr;fy;ga;gaa;gd;gl;gn;gu;gv;ha;haw;hi;hmn;hr;ht;hu;hy;id;ig;is;it;iu;iw;ja;jv;ka;kha;kk;kl;km;kn;ko;kri;ku;ky;la;lb;lg;ln;lo;lt;lua;luo;lv;mfe;mg;mi;mk;ml;mn;mr;ms;mt;my;ne;new;nl;no;nso;ny;oc;om;or;os;pa;pam;pl;ps;pt;pt-PT;qu;rn;ro;ru;ru-orig;rw;sa;sd;sg;si;sk;sl;sm;sn;so;sq;sr;ss;st;su;sv;sw;ta;te;tg;th;ti;tk;tn;to;tr;ts;tt;tum;ug;uk;ur;uz;ve;vi;war;wo;xh;yi;yo;zh-Hans;zh-Hant;zu,
FDFwugkv3yM,2023,1908,False,True,,aa;ab;af;ak;am;ar;as;ay;az;ba;be;bg;bho;bn;bo;br;bs;ca;ceb;co;crs;cs;cy;da;de;dv;dz;ee;el;en;eo;es;et;eu;fa;fi;fil;fj;fo;fr;fy;ga;gaa;gd;gl;gn;gu;gv;ha;haw;hi;hmn;hr;ht;hu;hy;id;ig;is;it;iu;iw;ja;jv;ka;kha;kk;kl;km;kn;ko;kri;ku;ky;la;lb;lg;ln;lo;lt;lua;luo;lv;mfe;mg;mi;mk;ml;mn;mr;ms;mt;my;ne;new;nl;no;nso;ny;oc;om;or;os;pa;pam;pl;ps;pt;pt-PT;qu;rn;ro;ru;ru-orig;rw;sa;sd;sg;si;sk;sl;sm;sn;so;sq;sr;ss;st;su;sv;sw;ta;te;tg;th;ti;tk;tn;to;tr;ts;tt;tum;ug;uk;ur;uz;ve;vi;war;wo;xh;yi;yo;zh-Hans;zh-Hant;zu,
yS7OrtJ0vEo,2023,1774,False,True,,aa;ab;af;ak;am;ar;as;ay;az;ba;be;bg;bho;bn;bo;br;bs;ca;ceb;co;crs;cs;cy;da;de;dv;dz;ee;el;en;eo;es;et;eu;fa;fi;fil;fj;fo;fr;fy;ga;gaa;gd;gl;gn;gu;gv;ha;haw;hi;hmn;hr;ht;hu;hy;id;ig;is;it;iu;iw;ja;jv;ka;kha;kk;kl;km;kn;ko;kri;ku;ky;la;lb;lg;ln;lo;lt;lua;luo;lv;mfe;mg;mi;mk;ml;mn;mr;ms;mt;my;ne;new;nl;no;nso;ny;oc;om;or;os;pa;pam;pl;ps;pt;pt-PT;qu;rn;ro;ru;ru-orig;rw;sa;sd;sg;si;sk;sl;sm;sn;so;sq;sr;ss;st;su;sv;sw;ta;te;tg;th;ti;tk;tn;to;tr;ts;tt;tum;ug;uk;ur;uz;ve;vi;war;wo;xh;yi;yo;zh-Hans;zh-Hant;zu,
D443p2_z53M,2023,1988,False,True,,aa;ab;af;ak;am;ar;as;ay;az;ba;be;bg;bho;bn;bo;br;bs;ca;ceb;co;crs;cs;cy;da;de;dv;dz;ee;el;en;eo;es;et;eu;fa;fi;fil;fj;fo;fr;fy;ga;gaa;gd;gl;gn;gu;gv;ha;haw;hi;hmn;hr;ht;hu;hy;id;ig;is;it;iu;iw;ja;jv;ka;kha;kk;kl;km;kn;ko;kri;ku;ky;la;lb;lg;ln;lo;lt;lua;luo;lv;mfe;mg;mi;mk;ml;mn;mr;ms;mt;my;ne;new;nl;no;nso;ny;oc;om;or;os;pa;pam;pl;ps;pt;pt-PT;qu;rn;ro;ru;ru-orig;rw;sa;sd;sg;si;sk;sl;sm;sn;so;sq;sr;ss;st;su;sv;sw;ta;te;tg;th;ti;tk;tn;to;tr;ts;tt;tum;ug;uk;ur;uz;ve;vi;war;wo;xh;yi;yo;zh-Hans;zh-Hant;zu,
