PersonID,DisplayName,TotalTalks,ZografTalks,RoerichTalks,FirstYearSeen,LastYearSeen,SeriesAttended
PERS_2011b78d,Бондарев Алексей Владимирович,1,0,1,2021,2021,Roerich
PERS_dfaf6803,Борисов Яков Александрович,1,0,1,2016,2016,Roerich
PERS_88e5311f,Босхомджиев Мерген Владимирович,1,0,1,2025,2025,Roerich
PERS_7efcddc6,Брылёва Наталья Анатольевна,1,0,1,2024,2024,Roerich
PERS_325e94f3,В. В. Котин,1,1,0,2017,2017,Zograf
PERS_2c9b38ec,Ватман Семён Викторович,1,1,0,2007,2007,Zograf
PERS_23f54085,Введенская Эльвира Игоревна,1,1,0,2019,2019,Zograf
PERS_a8983673,Вигель Нарине Липаритовна,1,0,1,2024,2024,Roerich
PERS_e8396809,Вишну Шукла,1,1,0,2020,2020,Zograf
PERS_e4aab278,Возчиков Дмитрий Викторович,1,1,0,2026,2026,Zograf
PERS_e30ad8b7,Гавриков Денис Сергеевич,1,1,0,2022,2022,Zograf
PERS_68270eaf,Галимова Эльмира Валитовна,1,0,1,2025,2025,Roerich
PERS_51524b11,Гладкова Анна Геннадьевна,1,1,0,2025,2025,Zograf
PERS_44440578,Грановская Хелена,1,1,0,2026,2026,Zograf
PERS_cac87738,Гузеватая Наталья Владимировна,1,1,0,2019,2019,Zograf
PERS_d018b6eb,Д. Валанчюнас,1,1,0,2007,2007,Zograf
PERS_940c556e,Д. А. Шереметьев,1,1,0,2017,2017,Zograf
PERS_ee3448c3,Деменова Виктория Владимировна,1,0,1,2012,2012,Roerich
PERS_85a048b8,Денисенко Валерия Леонтьевна,1,1,0,2023,2023,Zograf
PERS_5f6689e8,Дмитриева Виктория Алексеевна,1,1,0,2025,2025,Zograf
PERS_c2ffc606,Драчук Андрей Олегович,1,1,0,2026,2026,Zograf
PERS_c9e43db7,Е. А.Бушуев,1,1,0,2015,2015,Zograf
PERS_4831e64b,Е. Анохина,1,0,1,2008,2008,Roerich
PERS_14dec06b,Е. Б. Кудрявцева,1,1,0,2016,2016,Zograf
PERS_04a4bbbb,Е. И. Малоземова,1,1,0,2018,2018,Zograf
PERS_e8f935aa,Е. К. Кудрявцева,1,1,0,2015,2015,Zograf
PERS_5d38cbae,Е.Н. Аникеева,1,1,0,2008,2008,Zograf
PERS_79ed852e,Евграфов  Д.А.,1,1,0,2024,2024,Zograf
PERS_2f26a47a,Елизаренкова Татьяна Яковлевна,1,1,0,2004,2004,Zograf
PERS_36c30cf9,Загорулько Андрей Владиславович,1,1,0,2004,2004,Zograf
PERS_94f33410,Застрожнова Евгения Григорьевна,1,1,0,2026,2026,Zograf
PERS_900efc73,Зевацкий Тимофей Юрьевич,1,1,0,2025,2025,Zograf
PERS_a4c4c35e,И. В. Калинина,1,1,0,2016,2016,Zograf
PERS_f1f2471d,Игнатова Мария Михайловна,1,0,1,2025,2025,Roerich
PERS_c582889e,Иткин Илья Борисович,1,0,1,2025,2025,Roerich
PERS_1955e9e8,К. Гаралите,1,1,0,2011,2011,Zograf
PERS_045c435e,К. Джункова,1,1,0,2018,2018,Zograf
PERS_37c15317,Калина А.Э.,1,1,0,2024,2024,Zograf
PERS_4ebb20aa,Кардинская Светлана Владленовна,1,1,0,2012,2012,Zograf
PERS_fe03c926,Карышева Ирина Александровна,1,0,1,2015,2015,Roerich
PERS_92f41884,Касым Софья Васильевна,1,1,0,2026,2026,Zograf
PERS_fb73fb38,Кешарпу Екатерина Витальевна,1,1,0,2026,2026,Zograf
PERS_d17a6a92,Киняева А.В.,1,1,0,2024,2024,Zograf
PERS_467d4dbb,Клебанов Андрей Александрович,1,1,0,2021,2021,Zograf
PERS_bd77e495,Корнеев Геннадий Батыревич,1,0,1,2025,2025,Roerich
PERS_af811d47,Корнеева Татьяна Георгиевна,1,1,0,2020,2020,Zograf
PERS_3f406fe3,Кравцова Е.Р.,1,1,0,2024,2024,Zograf
PERS_f5a69b65,Кройцер Светлана Александровна,1,1,0,2025,2025,Zograf
PERS_9366fe2c,Крыштоп Людмила Эдуардовна,1,1,0,2020,2020,Zograf
PERS_6f89f9c1,Крючкова Евгения Родионовна,1,1,0,2006,2006,Zograf
PERS_29607432,Лапшин Иван Евгеньевич,1,1,0,2020,2020,Zograf
PERS_07adc1e6,Лейтан Эдгар Зигфридович,1,1,0,2023,2023,Zograf
PERS_ebc1c3c2,Лундышева Ольга Владимировна,1,0,1,2025,2025,Roerich
PERS_cea040bb,М. Рамдхари,1,1,0,2019,2019,Zograf
PERS_ddb70dc9,М. А. Азаркина,1,1,0,2015,2015,Zograf
PERS_0900c3c4,М. М. Фиалко,1,1,0,2013,2013,Zograf
PERS_57082cac,М.А. Овчинникова,1,0,1,2025,2025,Roerich
PERS_d851ac20,М.В. Вершинина,1,0,1,2025,2025,Roerich
PERS_ba537782,М.И.Петрова,1,1,0,2004,2004,Zograf
PERS_e1d622e5,Мажитов Саттар Фазылович,1,0,1,2012,2012,Roerich
PERS_ce100d3f,Мария Шилинскене,1,1,0,2014,2014,Zograf
PERS_7d6f456c,Мотылёва Вера Леонидовна,1,1,0,2026,2026,Zograf
PERS_b5dd77b1,Мрачковская Арина Витальевна,1,0,1,2025,2025,Roerich
PERS_fa58484d,Н. А. Александрова,1,1,0,2016,2016,Zograf
PERS_0a42bfb2,Н.В.Хомутинникова,1,1,0,2004,2004,Zograf
PERS_2e2b9553,Наймушина Дарья Дмитриевна,1,0,1,2025,2025,Roerich
PERS_9ddf9210,Нестеркин Сергей Петрович,1,0,1,2025,2025,Roerich
PERS_147ab928,Никольская Ксения Дмитриевна,1,0,1,2025,2025,Roerich
PERS_26ce5ec1,Нина Будзишевска,1,1,0,2014,2014,Zograf
PERS_ecdfe667,Новосёлова Евгения Олеговна,1,0,1,2023,2023,Roerich
PERS_d3c5382c,Попова Ирина Фёдоровна,1,1,0,2015,2015,Zograf
PERS_23abae7d,Пушкарева Юлия Георгиевна,1,1,0,2026,2026,Zograf
PERS_3195408b,Ратушный Данила Николаевич,1,0,1,2025,2025,Roerich
PERS_47ad46f1,Родионов Михаил Анатольевич,1,1,0,2011,2011,Zograf
