series,n_scholars,n_total_participations,one_talk_wonder_pct,core_5plus_pct,gini_concentration,retention_pct,median_talks_per_scholar,max_talks_per_scholar
Zograf,206,908,40.8,34.5,0.523,59.2,2,22
Roerich,105,467,36.2,33.3,0.498,63.8,2,16
Combined,270,1265,41.5,35.6,0.529,58.5,2,22
