presentation_id,title,year,series,coder_2_l1,coder_2_g
PRES_3df80915c1,Лунные созвездия (nakṣatras) и традиция имянаречения в Древней Индии H. Urbańska. Concept of maya in Darśana Mala of Narayana Guru,2015,Zograf Readings,,
PRES_ab4a6b6257,Будда Дипанкара и традиция его почитания в Долине Катманду,2025,Zograf Readings,,
PRES_d97538f124,Ритуальный текст о структуре вселенной (опыт литературного перевода),2016,Roerich Readings,,
PRES_6639f5e148,К реконструкции языковых контактов в области Шангшунг в дотибетскую эпоху,2022,Roerich Readings,,
PRES_56a96b450d,Ю.Н. Рерих — выдающийся лингвист-тибетолог,2012,Roerich Readings,,
PRES_d1ddc8c000,Следуя воле звезд: Индийская астрология и практика предсказаний стихийных бедствий,2011,Zograf Readings,,
PRES_df75470655,Несколько штрихов к «Сказанию о Нале»,2015,Zograf Readings,,
PRES_bf18beecbb,Вступительное слово от организаторов конференции,2024,Roerich Readings,,
PRES_73997bde8a,"Поталака – местопребывание Авалокитешвары и один из его образов в тибетской традиции. (Танка из собрания Кабинета Ю.Н. Рериха, ИВ РАН, Москва)",2018,Roerich Readings,,
PRES_0404e32168,«Сахар в молоке»: Ауто-представления об «индийском» и «персидском» в современной религиозной культуре парсов,2008,Zograf Readings,,
PRES_91ce32f17e,Парадигмальное мышление брахманов. Связь философских универсалий и варно-кастовой системы в Индии,2024,Zograf Readings,,
PRES_198427c45a,«Гимн Таре» Сарваджнямитры и его тибетские переводы,2007,Zograf Readings,,
PRES_611497ab1e,Почему Брахман наделен природой звука (шабда-таттва)?,2023,Zograf Readings,,
PRES_b153547ebf,Буддийская феноменология бессамостности (Опыт анализа концептов Я и «просто-я» Чже Цонкапы),2017,Zograf Readings,,
PRES_3d773ae410,Социально-философские концепции Калачакратантры с некоторыми параллелями в Кашмирском Шиваизме,2015,Roerich Readings,,
PRES_cb85e06342,В чем непосредственность непосредственного восприятия в буддийской эпистемологии?,2007,Zograf Readings,,
PRES_891e3870db,Бонкимчондро Чоттопаддхай и генезис неоиндуизма в Бенгалии,2015,Zograf Readings,,
PRES_d01c9d783a,Значение и функции ритуала Пангху у племени ратхва,2010,Zograf Readings,,
PRES_55fff640ca,К вопросу о средствах передвижения в Ригведе,2007,Zograf Readings,,
PRES_35cd50282e,От Индии до Кара-тепе: к типологии древнеиндийского эпиграфического текста,2015,Roerich Readings,,
PRES_dcfff95b9e,"Сравнительный анализ описаний буддийских монахинь в тибетской, китайской и японской агиографической литературе",2009,Roerich Readings,,
PRES_a8e1d07658,"Скифский язык, топонимы Скифии и Центральной Азии, индоевропейские языки: культурные заимствования из Индии и культур древнего Понта Эвксинского",2021,Roerich Readings,,
PRES_3713c953c3,Этимологическая классификация лексики в индийской и европейской грамматической традиции на примере языка куллуи,2022,Roerich Readings,,
PRES_5f75a74856,Об особенностях индийской философии на основе южноазиатской схемы рациональности,2023,Zograf Readings,,
PRES_6329aa3fb2,Чидамбарам и его дикшитары в зеркале «Панниру тирумурей»,2018,Roerich Readings,,
PRES_e41ac61c54,Поэтические формы средневекового тамильского бхакти,2019,Roerich Readings,,
PRES_4b296dd60c,И. П. Минаев и Дж. Л. Киплинг: коллекции и письма,2019,Zograf Readings,,
PRES_7c33afdee0,«Век Кроноса» и «Сатья-юга»: два вида «первобытного коммунизма» и античных теорий социогенеза,2016,Zograf Readings,,
PRES_64abe774d2,Ордалия раскаленной монетой: шастрический текст и «свидетельства» испытаний,2009,Roerich Readings,,
PRES_0c496dfec3,Об эволюции образа Рудры-Шивы в священных текстах шрути,2008,Zograf Readings,,
PRES_6f8147feae,Индийские истоки и источники философствования Р. Тагора: «Садхана» как опыт объяснения Своего Другому,2025,Zograf Readings,,
PRES_fc155b3a33,Представления об Арьяварте в санскритских источниках в исторической перспективе,2012,Roerich Readings,,
PRES_e4b6786e6b,Как сравнивать индийскую и западную эпистемологию? Опыт создания методологии компаративного исследования,2008,Zograf Readings,,
PRES_a0ad164252,Британское колониальное чиновничество в литературном наследии Дж. Оруэлла,2019,Zograf Readings,,
PRES_1be5fd6c7a,«Мадхан-кам» – народная драма Северной Бенгалии (с демонстрацией видеоматериалов),2007,Zograf Readings,,
PRES_0c60ccad75,Новое о Герасиме Лебедеве,2010,Roerich Readings,,
PRES_ce3d88067d,Тальварная рукоять и ее символика,2017,Zograf Readings,,
PRES_ce1f190968,Природопользование в тангутском государстве Си Ся,2012,Roerich Readings,,
PRES_4b661944b6,Элементы шаманских практик в воинских традициях Индии,2019,Zograf Readings,,
PRES_3e050c97df,Коллекция индийских рукописей рукописного фонда библиотеки СПбГУ,2015,Zograf Readings,,
PRES_b9b432befc,Животный мир пословиц и поговорок хинди,2014,Zograf Readings,,
PRES_787b14a0e0,Переоценка различных методологических подходов по исследованию индийской философии: по следам книги В. Адлури и Д. Багчи «The Nay Science: A History of German Indology»,2023,Zograf Readings,,
PRES_5b9c7fa5b6,Санскритизация и философские проблемы языковой политики,2011,Zograf Readings,,
PRES_25c542e83e,Религия как инструмент внутренней политики Индии,2014,Zograf Readings,,
PRES_61d9ee5a41,Непальский монастырь Копан: встреча Востока и Запада,2024,Zograf Readings,,
PRES_f528d24e03,Учение д-ра Маханамбраты Брахмачари как квинтэссенция идей бенгальского ренессанса и его влияние на Томаса Мертона,2018,Zograf Readings,,
PRES_6521310efe,В начале странствий. Эпизод абхинишкрамана в «Сутре о благом явлении царевича»,2017,Zograf Readings,,
PRES_b57a66fc22,"Журнал “Stepping stones” – гималайская культура, буддизм и философия перенниализма сквозь призму взглядов европейских исследователей",2023,Roerich Readings,,
PRES_ea72ffeb6f,Стилистика Амаравати и поэтика «Лалитавистары»,2022,Roerich Readings,,
PRES_54a32921dc,Сравнительный анализ генезиса рефлексии в индийской и европейской философских традициях: визуальные и лингвистические детерминанты,2010,Zograf Readings,,
PRES_933f4317bd,Об особенностях самосознания представителей «низких каст» в современных условиях,2006,Zograf Readings,,
PRES_179141844a,Ведийский ритуал Ваджапея: древняя традиция и современная практика,2021,Zograf Readings,,
PRES_b2df564f10,"Материальные атрибуты (лук, стрелы, топорик) как этнические символы автохтонов Шри Ланки",2013,Zograf Readings,,
PRES_240fa4577e,Г. Оберхаммер и проблема исследования когнитивного потенциала религиозного опыта,2020,Zograf Readings,,
PRES_05e30aa208,Тантрические парадигмы в игровых системах Востока: сравнительный анализ “Джняна чаупады” и “Салам намшак” сквозь призму индуистской и буддийской тантры,2025,Zograf Readings,,
PRES_3195691394,Элементы культурного синтеза в бенгальской поэзии XVII века,2013,Zograf Readings,,
PRES_bb59843713,Морализаторство как феномен мысли и культуры Бенгальского Возрождения,2016,Zograf Readings,,
PRES_65c736b410,Ритуальные предметы и украшения в контексте обрядов жизненного цикла неваров,2024,Zograf Readings,,
PRES_20f5fa7819,Язык и внеязыковая действительность в «Вакьяпадии» Бхартрихари,2015,Zograf Readings,,
PRES_9f51b09a94,Проблема языка в веданте и европейском романтизме,2013,Zograf Readings,,
PRES_0e0cf8bb17,Санскритские квантитативные стихотворные размеры: реконструкция чтения,2010,Zograf Readings,,
PRES_448beb385e,Искусство протеста. Политический театр в Индии: истоки и развитие,2021,Zograf Readings,,
PRES_f6fa058fc3,Полисемия в области терминологии родства – дравидийские и индоарийские языки,2022,Roerich Readings,,
PRES_aa4df50cf0,Древние южноазиатско-африканские связи (по данным фольклора и мифологии),2014,Zograf Readings,,
PRES_4557455166,Версия мифа о Вритре в «Девибхагаватапуране»,2012,Zograf Readings,,
PRES_a95408ba26,Феномен речевого сбоя как средство художественной выразительности в структуре классической санскритской драмы,2020,Roerich Readings,,
PRES_97ad954200,Лук (оружие),2004,Zograf Readings,,
PRES_49299cbe89,Bhavāi Гуджарата: о культурном смысле и социальных функциях традиционного театра,2016,Zograf Readings,,
PRES_ca34a85370,Образ Махендры/Махинды в записках китайских паломников,2013,Zograf Readings,,
PRES_6b5321239f,Концепт svadharma в кастовой идеологии,2011,Zograf Readings,,
PRES_5ba570d69d,Метафора зеркала в «Бхаванакраме» Камалашилы,2025,Zograf Readings,,
PRES_cac95e2161,В защиту Вишну Шипивишты: «Аз есьм Шипивишта!» (РВ 7.100.6),2025,Zograf Readings,,
PRES_696c63d93f,Женские голоса в каввали: гендер и традиции,2024,Zograf Readings,,
PRES_92abfea9fd,Вредные существа и животные в авестийской и ведической традиции,2024,Zograf Readings,,
PRES_beed481e92,Недосказанность/прерванность речи в классической санскритской драме,2022,Roerich Readings,,
PRES_72334d3683,«Мысленный эксперимент» Васубандху,2018,Zograf Readings,,
PRES_15b5fbdc83,Что отличает индийскую эпистемическую культуру от западной?,2020,Roerich Readings,,
PRES_f7005c0259,Бодхисаттва в образе пишачи: следы комической традиции в описании аскезы Гаутамы,2024,Zograf Readings,,
PRES_6f09bca977,Изменение межкастовых взаимоотношений в домусульманском Кашмире,2015,Roerich Readings,,
PRES_4da8793f25,Сюжет встречи с Дипанкарой: функциональная роль в текстовой традиции и возможные генетические связи,2019,Roerich Readings,,
PRES_149d1014af,Вопрос о дардском элементе в дотибетском населении Ладакха и Балтистана как лингвистическая проблема,2017,Roerich Readings,,
PRES_aa8c66a571,«Ādau vāda āsīt»: о переводах Библии на санскрит. В программе возможны изменения и дополнения,2006,Zograf Readings,,
PRES_14243281d6,Санскритские очки европейской лингвистики XIX века,2019,Zograf Readings,,
PRES_a775399ae0,Рерихи во внутренней Монголии в 1935 г,2010,Roerich Readings,,
PRES_fe20d5625c,Поэзия Кабира и раджастханский фольклор,2017,Zograf Readings,,
PRES_d648392ad9,Несколько слов о «я» и Адвайте в свете узнавания себя как предельного обладающего в толкованиях Абхинавагупты на «Ишварапратьябхиджня-карике» Утпаладевы,2018,Roerich Readings,,
PRES_80ebdc8f23,Символика и способы почитания богини Тары в индуизме (с демонстрацией видеоматериалов),2006,Zograf Readings,,
PRES_2819d33fcb,Индийские шастры с точки зрения современной методологии познания,2025,Roerich Readings,,
PRES_77dd8038e0,Традиция «Лалитавистары»: возможные истоки,2021,Zograf Readings,,
PRES_74cd40949e,Понятие фундаментальности в индологии,2016,Zograf Readings,,
PRES_c6ce1e5635,Женщины-гуру в текстах индуистского тантризма,2022,Zograf Readings,,
PRES_6a2b1904a8,«Местный колорит» в литературной традиции Ориссы,2026,Zograf Readings,,
PRES_7dc7b85b87,Христианская книга на индийских языках XVI — XVII вв.: ретроспективный библиографический указатель,2017,Zograf Readings,,
PRES_c193a1cc2e,Мотивационные доминанты как «система ожидания» в санскритском и палийском повествовании,2021,Roerich Readings,,
PRES_9550fd0f6b,Индийский текст индийской диаспоры,2009,Zograf Readings,,
PRES_af42ca8e9f,Мифы об Индии: 2400 лет «фейковой индологии»,2021,Zograf Readings,,
PRES_1654668dbb,Словослияние в куллуи как способ словообразования,2023,Roerich Readings,,
PRES_ccb5812059,«Тень» Ситы и «призрак» Елены: две истории о похищенных жёнах,2024,Zograf Readings,,
PRES_d49c9ef5f0,Проблема уникальности природы человеческой души в философской системе Ямуначарьи,2010,Zograf Readings,,
PRES_6e73cef461,Роль и значение школы крама в структуре философии кашмирского шиваизма,2025,Zograf Readings,,
