first_year,last_year,presentation_count,renou_axis,renou_code,renou_label,scholar_count,series
2004,2026,321,state,IV,Classical,101,Roerich Readings; Zograf Readings
2004,2026,187,state,V,Buddhist / Jaina,61,Roerich Readings; Zograf Readings
2004,2026,140,state,III,Epic & prolongements,54,Roerich Readings; Zograf Readings
2004,2026,99,state,I,Vedic,44,Roerich Readings; Zograf Readings
2006,2026,22,state,II,Pāṇinian,15,Roerich Readings; Zograf Readings
