presentation_id,existing_l1,existing_g
PRES_0404e32168,religion_and_philosophy,1
PRES_05e30aa208,religion_and_philosophy,2
PRES_0c496dfec3,religion_and_philosophy,1
PRES_0c60ccad75,history_and_culture,1
PRES_0e0cf8bb17,linguistics_and_philology,1
PRES_14243281d6,linguistics_and_philology,2
PRES_149d1014af,linguistics_and_philology,1
PRES_15b5fbdc83,religion_and_philosophy,3
PRES_1654668dbb,linguistics_and_philology,1
PRES_179141844a,religion_and_philosophy,1
PRES_198427c45a,religion_and_philosophy,1
PRES_1be5fd6c7a,history_and_culture,1
PRES_20f5fa7819,religion_and_philosophy,1
PRES_240fa4577e,religion_and_philosophy,2
PRES_25c542e83e,history_and_culture,2
PRES_2819d33fcb,religion_and_philosophy,2
PRES_3195691394,literature_and_poetry,1
PRES_35cd50282e,history_and_culture,2
PRES_3713c953c3,linguistics_and_philology,2
PRES_3d773ae410,religion_and_philosophy,2
PRES_3df80915c1,religion_and_philosophy,1
PRES_3e050c97df,history_and_culture,1
PRES_448beb385e,literature_and_poetry,2
PRES_4557455166,religion_and_philosophy,1
PRES_49299cbe89,history_and_culture,1
PRES_4b296dd60c,history_and_culture,1
PRES_4b661944b6,history_and_culture,1
PRES_4da8793f25,literature_and_poetry,1
PRES_54a32921dc,religion_and_philosophy,3
PRES_55fff640ca,history_and_culture,1
PRES_56a96b450d,linguistics_and_philology,1
PRES_5b9c7fa5b6,linguistics_and_philology,2
PRES_5ba570d69d,religion_and_philosophy,1
PRES_5f75a74856,religion_and_philosophy,3
PRES_611497ab1e,religion_and_philosophy,1
PRES_61d9ee5a41,religion_and_philosophy,1
PRES_6329aa3fb2,religion_and_philosophy,1
PRES_64abe774d2,religion_and_philosophy,1
PRES_6521310efe,religion_and_philosophy,1
PRES_65c736b410,history_and_culture,2
PRES_6639f5e148,linguistics_and_philology,1
PRES_696c63d93f,history_and_culture,2
PRES_6a2b1904a8,literature_and_poetry,1
PRES_6b5321239f,religion_and_philosophy,1
PRES_6e73cef461,religion_and_philosophy,2
PRES_6f09bca977,history_and_culture,2
PRES_6f8147feae,religion_and_philosophy,2
PRES_72334d3683,religion_and_philosophy,1
PRES_73997bde8a,religion_and_philosophy,1
PRES_74cd40949e,unspecified,3
PRES_77dd8038e0,religion_and_philosophy,1
PRES_787b14a0e0,religion_and_philosophy,3
PRES_7c33afdee0,religion_and_philosophy,3
PRES_7dc7b85b87,history_and_culture,1
PRES_80ebdc8f23,religion_and_philosophy,1
PRES_891e3870db,religion_and_philosophy,2
PRES_91ce32f17e,religion_and_philosophy,2
PRES_92abfea9fd,religion_and_philosophy,2
PRES_933f4317bd,history_and_culture,1
PRES_9550fd0f6b,unspecified,1
PRES_97ad954200,literature_and_poetry,1
PRES_9f51b09a94,religion_and_philosophy,3
PRES_a0ad164252,history_and_culture,1
PRES_a775399ae0,history_and_culture,1
PRES_a8e1d07658,linguistics_and_philology,3
PRES_a95408ba26,literature_and_poetry,1
PRES_aa4df50cf0,history_and_culture,3
PRES_aa8c66a571,literature_and_poetry,1
PRES_ab4a6b6257,religion_and_philosophy,2
PRES_af42ca8e9f,history_and_culture,3
PRES_b153547ebf,religion_and_philosophy,1
PRES_b2df564f10,history_and_culture,1
PRES_b57a66fc22,religion_and_philosophy,2
PRES_b9b432befc,linguistics_and_philology,1
PRES_bb59843713,religion_and_philosophy,2
PRES_beed481e92,literature_and_poetry,2
PRES_bf18beecbb,unspecified,1
PRES_c193a1cc2e,literature_and_poetry,2
PRES_c6ce1e5635,religion_and_philosophy,2
PRES_ca34a85370,religion_and_philosophy,1
PRES_cac95e2161,religion_and_philosophy,1
PRES_cb85e06342,religion_and_philosophy,1
PRES_ccb5812059,literature_and_poetry,2
PRES_ce1f190968,history_and_culture,1
PRES_ce3d88067d,art_and_material_culture,1
PRES_d01c9d783a,history_and_culture,1
PRES_d1ddc8c000,religion_and_philosophy,1
PRES_d49c9ef5f0,religion_and_philosophy,1
PRES_d648392ad9,religion_and_philosophy,1
PRES_d97538f124,religion_and_philosophy,1
PRES_dcfff95b9e,religion_and_philosophy,2
PRES_df75470655,literature_and_poetry,1
PRES_e41ac61c54,literature_and_poetry,2
PRES_e4b6786e6b,religion_and_philosophy,3
PRES_ea72ffeb6f,art_and_material_culture,1
PRES_f528d24e03,religion_and_philosophy,2
PRES_f6fa058fc3,linguistics_and_philology,2
PRES_f7005c0259,religion_and_philosophy,1
PRES_fc155b3a33,history_and_culture,2
PRES_fe20d5625c,literature_and_poetry,1
